■생활관식당(블루미르308관)
2015년 08월 03일 ~ 2015년 08월 09일
주간식단표
구분,월요일(08/03),화요일(08/04),수요일(08/05),목요일(08/06),금요일(08/07),토요일(08/08),일요일(08/09)
조식,한식,"사골만둣국(우사골엑기스:호주산)
미역오이초고추장무침
명엽채볶음
쑥갓겉절이
쌀밥/깍두기","오징어뭇국
알찬소시지전
고구마순볶음
깻잎지무침
쌀밥/깍두기","비엔나채소볶음
사각어묵국
건파래볶음
솎음배추겉절이
쌀밥/깍두기","닭곰탕*소면사리(계육:국내산)
브로콜리숙회
게맛살채소볶음
고추지무침
쌀밥/깍두기
","만두강정
일식장국
두부찜*양념간장
부추생채
쌀밥/배추김치","햄채소볶음
계란찜
채소잡채
오이생채
쌀밥/배추김치",
738Kcal,932Kcal,758Kcal,796Kcal,947Kcal,706Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"미니크로아상*데친후랑크
크림스프
양배추샐러드
씨리얼/우유/과일","닭죽(계육:국내산)
오이부추무침
깍두기
씨리얼/우유/과일","참치샌드위치
크림스프
양배추샐러드오이피클
씨리얼/우유/과일","채소죽
삶은달걀*소금
배추김치
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
씨리얼/우유/과일",,"에그샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
478Kcal,423Kcal,658Kcal,536Kcal,535Kcal,0Kcal,580Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"나물된장비빔밥
미역국
계란후라이
푸실리콘샐러드
깍두기","매운떡갈비조림(돈육
계육:국내산)
순두부맑은국
모둠버섯마늘볶음
치커리유자청무침
쌀밥/배추김치","너비아니엿장조림(돈육
계육:국내산)
팽이버섯장국
버섯탕수
무생채
쌀밥/배추김치","김치찌개
마늘종볶음
햄구이
도시락김
쌀밥/깍두기","김치냉말이국수
김가루주먹밥
채소튀김
단무지",,"돈육고추장볶음(돈육:미국산)
오이냉국
무생채
미역줄기볶음
쌀밥/솎음배추겉절이"
993Kcal,817Kcal,925Kcal,796Kcal,715Kcal,0Kcal,866Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"매콤고추참치덮밥
미역국
채소크로켓
단무지","치킨커틀렛(계육
돈육:국내산)*양념치킨소스
미소장국
코올슬로
오이피클","오징어덮밥
팽이버섯장국
계란후라이
단무지","유부커리우동
다시마뭇국
지마구
단무지","미트볼카레라이스(돈육
계육:국내산
우육:호주산)
유부장국
후르츠샐러드
배추김치","돈가스김치덮밥(돈육:국내산)
시금치된장국
해초샐러드
단무지",
902Kcal,940Kcal,838Kcal,811Kcal,986Kcal,881Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"볶음우동
미역국
고구마맛탕
단무지
후식","냉메밀국수
두부땅콩강정오복지주먹밥
배추김치","[뚝]부대찌개*라면사리
만두탕수
열무된장나물
쌀밥/깍두기","[뚝]김치날치알밥
다시마뭇국
누룽지샐러드
깍두기
후식","[뚝]돈육김치찌개(돈육:미국산)
쌀밥*김가루
계란말이
콩조림
쌀밥/깍두기",,
940Kcal,904Kcal,915Kcal,822Kcal,835Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"만두육개장
청포묵*양념간장
미역초무침
팽이버섯양파볶음
쌀밥/깍두기","취나물밥*양념장
일식장국
두부오징어가스
오이지무침
배추김치","꽁치구이*와사비장
김칫국
주키니호박전
허브생채
쌀밥/깍두기","물만둣국
유채나물
해물완자전
쫄면채소무침
쌀밥/깍두기","닭개장(계육:국내산)
장떡
채소잡채치커리생채
쌀밥/깍두기","설렁탕*소면사리(우육
우사골엑기스:호주산)
올방개묵*양념장
환어묵조림
고추지무침
쌀밥/깍두기",
891Kcal,622Kcal,719Kcal,930Kcal,917Kcal,870Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"스팸마요덮밥
우동국
양배추샐러드오이피클","김치볶음밥*핫도그
양배추샐러드
일식장국
단무지","잡채덮밥*자장소스
계란팟국
짜사이채무침
후식","양지쌀국수(우육:호주산)
양파초절임
단무지
후식","베이컨햄볶음밥
일식장국
모둠탕수
배추김치",,"오므라이스*생선가스(중국산)
미역국
양배추샐러드
오이피클"
848Kcal,727Kcal,928Kcal,803Kcal,928Kcal,0Kcal,983Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
