■생활관식당(블루미르308관)
2015년 08월 10일 ~ 2015년 08월 16일
주간식단표
구분,월요일(08/10),화요일(08/11),수요일(08/12),목요일(08/13),금요일(08/14),토요일(08/15),일요일(08/16)
조식,한식,"꼬마돈가스(돈육
계육:국내산).근대된장국.호박새우젓볶음.무말랭이무침.쌀밥/배추김치","쇠고기뭇국(우육:호주산)
완자조림(계육
돈육:국내산)
건파래볶음
오이지무침
쌀밥/배추김치","햄모둠찌개
사각어묵볶음
계란찜
쫑상추겉절이
쌀밥/깍두기","쑥갓어묵탕
소시지브로콜리볶음
열무생채
구이김
쌀밥/배추김치","북어해장국(북어:러시아산)
미트볼조림(돈육
계육:국내산
우육:호주산)
맛느타리버섯볶음
고추지무침
쌀밥/깍두기","치킨너겟(계육:국내산)
사각어묵국
생깻잎절임
마늘종실치볶음
쌀밥/배추김치",
770Kcal,625Kcal,767Kcal,702Kcal,778Kcal,674Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,견과류핫케이크.크림스프.단호박조림.오이피클.씨리얼/우유/과일,"참치채소죽
삶은달걀*소금
깍두기
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
오징어젓무생채
배추김치
씨리얼/우유/과일",,,"에그샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
676Kcal,415Kcal,540Kcal,493Kcal,0Kcal,0Kcal,587Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"너비아니구이(돈육
계육:국내산)
다시마뭇국
버섯탕수
콩나물무침
쌀밥/배추김치","닭개장(계육:국내산)
채소잡채
도토리묵김치무침
치커리생채
쌀밥/깍두기","콩나물밥*양념간장
얼갈이된장국
두부채소녹두전
교자만두찜
배추김치","칼국수(돈육:미국산)
우엉양념밥
물만두찜
솎음배추겉절이","육개장(우육:호주산)
어묵탕수
콩자반
미역줄기볶음
쌀밥/깍두기",,"*추억의도시락*옛날소시지전
계란후라이
건파래볶음
볶음김치
마늘종볶음"
849Kcal,748Kcal,824Kcal,948Kcal,930Kcal,0Kcal,911Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"두반가지덮밥(돈육:미국산)
다시마뭇국
사모사튀김
짜사이채무침","토마토소스스파게티
클링클컷감자튀김
오이피클
탄산음료","햄채소볶음밥*닭꼬치구이(계육:국내산)
짬뽕국
단무지","하이라이스*미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
미소장국
해초샐러드
깍두기",,"오므라이스*핫도그
미역장국
양배추샐러드
오이피클",
748Kcal,962Kcal,779Kcal,865Kcal,0Kcal,887Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]부대찌개*라면사리
계란찜
시금치나물
쌀밥/깍두기","[뚝]돌솥비빔밥
시금치된장국
마카로니샐러드
계란후라이
깍두기","어묵우동*미니날치알밥
배추김치
후식","[뚝]안동찜닭*당면사리
누룽지샐러드
얼갈이겉절이
쌀밥",,,
960Kcal,865Kcal,867Kcal,860Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"참치김치찌개
어묵잡채
얼갈이나물
건파래볶음
쌀밥/깍두기","떡갈비조림(돈육:국내산)
뭇국
마늘종무침
감자전
쌀밥/배추김치","사골만둣국(우사골엑기스:호주산)
탕평채
떡강정
무말랭이무침
쌀밥/배추김치","닭곰탕*소면사리(계육:국내산)
미역줄기볶음
단호박전
고들빼기절임
쌀밥/깍두기","나물된장비빔밥
유부장국
계란후라이
사각어묵볶음
배추김치","설렁탕(우육
우사골엑기스:호주산)
어묵전
오이스틱쌈장무침
유채나물
쌀밥/깍두기",
722Kcal,976Kcal,686Kcal,774Kcal,963Kcal,831Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄마요덮밥
일식장국
양배추샐러드
깍두기후식","치킨카레라이스(계육:브라질)
뭇국
단호박구이
배추김치","두부폭찹덮밥(돈육:미국산)
유부장국
양배추샐러드
단무지
후식","제육김치덮밥(돈육:미국산)
미역국
양배추샐러드
단무지
후식",,,"치킨커틀렛(계육
돈육:국내산)*양념치킨소스
크림스프
채소볶음밥
오이피클"
867Kcal,671Kcal,716Kcal,650Kcal,0Kcal,0Kcal,995Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
