■생활관식당(블루미르308관)
2015년 08월 17일 ~ 2015년 08월 23일
주간식단표
구분,월요일(08/17),화요일(08/18),수요일(08/19),목요일(08/20),금요일(08/21),토요일(08/22),일요일(08/23)
조식,한식,"김치수제비
도토리묵*양념장
햄채소볶음
유채나물
쌀밥
깍두기","두부조림
시락국
소시지채소볶음
열무나물
쌀밥
배추김치",,,,,
831Kcal,757Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,         0원
양식,"미니크로아상&데친후랑크소시지
크림스프
양배추샐러드
오이피클
시리얼&과일&우유","닭죽(계육:국내산)
오이부추무침
깍두기
시리얼&과일&우유",,,,,
482Kcal,478Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,         0원
중식,한식,"감자고추장찌개
너비아니엿장조림(돈육
계육:국내산)
새송이버섯볶음
치커리생채
쌀밥
배추김치","설렁탕&소면사리(우육
사골엑기스:호주산)
감자조림
김치전
잡채
쌀밥
깍두기",,,,,
914Kcal,976Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:30,11:30~13:30, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,         0원
양식,"김치볶음밥&계란후라이
뭇국
핫도그
단무지","돈가스카레라이스(돈육:국내산)
미역장국
양배추샐러드
깍두기",,,,,
902Kcal,881Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,         0원
특식,특식,"물냉면or비빔냉면
손만두찜
압축단무지
후식","[뚝]돼지불고기(돈육:미국산)
오이생채
상추쌈
마카로니샐러드
쌀밥
깍두기",,,,,
883Kcal,661Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :, :~ :, :~ :
"     3,200원","     3,200원",         0원,         0원,         0원,         0원,         0원
석식,한식,"육개장(우육:호주산)
사각어묵볶음
허브생채
올방개묵무침
쌀밥
깍두기",식당운영없음,,,,,
780Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원",         0원,         0원,         0원,         0원,         0원,         0원
양식,"치킨마요덮밥(계육:국내산)
일식장국
단호박구이
단무지",,,,,,
851Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원",         0원,         0원,         0원,         0원,         0원,         0원
공지사항,
