■생활관식당(블루미르308관)
2015년 09월 07일 ~ 2015년 09월 13일
주간식단표
구분,월요일(09/07),화요일(09/08),수요일(09/09),목요일(09/10),금요일(09/11),토요일(09/12),일요일(09/13)
조식,한식,"비엔나브로콜리볶음
뭇국
감자조림
오이생채
쌀밥
배추김치","떡갈비조림(돈육:국내산)
순두부김칫국
치커리유자청무침
건파래볶음
쌀밥/깍두기","꼬마돈가스(돈육
계육:국내산)
감자고추장찌개
생깻잎절임
가지볶음
쌀밥/배추김치","만두김치찌개
마늘종멸치볶음
청포묵무침
콩나물무침
쌀밥/깍두기","두부계란전
근대된장국
견과류조림
사각어묵볶음
쌀밥/배추김치","수제비국
명엽채볶음
메추리알장조림
다시마숙회
쌀밥/깍두기","쇠고기된장찌개(우육:호주산)
햄구이
시금치나물
건파래볶음
쌀밥/배추김치"
722Kcal,858Kcal,861Kcal,769Kcal,835Kcal,837Kcal,705Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
삶은계란*소금
깍두기
씨리얼/우유/과일","에그샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","단호박죽
계란장조림
얼갈이겉절이
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치채소죽
단호박구이
깍두기
씨리얼/우유/과일","견과류핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
665Kcal,495Kcal,675Kcal,508Kcal,675Kcal,546Kcal,555Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"고등어김치조림(고등어:국내산)
콩나물국
어묵마늘종볶음
메밀배추전
쌀밥/깍두기","산채비빔밥
일식장국
계란후라이두부강정
깍두기","해물칼국수
물만두찜
고추지무침
솎음배추겉절이","고기국수(돈육
돈잡뼈:국내산)
무짠지무침
두부탕수
배추김치","쇠고기뭇국(우육:호주산)
참치채소전
만두강정
청경채겉절이
쌀밥/배추김치","콩나물밥*양념장
일식장국
홈소시지전
생선가스(중국산)
배추김치","사골손만둣국(우사골엑기스:호주산)
감자햄볶음
무생채
콩자반
깍두기"
836Kcal,889Kcal,759Kcal,858Kcal,921Kcal,843Kcal,708Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄마요덮밥
콩나물국
양배추샐러드
깍두기","베이컨볶음밥
일식장국
채소크로켓
양배추샐러드
단무지","샐러드돈가스덮밥(돈육:국내산)
콘버터볶음
오이피클","두반가지덮밥(돈육:국내산)
일식장국
사모사튀김
짜사이채무침","짬뽕덮밥
계란팟국
버섯탕수
단무지","중국식볶음밥*자장소스
짬뽕국
양배추샐러드
단무지
후식","토마토스파게티
연유모닝빵튀김
오이피클
탄산음료"
790Kcal,888Kcal,813Kcal,782Kcal,951Kcal,919Kcal,824Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
