■생활관식당(블루미르308관)
2015년 09월 14일 ~ 2015년 09월 20일
주간식단표
구분,월요일(09/14),화요일(09/15),수요일(09/16),목요일(09/17),금요일(09/18),토요일(09/19),일요일(09/20)
조식,한식,"물만둣국
메추리알장조림
된장깻잎지
미역오이초무침
쌀밥/깍두기","오징어뭇국
치킨너겟(계육:국내산)
시래기된장조림
오이생채
쌀밥/배추김치","수제비아욱된장국
꼬마돈가스튀김(돈육
계육:국내산)
게맛살채소볶음
콩나물겨자냉채
쌀밥/배추김치","쇠고기뭇국(우육:호주산)
햄구이
도시락김
건파래볶음
배추김치","사골만둣국(우사골엑기스:호주산)
해물경단
브로콜리숙회
오이지무침
쌀밥/깍두기","어묵매운탕
계란장조림
감자채볶음
다시마쌈*초장
쌀밥/배추김치","너비아니엿장조림(돈육
계육:국내산)
감자맑은국
팽이버섯채소볶음
계란찜
쌀밥/배추김치"
807Kcal,759Kcal,980Kcal,609Kcal,876Kcal,756Kcal,810Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프양배추샐러드
오이피클
씨리얼/우유/과일","브로콜리새우죽
호박볶음
솎음배추겉절이
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치채소죽
오이생채
솎음배추겉절이
씨리얼/우유/과일","미니크로아상*데친후랑크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
고들빼기무침
얼갈이겉절이
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
784Kcal,507Kcal,686Kcal,503Kcal,648Kcal,518Kcal,682Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"단호박영양밥
근대된장국
꽁치무조림
콩나물무침
도시락김
쌀밥/배추김치","너비아니엿장조림(돈육
계육:국내산)
팽이버섯장국어묵탕수
치커리생채
쌀밥/깍두기","열무보리비빔밥
미역냉국
계란후라이
푸실리샐러드
배추김치","닭곰탕*소면사리(계육:국내산)
잡채어묵조림
마늘종지무침
시금치나물
쌀밥/깍두기","북어해장국
떡갈비조림(돈육:국내산)
올방개묵채소무침
고추지무침
쌀밥/배추김치","햄모둠찌개
부추전
청포묵김가루무침
사각어묵채소볶음
쌀밥/깍두기","설렁탕*소면사리(우육
우사골엑기스:호주산)
채소잡채
가지탕수
새송이버섯볶음
쌀밥/깍두기"
729Kcal,948Kcal,933Kcal,749Kcal,781Kcal,836Kcal,993Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"미트볼카레라이스(돈육
계육:국내산
우육:호주산)
유부장국
양배추샐러드
깍두기","오징어덮밥
팽이버섯장국
단호박구이
단무지","가츠돈(돈가스덮밥)(돈육:국내산)
일식장국
해초샐러드
오복지무침","돼지고기두반장덮밥(돈육:미국산)
미역국
양배추샐러드
단무지
후식","양지쌀국수(우육:호주산)
양파초절임
사모사튀김
단무지","치킨마요덮밥(계육:국내산)
미소장국
단호박구이
오이피클","자장덮밥*중화면사리
계란팟국
군만두튀김
단무지
후식"
859Kcal,754Kcal,935Kcal,888Kcal,777Kcal,975Kcal,946Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"비빔막국수
만두찜
단무지
후식","[뚝]버섯된장찌개
채소비빔밥&계란후라이
무말랭이무침
배추김치","[뚝]부대찌개*라면사리
감자채볶음
치커리유자청무침
쌀밥/깍두기","오므라이스*토마토소스스파게티
마카로니콘샐러드
오이피클
후식","[뚝]제육떡볶음(돈육:미국산)
오이냉국
상추쌈
무생채
쌀밥/솎음배추겉절이",,
933Kcal,908Kcal,749Kcal,927Kcal,739Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"우거지해장국(우육:호주산)
소시지전
명엽채볶음
허브생채
쌀밥/깍두기","사골조랭이떡국(우사골엑기스:호주산)
만두강정
오이생채
마카로니샐러드
쌀밥/깍두기","육개장(우육:호주산)
단호박채전
오이지무침
두부구이
쌀밥/깍두기","돈육김치찌개(돈육:미국산)
호박볶음
건파래볶음
두부탕수
쌀밥/깍두기","고등어구이(고등어:국내산)
김칫국
어묵전
유채나물
쌀밥/깍두기","참치채소비빔밥
유부장국
어묵볶음
누룽지샐러드
깍두기","*추억의도시락*알찬소시지전
멸치어묵볶음
건파래볶음
계란후라이
쌀밥/볶음김치"
927Kcal,946Kcal,817Kcal,930Kcal,920Kcal,820Kcal,973Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"잡채덮밥*자장소스
계란국
떡강정
양배추샐러드
단무지","김치볶음밥
콩나물국
생선커틀렛(명태:러시아)
후르츠콘샐러드
단무지","탄탄멘(일본식라멘)(돈육:미국산)
채소춘권
배추김치","매콤고추참치덮밥
다시마뭇국
채소튀김
양배추샐러드
단무지","햄채소볶음밥
김칫국
청파래오징어가스
양배추샐러드
오이피클","크림소스스파게티
수제마늘바게트
오이피클
탄산","돈가스(돈육:국내산)
유부장국
채소쫄면
쌀밥
오이피클"
956Kcal,913Kcal,852Kcal,785Kcal,919Kcal,789Kcal,889Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
