■생활관식당(블루미르308관)
2015년 09월 21일 ~ 2015년 09월 27일
주간식단표
구분,월요일(09/21),화요일(09/22),수요일(09/23),목요일(09/24),금요일(09/25),토요일(09/26),일요일(09/27)
조식,한식,"순두부찌개
햄구이*케찹
건파래볶음
콩나물무침
쌀밥/깍두기","북어콩나물국
완자튀김(계육
돈육:국내산)
감자조림
오이지무침
쌀밥/배추김치","비엔나브로콜리볶음
사각어묵국
청경채겉절이
도시락김
쌀밥/배추김치","만둣국
미트볼조림(돈육
계육:국내산/우육:호주산)
마늘종볶음
유채나물
쌀밥/깍두기","삼색수제비
두부조림
꼬마돈가스튀김(돈육
계육:국내산)
무나물
쌀밥/배추김치","런천미트계란전
두부김칫국
치커리유자청무침
깻잎지절임
쌀밥/깍두기",
737Kcal,767Kcal,680Kcal,788Kcal,920Kcal,680Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치채소죽
고구마맛탕
배추김치
씨리얼/우유/과일","에그샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
삶은계란
배추김치
씨리얼/우유/과일","견과류핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
665Kcal,563Kcal,675Kcal,495Kcal,555Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"칼국수
교자만두찜
열무생채수수밥
후식","된장찌개*채소비빔밥
숙주오이나물
사각어묵볶음
쌀밥/배추김치","꽁치구이*와사비장
시금치된장국
연두부찜
열무나물
쌀밥/배추김치","사골우거지탕(우사골엑기스:호주산)
부추생채
팽이버섯전
계란찜
쌀밥/배추김치","너비아니엿장구이(돈육
계육:국내산)
미역국
치커리생채
도시락김
쌀밥/배추김치","*옛날도시락*계란후라이
어묵마늘쫑볶음
소시지전
건파래볶음
볶음김치
쌀밥/일식장국",
981Kcal,820Kcal,699Kcal,798Kcal,780Kcal,997Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"김치볶음밥
배추된장국
왕꼬치구이(돈육
계육:국내산)
양배추샐러드
단무지","스팸마요덮밥
우동국
단무지
후식","채소볶음밥*계란후라이
다시마뭇국
생선가스(명태:러시아)오이피클","돈코츠라멘(일본식라면)(돈육:미국산
돈잡뼈:국내산)
단무지
후식","오므라이스*소시지구이
미역국
양배추샐러드
오이피클",추석운영없음,
750Kcal,857Kcal,886Kcal,953Kcal,876Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"[뚝]오삼불고기떡볶음(돈육:미국산)
무생채
숙주나물
쌀밥
솎음배추겉절이","[뚝]부대찌개*라면사리
계란말이
김구이
쌀밥/깍두기","어묵우동*미니날치알밥
양배추샐러드
단무지","[뚝]닭고기채소볶음(계육:브라질)
일식장국
부추생채
상추쌈
배추김치","[뚝]제육생채소비빔밥
미역국
계란후라이
배추김치
후식",,
756Kcal,715Kcal,891Kcal,791Kcal,891Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"닭개장(계육:국내산)
감자전
오이스틱무침
맛살채소볶음
쌀밥/배추김치","쇠고기미역국(우육:호주산)
채소잡채
소시지전
무말랭이무침
쌀밥/배추김치","오징어뭇국
떡갈비조림(돈육:국내산)
어묵전
콩나물무침
쌀밥/배추김치","참치김치찌개
환어묵볶음
가지탕수
열무나물
쌀밥/깍두기","호박고추장찌개
만두탕수
김치전
미역줄기볶음
쌀밥/배추김치",,
743Kcal,955Kcal,938Kcal,912Kcal,922Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
양식,"하이라이스*미니함박스테이크(돈육:국내산/우육:호주
뉴질랜드)
미소장국
양배추샐러드
단무지","콘브로콜리볶음밥*계란후라이
우동국
핫도그
단무지","치킨카레라이스(계육:브라질)
미소장국
해초샐러드
단무지
후식","치킨마요덮밥(계육:국내산)
팽이버섯장국
단호박구이
단무지","소시지마파두부덮밥
계란팟국
사모사튀김
단무지
후식",,
814Kcal,920Kcal,720Kcal,825Kcal,970Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
공지사항,
