■생활관식당(블루미르308관)
2015년 08월 31일 ~ 2015년 09월 06일
주간식단표
구분,월요일(08/31),화요일(09/01),수요일(09/02),목요일(09/03),금요일(09/04),토요일(09/05),일요일(09/06)
조식,한식,"햄구이
호박고추장찌개
시금치나물
건파래볶음
쌀밥/배추김치","순두부찌개
후랑크소시지채소볶음
계란장조림
콩나물무침
쌀밥/깍두기","쇠고기뭇국(우육:호주산)
생깻잎절임
매운떡갈비조림(돈육:국내산)
유채나물
쌀밥/배추김치","황태해장국
홈소시지전
무말랭이무침
오이생채
쌀밥/배추김치","미트볼조림(돈육
계육:국내산
우육:호주산)
시락국
허브생채
채소잡채
쌀밥/배추김치","두부계란전
근대된장국
맛느타리버섯볶음
도시락김
참치김치볶음
쌀밥","두부된장국
햄마늘종볶음
생선가스(중국산)
청경채겉절이
쌀밥/배추김치"
737Kcal,761Kcal,736Kcal,827Kcal,867Kcal,764Kcal,945Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","새우브로콜리죽
삶은계란*소금
배추김치
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치채소죽
오이생채
솎음배추겉절이
씨리얼/우유/과일","미니크로아상*데친후랑크소시지
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
고들빼기무침
얼갈이겉절이
씨리얼/우유/과일"
788Kcal,501Kcal,665Kcal,546Kcal,614Kcal,675Kcal,522Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"설렁탕*소면사리(우육
우사골엑기스:호주산)
올방개묵채소무침
오징어완자튀김
부추생채
쌀밥/깍두기","고등어구이(고등어:국내산)
미역국
버섯잡채
스크램블에그
쌀밥/깍두기","사골우거지탕(우사골엑기스:호주산)
환어묵볶음
치커리들깨소스무침
깻잎지무침
쌀밥/깍두기","햄모둠찌개
호박버섯볶음
브로콜리숙회
도시락김
쌀밥/깍두기","잔치국수
우엉양념밥
왕꼬치구이(돈육
계육:국내산)
단무지
후식","오징어콩나물비빔밥*계란후라이
오이냉국
떡잡채
배추김치","꽁치김치조림
다시마뭇국
콩나물무침
건파래볶음
쌀밥/깍두기"
850Kcal,995Kcal,678Kcal,634Kcal,781Kcal,922Kcal,719Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"오므라이스*미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
일식장국
양배추샐러드
오이피클","가츠돈(돈가스덮밥)(돈육:국내산)
미역국
해초샐러드
오복지무침
후식","김치볶음밥*계란후라이
미역장국
옥수수고로케
단무지","유부우동
채소춘권
단무지
후식","햄채소볶음밥*핫도그
쫄면채소무침
단무지","중국식볶음밥*자장소스
짬뽕국
떡강정
단무지","토마토소스스파게티
클링클컷감자튀김
오이피클
음료"
913Kcal,920Kcal,873Kcal,826Kcal,907Kcal,961Kcal,977Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"차이나스파게티
사모사튀김
오이피클
후식","얼큰한수제비국*채소비빔밥
계란후라이
푸실리샐러드
배추김치","[뚝]돈육고추장볶음(돈육:미국산)
미역장국
상추쌈
무초절임
쌀밥/솎음배추겉절이","[뚝]돌솥비빔밥
일식장국
계란후라이
마카로니샐러드
배추김치","[뚝]부대찌개*라면사리
오이쌈장무침
어묵전
쌀밥/깍두기",,
891Kcal,891Kcal,743Kcal,927Kcal,891Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원","     3,200원","     3,200원"
석식,한식,"만두김치찌개
계란찜
미역줄기볶음
숙주나물쌀밥/깍두기","참치채소비빔밥
유부장국
떡강정
어묵볶음
배추김치","닭개장(계육:국내산)
부추전
어묵마늘종볶음
게맛살냉채
쌀밥/깍두기","너비아니엿장조림(돈육
계육:국내산)
감자맑은국
버섯탕수
팽이버섯채소볶음
쌀밥/배추김치","떡갈비조림(돈육:국내산)
순두부김칫국
쑥갓두부무침
무들깨나물
쌀밥/깍두기","버섯육개장
감자채볶음
두부구이
오이지무침
쌀밥/깍두기","버섯된장찌개
햄양배추볶음
메추리알장조림
다시마숙회
쌀밥/배추김치"
705Kcal,923Kcal,853Kcal,831Kcal,925Kcal,702Kcal,731Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"잡채덮밥*자장소스
계란팟국
양배추샐러드짜사이채무침
후식","치킨카레라이스(계육:브라질)유부장국
양배추샐러드
단호박구이
깍두기","양지쌀국수(우육:호주산)
양파초절임
양배추콘샐러드
단무지","매콤고추참치덮밥
우동국
양배추샐러드
고구마맛탕
단무지","두부폭찹덮밥(돈육:미국산)
미소장국
가지탕수
오복지무침","치킨마요덮밥(계육:국내산)
미소장국
해초무침
단호박구이
단무지","치킨커틀렛*양념치킨소스
팽이버섯장국
양배추샐러드
쌀밥/오이피클"
736Kcal,824Kcal,741Kcal,916Kcal,936Kcal,817Kcal,974Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
