■생활관식당(블루미르308관)
2015년 10월 05일 ~ 2015년 10월 11일
주간식단표
구분,월요일(10/05),화요일(10/06),수요일(10/07),목요일(10/08),금요일(10/09),토요일(10/10),일요일(10/11)
조식,한식,"오징어떡불고기
콩나물국
미역초무침
양배추쌈*쌈장
쌀밥/깍두기","메추리알장조림
사각어묵매운국
허브생채
된장깻잎지
쌀밥/배추김치","꼬마돈가스간장조림(돈육
계육:국내산)
순두부맑은국
무생채
도시락김
쌀밥/배추김치","쇠고기미역국(우육:호주산)
두부조림
사각어묵볶음
무짠지
쌀밥/배추김치","너비아니엿장구이(돈육
계육:국내산)
미역장국
감자채볶음
콩나물무침
쌀밥/배추김치","북어해장국
알찬소시지전
치커리들깨소스무침
모둠콩조림
쌀밥/배추김치","물만둣국
무말랭이무침
꼬마돈가스(돈육
계육:국내산)
건파래볶음
쌀밥/배추김치"
679Kcal,602Kcal,740Kcal,675Kcal,781Kcal,938Kcal,912Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","새우브로콜리죽
호박볶음
솎음배추겉절이
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치채소죽
오이생채
솎음배추겉절이
씨리얼/우유/과일","미니크로아상*데친후랑크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
고들빼기무침
얼갈이겉절이
씨리얼/우유/과일"
792Kcal,493Kcal,660Kcal,522Kcal,642Kcal,678Kcal,539Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"닭곰탕(계육:국내산)
양파초절임
메밀배추전
마늘종볶음
쌀밥/깍두기","사골우거지탕(우사골엑기스
우육:호주산)
팽이버섯채소볶음
햄구이
열무생채
쌀밥/깍두기","김치잔치국수
왕꼬치구이(돈욱
계육:국내산)
우엉양념밥
단무지","손만둣국
오이부추무침
환어묵볶음
누룽지샐러드
쌀밥/깍두기","햄모둠찌개
청포묵무침
두부탕수
김구이
쌀밥/깍두기","참치채소비빔밥
우동국
떡맛탕
배추김치
후식","쇠고기뭇국(우육:호주산)
잡채어묵볶음
단호박조림
단배추나물
쌀밥/배추김치"
707Kcal,679Kcal,930Kcal,938Kcal,938Kcal,952Kcal,742Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"김치볶음밥*계란후라이
유부장국
카레고로케
단무지","고추잡채덮밥*꽃빵
계란팟국
가지탕수
단무지","미트볼카레라이스(돈육:국내산
수입산/우육:호주산)
일식장국
스피랄리볶음
단무지","계란볶음밥*자장소스
매운콩나물국
만두튀김
짜사이채무침
후식","오므라이스*소시지구이
미역국
양배추샐러드
오이피클","토마토소스스파게티
클링클컷감자튀김
오이피클
탄산음료","채소볶음밥
팽이버섯장국
계란후라이
핫도그
오이피클"
928Kcal,960Kcal,972Kcal,987Kcal,798Kcal,972Kcal,910Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"바지락칼국수
물만두찜
고추지무침
솎음배추겉절이","타이칠리볶음밥(계육:브라질)
우동국
계란후라이
단호박튀김
오이피클","[뚝]밀양돼지국밥(돈육:미국산
돈잡뼈:국내산)
김치전
마카로니샐러드
쌀밥/깍두기","[뚝]뼈없는감자탕(돈육:미국산
돈잡뼈:국내산)
마늘장아찌
누룽지샐러드
깍두기",,,
736Kcal,990Kcal,934Kcal,887Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원,         0원
석식,한식,"육개장(우육:호주산)
허브생채
팽이버섯전
게맛살채소볶음
쌀밥/배추김치","매운떡갈비조림(돈육:국내산)
일식장국
상추겉절이
어묵마늘종볶음
쌀밥/배추김치","매운쇠고깃국(우육:호주산)
모듬햄볶음
부추전
콩나물무침
쌀밥/깍두기","단호박영양밥
근대된장국
두부강정
맛살팽이버섯볶음
숙주나물
깍두기","돈육고추장찌개(돈육:미국산)
햄구이
미역줄기볶음
무말랭이무침
쌀밥/배추김치","설렁탕*소면사리(우육
우사골엑기스:호주산)
도토리묵김치무침
콩나물무침
양파초절임
쌀밥/깍두기","*옛날도시락*계란후라이
알찬소시지전
어묵마늘종볶음
건파래볶음
볶음김치*쌀밥"
730Kcal,952Kcal,811Kcal,683Kcal,906Kcal,688Kcal,981Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"오야꼬동(닭고기덮밥)(계육:브라질)
일식장국
채소춘권
단무지","치킨커틀렛(계육
돈육:국내산)
크림스프
양배추샐러드
채소볶음밥
오이피클","치킨마요덮밥(돈육:국내산)
팽이버섯장국
배추김치
후식","오징어덮밥
근대된장국
양배추샐러드
단무지","탄탄멘(돈육:미국산
돈잡뼈:국내산)
단무지
후식","함박스테이크(돈육
계육:국내산)*계란후라이
우동국
양배추샐러드
쌀밥/오이피클","샐러드돈가스(돈육:국내산)
뭇국
감자마카로니범벅
쌀밥
단무지"
986Kcal,786Kcal,881Kcal,803Kcal,955Kcal,930Kcal,645Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
