■생활관식당(블루미르308관)
2015년 10월 19일 ~ 2015년 10월 25일
주간식단표
구분,월요일(10/19),화요일(10/20),수요일(10/21),목요일(10/22),금요일(10/23),토요일(10/24),일요일(10/25)
조식,한식,"조랭이떡국
비엔나소시지케찹볶음
가지나물
건파래볶음
쌀밥/배추김치","두부고추장찌개
알찬소시지전
새송이버섯볶음
오이양파무침
쌀밥/깍두기","비지찌개
감자조림
어묵볶음
부추적채겉절이
쌀밥/깍두기","김치수제비
도토리묵*양념장
햄구이
오이쌈장무침
쌀밥/깍두기","꽁치무조림
열무된장국
맛느타리버섯볶음
스크램블에그
쌀밥/배추김치","장터국밥(우육:호주산)
도시락김
유채나물
모둠채소겉절이
쌀밥/깍두기","만두탕수
사각어묵국
감자채볶음
건파래볶음
쌀밥/깍두기"
882Kcal,948Kcal,710Kcal,840Kcal,768Kcal,780Kcal,989Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","새우브로콜리죽
계란장조림
씨리얼/우유/과일
깍두기","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","견과류핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
콩자반
배추김치
씨리얼/우유/과일","함박스테이크*계란후라이(돈육
계육:국내산)
크림스프
양배추샐러드
쌀밥/오이피클"
770Kcal,581Kcal,680Kcal,501Kcal,678Kcal,524Kcal,911Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"호박된장찌개
메추리알장조림
미역초무침
어묵볶음
쌀밥/배추김치","게맛살채소볶음
유부장국
브로콜리숙회
미트볼조림(돈육
계육:국내산.우육:호주산)
쌀밥/깍두기","고등어시래기조림(고등어:국내산)
일식장국
채소잡채
숙주나물볶음
쌀밥/깍두기","햄마늘종볶음
들깨배춧국
감자매운조림
도시락김
쌀밥/배추김치","떡갈비조림(돈육:국내산)
우동국
건파래볶음
가지탕수
쌀밥/배추김치","두부강정
김칫국
환어묵조림
콩나물무침
쌀밥/깍두기",
679Kcal,905Kcal,870Kcal,875Kcal,920Kcal,964Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"잡채덮밥*자장소스
우동국
만두튀김
단무지","참치마요덮밥
유부장국
고구마맛탕
단무지","하이라이스*미니함박스테이크(우육:호주
뉴질랜드
돈육:국내산)
일식장국
스피랄리볶음
오이피클","참치채소볶음밥*계란후라이
일식장국
왕꼬치구이(돈육
계육:국내산)
단무지","돈가스김치덮밥(돈육:국내산)
우동국
양배추샐러드
단무지","오야꼬동(닭고기덮밥)(계육:브라질)
일식장국
해초샐러드
단무지","가자미구이
콩나물국
호박볶음
단배추나물
쌀밥/배추김치"
968Kcal,922Kcal,911Kcal,940Kcal,961Kcal,764Kcal,780Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
