■생활관식당(블루미르308관)
2015년 10월 26일 ~ 2015년 11월 01일
주간식단표
구분,월요일(10/26),화요일(10/27),수요일(10/28),목요일(10/29),금요일(10/30),토요일(10/31),일요일(11/01)
조식,한식,"사골우거지탕(우육
사골농축액:호주산)
메추리알곤약조림
사각어묵볶음
도시락김
쌀밥
깍두기","쇠고기뭇국(우육:호주산)
꽁치구이
김구이
생깻잎절임
쌀밥
배추김치","비엔나브로콜리볶음
미역국
계란찜
허브생채
쌀밥
배추김치","오징어뭇국
너비아니조림(돈육
계육:국내산)
브로컬리숙회
콩나물무침
쌀밥
배추김치","감자수제비
해물경단
고구마순볶음
돌나물&초장
쌀밥
배추김치","후랑크소시지채소볶음
사각어묵국
연근조림
미나리무생채
쌀밥
배추김치","나물된장비빔밥
일식장국
계란후라이
누룽지샐러드
오이지무침
깍두기"
763Kcal,615Kcal,636Kcal,869Kcal,883Kcal,751Kcal,910Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"쇠고기죽(우육:호주산)
무조림
솎음배추겉절이
시리얼&과일&우유","시나몬토스트
데친후랑크소시지
옥수수스프
양배추샐러드
오이피클
시리얼&과일&우유","모닝빵*딸기잼
스크램블에그
크림스프
오이피클
시리얼&과일&우유","참치샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
고들뺴기무침
얼갈이겉절이
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","함박스테이크*계란후라이(돈육
계육:국내산)
크림스프
양배추샐러드
쌀밥/오이피클"
561Kcal,629Kcal,700Kcal,650Kcal,680Kcal,723Kcal,948Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"김치수제비
게맛살계란전
꼬마돈가스조림(돈육
계육:국내산)
시금치나물
쌀밥
깍두기","칼국수
물만두찜
양파초절임
배추겉절이","미트볼케찹조림(돈육
계육:국내산
우육:호주산)
조랭이떡국
무말랭이무침
청경채겉절이
쌀밥
배추김치","닭개장(계육:국내산)
만두강정
햄마늘종볶음
고추지
쌀밥
배추김치","콩나물밥*양념장
근대된장국
날치알계란찜
마늘종볶음
배추김치","설렁탕&소면사리(우양지
사골농축액:호주산)
완자전(돈육
계육:국내산)
미역줄기볶음
무비트초절임
쌀밥
배추김치",
767Kcal,929Kcal,890Kcal,803Kcal,796Kcal,890Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"치킨마요덮밥(계육:국내산)
우동국
사우어크라우트
후식","가츠돈(돈육:국내산)
우동국
마카로니샐러드
오복지무침","베이컨햄볶음밥
일식장국
왕꼬치구이(돈육
계육:국내산)
양배추샐러드
단무지","유부우동
지마구
누룽지샐러드
단무지","미트볼하이라이스(돈육
계육:국내산/우육:호주산)
근대된장국
스피랄리볶음
오이피클","중국식볶음밥&자장소스
계란팟국
사모사튀김
단무지","떡갈비구이(돈육:국내산)
다시마뭇국
콩자반
마늘종고추장무침
쌀밥
깍두기"
869Kcal,920Kcal,797Kcal,850Kcal,882Kcal,772Kcal,876Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"*할로윈특식*오므라이스&마파두부
스마일감자튀김
오이피클
후식","*할로윈특식*파프리카볶음밥&토마토소스스파게티
단호박구이
단무지
후식","*할로윈특식*단호박사과카레라이스
유부장국
오이피클
천사채샐러드
배추김치
후식","*할로윈특식*오므라이스
브라운/화이트소스
소시지구이
마늘빵
오이피클
후식","*할로윈특식*할로윈토핑벤또
일식장국
스피랄리볶음
배추김치
후식",,"매콤고추참치덮밥
다시마뭇국
수제채소튀김
양배추샐러드
단무지"
915Kcal,910Kcal,882Kcal,960Kcal,926Kcal,0Kcal,797Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :,17:30~18:30
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,"     2,800원"
석식,한식,"오징어볶음&소면사리
뭇국
팽이버섯양파볶음
유채나물
쌀밥
배추김치","김치찌개
두부강정
옛날소시지전
숙주나물
쌀밥
깍두기","고등어김치조림(고등어:국내산)
콩나물국
감자채볶음
마카로니샐러드
쌀밥
깍두기","꼬마돈까스조림(돈육
계육:국내산)
황태해장국
고추장떡
무생채
쌀밥
배추김치","경상도식고깃국(우양지:뉴질랜드산)
계란장조림
명엽채볶음
치커리오이겉절이
쌀밥
깍두기","맑은순두부국
고기산적구이(돈육
계육:국내산)
쫄면채소무침
느타리호박볶음
쌀밥
배추김치","쇠고기된장찌개(우양지:호주산)
햄구이
도토리묵무침
가지볶음
쌀밥
배추김치"
702Kcal,750Kcal,775Kcal,922Kcal,857Kcal,869Kcal,763Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
