■생활관식당(블루미르308관)
2015년 09월 28일 ~ 2015년 10월 04일
주간식단표
구분,월요일(09/28),화요일(09/29),수요일(09/30),목요일(10/01),금요일(10/02),토요일(10/03),일요일(10/04)
조식,한식,추석연휴운영없음,"김치수제비
도토리묵*양념장
햄채소볶음
감자조림
쌀밥/깍두기","조랭이떡국
비엔나소시지케찹볶음
건파래볶음
열무나물
쌀밥/깍두기","두부고추장찌개
알찬소시지전
브로콜리숙회
새송이버섯볶음
쌀밥/배추김치","꽁치무조림
열무된장국
쑥갓두부무침
스크램블에그
쌀밥/배추김치","비지찌개
부추적채겉절이
계란찜
주키니호박볶음
쌀밥/깍두기","장터국밥(우육:호주산)
환어묵피망볶음
시금치나물
모둠채소겉절이
쌀밥/깍두기"
0Kcal,815Kcal,858Kcal,888Kcal,764Kcal,708Kcal,897Kcal
 :~ :,08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
         0원,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,,,"프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치채소죽
오이생채
솎음배추겉절이
씨리얼/우유/과일","모닝빵*딸기잼
데친후랑크소시지
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
미역줄기볶음
얼갈이겉절이
씨리얼/우유/과일"
0Kcal,0Kcal,670Kcal,670Kcal,720Kcal,681Kcal,523Kcal
 :~ :, :~ :,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
         0원,         0원,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"돼지불고기채소비빔밥(돈육:미국산)
미역장국
마카로니샐러드
오복지무침
배추김치","육개장(우육:호주산)
떡맛탕
사각어묵볶음
허브생채
쌀밥/배추김치","콩나물밥*양념간장
호박된장찌개
계란찜
미역초무침
배추김치","떡갈비튀김(돈육:국내산)
팽이버섯장국
두부찜*볶음김치
도시락김
쌀밥","고기산적조림(돈육:국내산)
들깨배춧국
게맛살채소볶음
된장깻잎지
쌀밥/깍두기","설렁탕*소면사리(우육
우사골엑기스:호주산)
꼬마돈가스튀김(돈육
계육:국내산)
새송이버섯볶음
쌀밥/깍두기","오징어뭇국
너비아니마늘종볶음(돈육
계육:국내산)
계란찜
고구마순들깨나물
쌀밥/배추김치"
891Kcal,992Kcal,757Kcal,895Kcal,939Kcal,936Kcal,822Kcal
11:30~13:00,11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,,"돈가스(돈육:국내산)
크림스프
양배추샐러드
모닝빵
쌀밥/단무지","참치마요덮밥
유부장국
핫도그
단무지","헴김치볶음밥
팽이버섯장국
고구마맛탕
단무지","유부커리우동
채소춘권
해초샐러드
단무지","매콤참치덮밥
팽이버섯장국
옥수수크로켓
오이피클","돈가스카레라이스(돈육:국내산)
일식장국
양배추샐러드
단무지"
0Kcal,869Kcal,983Kcal,930Kcal,937Kcal,889Kcal,922Kcal
 :~ :,11:30~13:00,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
         0원,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,,,"[뚝]밀양돼지국밥(돈육
돈잡뼈:국내산)
부추생채
마카로니샐러드
쌀밥/깍두기","[뚝]부대찌개*라면사리
미역줄기볶음
감자사과샐러드
쌀밥/솎음배추겉절이","*3분김치찌개*[뚝]돈육김치찌개(돈육:미국산)
계란말이
숙주나물
쌀밥*김가루
깍두기",,
0Kcal,0Kcal,841Kcal,792Kcal,714Kcal,0Kcal,0Kcal
 :~ :, :~ :,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
         0원,         0원,"     3,200원","     3,200원","     3,200원",         0원,         0원
