■생활관식당(블루미르308관)
2015년 11월 09일 ~ 2015년 11월 15일
주간식단표
구분,월요일(11/09),화요일(11/10),수요일(11/11),목요일(11/12),금요일(11/13),토요일(11/14),일요일(11/15)
조식,한식,"단호박닭찜(계육:브라질)
순두부맑은국
브로콜리숙회
숙주나물
쌀밥/배추김치","꼬마돈가스조림(돈육
계육:국내산)
얼큰수제비국
허브생채
건파래볶음
쌀밥/깍두기","북어해장국
생깻잎절임
완자튀김(계육
돈육:국내산)
열무나물
쌀밥/배추김치","육개장(우육:호주산)
어묵탕수
미역줄기볶음
고추지무침
쌀밥/깍두기","고등어조림
무청된장국
쑥갓두부무침
콩나물무침
쌀밥/깍두기","물만둣국
치킨너겟(계육:국내산)
실곤약채소무침
무말랭이무침
쌀밥/배추김치","참치김치볶음
아욱된장국
두부찜
어묵마늘쫑볶음
도시락김
쌀밥"
660Kcal,735Kcal,685Kcal,851Kcal,739Kcal,830Kcal,690Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","견과류핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","에그샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","미니크로아상*데친후랑크소시지
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","단호박샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
단호박가래떡조림
얼갈이겉절이
씨리얼/우유/과일"
671Kcal,659Kcal,681Kcal,688Kcal,661Kcal,688Kcal,689Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"비지찌개
채소잡채
햄구이
모둠채소겉절이
쌀밥/깍두기","매운떡갈비조림(돈육:국내산)
솎음배추된장국
맛느타리버섯볶음
숙주나물
쌀밥/깍두기","매운쇠고깃국(우육:호주산)
완자전(돈육
계육:국내산)
감자채볶음
상추겉절이
쌀밥/배추김치","닭개장(계육:국내산)
단호박전
올방개묵무침
다시마숙회
쌀밥/깍두기","감자고추장찌개
어묵잡채
모둠소시지볶음
시래기된장조림
쌀밥/배추김치","호박된장찌개
오징어완자전
허브생채
계란찜
쌀밥/깍두기","두부김치찌개
마늘종볶음
햄구이
계란후라이
쌀밥/깍두기"
800Kcal,792Kcal,791Kcal,790Kcal,912Kcal,853Kcal,890Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치마요덮밥
유부장국
단호박구이
단무지","자장밥(돈기름:국내산)
짬뽕국
모둠탕수육(돈육:국내산)
단무지","온메밀국수
우엉양념밥
고구마맛탕
락교*압축단무지","어묵커리우동
해초샐러드
단무지
탄산음료","베이컨햄볶음밥
미역장국
생선커틀렛(명태:러시아)
오이피클","샐러드돈가스(돈육:국내산)
유부장국
떡맛탕
단무지","클래식함박스테이크(계육
돈육:국내산)
크림스프
양배추샐러드
오이피클"
967Kcal,997Kcal,839Kcal,800Kcal,970Kcal,999Kcal,423Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]돈육불고기(돈육:미국산)
무생채
상추쌈*쌈장
쌀밥/배추겉절이","[뚝]돌솥비빔밥
솎음배추된장국
채소과일샐러드
계란후라이
배추김치","[뚝]돈육김치찌개(돈육:미국산)
계란말이
어묵마늘종볶음
쌀밥*김가루
깍두기","[뚝]날치알밥
두부장국
누룽지샐러드
오이피클
후식","[뚝]부대찌개*라면사리
계란말이
삼색채소냉채
얼갈이겉절이",,
724Kcal,919Kcal,830Kcal,690Kcal,761Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"설렁탕*소면사리(우육
우사골엑기스:호주산)
마늘종햄볶음
부추적채겉절이
쌀밥/깍두기","오징어뭇국
너비아니엿장구이(돈육
계육:국내산)
스크램블에그
치커리들깨소스무침
쌀밥/배추김치","비엔나소시지케찹볶음
열무된장국
계란찜
브로콜리숙회
쌀밥/배추김치","콩나물밥*양념장
청고추된장찌개
계란찜
느타리버섯미역줄기볶음
배추김치","고기산적조림(돈육
계육:국내산)
매운버섯국
두부채소전
실곤약채소무침
쌀밥/깍두기","닭곰탕*소면사리(계육:국내산)
청포묵무침
양파초절임
만두탕수
쌀밥/깍두기","닭갈비*떡사리(계육:브라질)
콩나물국
다시마쌈*쌈장
삼색채소냉채
쌀밥/배추김치"
837Kcal,824Kcal,878Kcal,677Kcal,849Kcal,930Kcal,830Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"하이라이스*미니함박(우육:호주
뉴질랜드/돈육:국내산)
양배추샐러드
오이피클","돈가스김치덮밥(돈육:국내산)
푸실리샐러드
단무지","오징어덮밥
열무된장국
누룽지샐러드
단무지
후식","오므라이스*미니함박(우육:호주
뉴질랜드/돈육:국내산)
미소장국
오이피클","소시지마파두부덮밥
계란팟국
채소춘권
단무지","매콤고추참치덮밥
우동국
마카로니감자샐러드
오복지무침","미트볼카레라이스(돈육:국내산
수입산/우육:호주산)
콩나물국
푸실리샐러드
배추김치"
789Kcal,888Kcal,753Kcal,924Kcal,922Kcal,920Kcal,911Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
