■생활관식당(블루미르308관)
2015년 11월 16일 ~ 2015년 11월 22일
주간식단표
구분,월요일(11/16),화요일(11/17),수요일(11/18),목요일(11/19),금요일(11/20),토요일(11/21),일요일(11/22)
조식,한식,"매운떡갈비조림(돈육:국내산)
솎음배추된장국
맛느타리버섯볶음
브로콜리숙회
쌀밥/배추김치","닭고기굴소스볶음(계육:브라질)
사각어묵국
청포묵김가루무침
상추들깨겉절이
쌀밥/배추김치","순두부찌개
옛날소시지전
유채나물
새송이버섯볶음
쌀밥/깍두기","오징어완자전
된장찌개
마늘종볶음
허브생채
쌀밥/배추김치","미트볼조림(돈육:국내산
수입산/우육:호주산)
아욱된장국
스크램블에그
김구이
쌀밥/깍두기","수제비국
후랑크소시지채소볶음
치커리생채
계란찜
쌀밥/깍두기","장터국밥(우육:호주산)
어묵마늘종볶음
모둠채소겉절이
건파래무침
쌀밥/깍두기"
836Kcal,756Kcal,840Kcal,808Kcal,830Kcal,828Kcal,670Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","브로콜리새우죽
계란장조림
솎음배추겉절이
우유/씨리얼/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","샐러드샌드위치
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","미니크로아상*데친후랑크
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","마늘바게트*연유모닝빵
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일"
574Kcal,469Kcal,681Kcal,521Kcal,676Kcal,561Kcal,568Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"참치김치찌개
계란찜
도시락김
마늘종볶음
쌀밥/깍두기","꽁치무조림
콩나물국
쑥갓두부무침
팽이버섯전
쌀밥/배추김치","콩불(콩나물불고기)(돈육:미국산)
일식장국
무초절임
김구이
쌀밥/배추김치","닭곰탕*소면사리(계육:국내산)
양파초절임
감자전
청포묵무침
쌀밥/깍두기","어묵잔치국수*채소양념밥
왕꼬치구이(돈육
계육:국내산)
솎음배추겉절이","닭고기채소볶음(계육:브라질)
미역국
무초절임
양배추쌈*쌈장
쌀밥/배추김치","너비아니엿장조림(돈육
계육:국내산)
팽이버섯장국
가지탕수
채소잡채
쌀밥/깍두기"
765Kcal,722Kcal,788Kcal,846Kcal,846Kcal,737Kcal,820Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄마요덮밥
우동국
단호박맛탕
오이피클","고추잡채덮밥*꽃빵
계란팟국
사모사튀김
단무지","샐러드돈가스(돈육:국내산)
일식장국
마카로니감자샐러드
쌀밥*단무지","하이라이스*미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
양배추샐러드
오이피클","치킨카레라이스(계육:국내산)
미역장국
만두탕수
배추김치","오므라이스*소시지구이
미역국
양배추샐러드
오이피클","치킨마요덮밥(계육:국내산)
팽이버섯장국
단호박구이
단무지"
867Kcal,884Kcal,640Kcal,820Kcal,920Kcal,903Kcal,824Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,한식,,,,,,,
,,,,,,0Kcal
,,,,,, :~ :
,,,,,,         0원
특식,"[뚝]돌솥비빔밥
우동국
감자사과샐러드
계란후라이
배추김치","[뚝]순댓국(돈잡뼈:국내산)
사각어묵채소볶음
부추생채
쌀밥/깍두기","[뚝]밀양돼지국밥(돈잡뼈:국내산)
오이쌈장무침
멕시칸샐러드
쌀밥/깍두기","[뚝]부대찌개*라면사리
어묵미역줄기볶음
후르츠콘샐러드
쌀밥/깍두기","[뚝]돈육김치찌개(돈육:국내산)
계란말이
시금치나물
쌀밥/깍두기",,
890Kcal,740Kcal,901Kcal,774Kcal,760Kcal,0Kcal,
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :,
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,
석식,한식,"두부고추장찌개
콩나물밥*양념장
햄감자조림
청포묵채소무침
깍두기","너비아니마늘종볶음(돈육
계육:국내산)
오징어뭇국
메추리알장조림
콩나물무침
쌀밥/배추김치","우거지해장국(우사골엑기스:호주산)
두부구이
무말랭이무침
채소잡채
쌀밥/깍두기","만둣국
미역오이초무침
감자단호박조림
김치전
쌀밥/깍두기","*옛날도시락*계란후라이
옛날소시지전
어묵마늘종볶음
건파래볶음
쌀밥/볶음김치","고등어무조림(고등어:국내산)
무청된장국
두부구이
미역줄기볶음
쌀밥/배추김치",
710Kcal,772Kcal,729Kcal,874Kcal,915Kcal,830Kcal,
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",
