■생활관식당(블루미르308관)
2015년 11월 23일 ~ 2015년 11월 29일
주간식단표
구분,월요일(11/23),화요일(11/24),수요일(11/25),목요일(11/26),금요일(11/27),토요일(11/28),일요일(11/29)
조식,한식,"돈육모둠장조림(돈육:미국산)
콩나물국
부추적채겉절이
사각어묵볶음
쌀밥/배추김치","사골만둣국(우사골엑기스:호주산)
우엉조림
게맛살팽이버섯볶음
허브생채
쌀밥/깍두기","고기산적조림(돈육:국내산)
매운버섯국
쑥갓두부무침
오이지무침
쌀밥/배추김치","북어해장국
생깻잎절임
견과류조림
미역초고추장무침
쌀밥/배추김치","비엔나채소볶음
감잣국
채소잡채
배추된장나물
쌀밥/깍두기","닭개장(계육:국내산)
주키니호박볶음
어묵채볶음
청포묵김가루무침
쌀밥/배추김치","매운떡갈비조림(돈육:국내산)
근대된장국
버섯미역줄기볶음
브로콜리숙회
쌀밥/배추김치"
694Kcal,711Kcal,901Kcal,620Kcal,697Kcal,684Kcal,854Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","새우브로콜리죽
계란장조림
솎음배추겉절이
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","두부도너츠*데친후랑크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","에그샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
596Kcal,499Kcal,680Kcal,630Kcal,630Kcal,603Kcal,493Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"단호박닭찜(계육:브라질)
순두부맑은국
숙주나물
양파초절임
쌀밥/배추김치","오징어떡불고기*쫄면사리
미역국
스크램블에그
콩나물무침
쌀밥/배추김치","돈육고추장떡볶음(돈육:미국산)
솎음배추된장국
무초절임
상추겉절이
쌀밥/깍두기","비지찌개
알찬소시지전
꽈리고추멸치볶음
건파래무침
쌀밥/깍두기","참치김치찌개
마늘종볶음
계란찜
도시락김
쌀밥/깍두기","어묵잔치국수
옥수수고로케
도토리묵김가루무침
솎음배추겉절이","햄모둠찌개
채소잡채
청포묵무침
도시락김
쌀밥/깍두기"
620Kcal,757Kcal,839Kcal,865Kcal,723Kcal,682Kcal,761Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"너비아니마요덮밥(돈육
계육:국내산)
일식장국
단호박가래떡조림
오이피클","참치김치볶음밥
미역국
만두탕수육
양배추샐러드
단무지","양지쌀국수(우육:호주산)
짜사이채무침
후식","계란볶음밥*자장소스
유부장국
채소춘권
오복지무침","아라비아타스파게티
오이피클
모닝빵연유튀김
후식","하이라이스*미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
얼갈이된장국
푸실리샐러드
오이피클","볶음우동
일식장국
슈스트링감자튀김
단무지"
909Kcal,938Kcal,670Kcal,960Kcal,944Kcal,993Kcal,810Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]부대찌개*라면사리
미역줄기볶음
마카로니샐러드
깍두기","[뚝]돌솥비빔밥
미역국
연두부찜
계란후라이
배추김치","[뚝]돈육김치찌개(돈육:미국산)
계란찜
명엽채볶음
쌀밥*김가루
깍두기","[뚝]김치날치알밥
유부장국
매운감자조림
락교","[뚝]돈육불고기(돈육:미국산)
무초절임
상추쌈
쌀밥/솎음배추겉절이",,
822Kcal,832Kcal,721Kcal,546Kcal,698Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"물만둣국
꽁치구이*와사비장
두부구이
무말랭이무침
쌀밥
배추김치","닭곰탕*소면사리(계육:국내산)
두부채소전
양파초절임
오이지무침
쌀밥/깍두기","닭고기굴소스볶음(계육:브라질)
매운콩나물국
무생채
도시락김
쌀밥/배추김치","순대채소볶음
얼갈이된장국
상추치커리겉절이
단호박맛탕
쌀밥/배추김치","돈육춘장볶음(돈육:국내산)
일식장국
열무생채
양배추쌈*쌈장
쌀밥
얼갈이겉절이","설렁탕*소면사리(우육
우사골엑기스:호주산)
김치전
사각어묵채소볶음
부추적채겉절이
쌀밥/깍두기","쇠고기뭇국(우육:호주산)
환어묵조림
팽이버섯양파볶음
올방개묵무침
쌀밥/배추김치"
925Kcal,720Kcal,652Kcal,705Kcal,678Kcal,890Kcal,640Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄채소볶음밥
미소장국
계란후라이
만두강정
오이피클","가츠돈(돈가스덮밥)(돈육:국내산)
일식장국
양배추샐러드
단무지","미트볼카레라이스(돈육:국내산
수입산/우육:호주산)
매운콩나물국
비빔채소만두
단무지","두부폭찹덮밥(돈육:미국산)
얼갈이된장국
마카로니햄샐러드
단무지
후식","치킨마요덮밥(계육:국내산)
일식장국
단호박구이
단무지","등심돈가스(돈육:국내산)
크림스프
멕시칸샐러드
쌀밥/오이피클","오므라이스*소시지구이
다시마뭇국
마카로니샐러드
오이피클"
989Kcal,859Kcal,990Kcal,977Kcal,793Kcal,909Kcal,957Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
