■생활관식당(블루미르308관)
2015년 11월 30일 ~ 2015년 12월 06일
주간식단표
구분,월요일(11/30),화요일(12/01),수요일(12/02),목요일(12/03),금요일(12/04),토요일(12/05),일요일(12/06)
조식,한식,"비엔나브로콜리볶음
미역국
삼색계란찜
마늘종멸치볶음
쌀밥/배추김치","닭고기떡장조림(계육:브라질)
시락국
사각어묵채소볶음
고추지무침
쌀밥/배추김치","쇠고기뭇국(우육:호주산)
햄채소볶음
부추생채
건파래볶음
쌀밥/배추김치","사골우거지탕(우사골엑기스:호주산)
두부구이*양념장
치커리들깨소스무침
깻잎지무침
쌀밥/깍두기","고등어무조림(고등어:국내산)
열무된장국
감자채볶음
콩나물무침
쌀밥/배추김치","얼큰수제비국
감자환어묵조림
진미채고추장볶음
미역초무침
쌀밥/깍두기","쇠고기미역국(우육:호주산)
두부찜
호박버섯볶음
무말랭이무침
쌀밥/배추김치"
757Kcal,699Kcal,610Kcal,790Kcal,810Kcal,750Kcal,670Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"견과류핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","에그샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","두부도너츠
데친후랑크소시지
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵채소볶음
얼갈이겉절이
씨리얼/우유/과일","핫케이크*딸기잼
스크램블에그
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
682Kcal,667Kcal,645Kcal,676Kcal,724Kcal,550Kcal,706Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"꽁치레몬구이
감자청국장찌개
숙주나물
오이생채
쌀밥/배추김치","떡갈비조림(돈육:국내산)
순두부김칫국
단호박전
삼색겨자냉채
쌀밥/깍두기","닭고기부추볶음(계육:브라질)
미역국
열무생채
양파초절임
쌀밥/배추김치","참치채소비빔밥
미소장국
고구마맛탕
푸실리샐러드
깍두기","고기국수(제주도식국수)(돈잡뼈:국내산
돈육:미국산)
사각어묵볶음
오이지무침","참치김치찌개
계란장조림
브로콜리숙회
도시락김
쌀밥/깍두기","황태해장국
완자조림(계육
돈육:국내산)
오이지무침
시금치나물
쌀밥/깍두기"
670Kcal,955Kcal,706Kcal,921Kcal,615Kcal,635Kcal,650Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"베이컨햄볶음밥
팽이버섯장국
왕꼬치구이(돈육
계육:국내산)
오이피클","자장덮밥(돈기름:국내산)
계란팟국
모둠탕수육(돈육:국내산)
단무지","양지쌀국수(우육:호주산)
채소춘권
락교","꼬치어묵우동
수제채소튀김
오복지무침","고추잡채덮밥*꽃빵
계란팟국
버섯탕수
짜사이채무침","돈가스카레라이스(돈육:국내산)
뭇국
푸실리샐러드
배추김치","클래식함박스테이크(계육
돈육:국내산)
계란후라이
크림스프
클링클컷감자튀김
쌀밥/오이피클"
750Kcal,943Kcal,763Kcal,740Kcal,926Kcal,902Kcal,922Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]돈육불고기(돈육:미국산)
상추쌈
마카로니샐러드
쌀밥
얼갈이겉절이","[뚝]돌솥비빔밥
계란팟국
누룽지샐러드
계란후라이
깍두기","[뚝]뼈없는감자탕(돈육:미국산
돈잡뼈:국내산)
팽이버섯전
마늘장아찌
쌀밥/깍두기","[뚝]순댓국(돈잡뼈
순대
돈창자:국내산)
양파초간장절임
호박채전
쌀밥/깍두기","[뚝]밀양돼지국밥(돈잡뼈:국내산
돈육:미국산)
부추생채
양배추콘샐러드
쌀밥/깍두기",,
880Kcal,918Kcal,809Kcal,901Kcal,676Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"너비아니엿장조림(돈육
계육:국내산)
콩나물국
팽이버섯채소볶음
허브생채
쌀밥/깍두기","돈육김치볶음(돈육:미국산)
사각어묵국
두부구이
도시락김
콩나물무침
쌀밥","햄모둠찌개
주키니호박볶음
브로콜리숙회
버섯잡채
쌀밥/깍두기","닭곰탕*소면사리(계육:국내산)
김치전
미역줄기볶음
고추지무침
쌀밥/깍두기","비지찌개(돈잡뼈:국내산)
상추겉절이
된장마늘종지
어묵잡채
쌀밥/깍두기","나물된장비빔밥
미역국
계란후라이
누룽지샐러드
배추김치","닭고기굴소스볶음(계육:브라질)
얼갈이된장국
미역오이초무침
팽이버섯전
쌀밥/솎음배추겉절이"
723Kcal,697Kcal,941Kcal,745Kcal,776Kcal,764Kcal,671Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"가츠돈(돈가스덮밥)(돈육:국내산)
우동국
해초샐러드
오복지무침","햄채소볶음밥
계란후라이
미소장국
카레고로케
오이피클","치킨마요덮밥(계육:국내산)
팽이버섯장국
단호박구이
단무지","돈코츠라면(일본식라면)(돈육:미국산
돈잡뼈:국내산)
단무지","하이라이스*미니함박스테이크(돈육:국내산
수입산/우육:호주산)
뭇국
양배추샐러드
오이피클","스팸마요덮밥
우동국
고구마맛탕
단무지","등심돈가스(돈육:국내산)
크림스프
스피랄리볶음
쌀밥/오이피클"
887Kcal,904Kcal,848Kcal,963Kcal,875Kcal,878Kcal,855Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
