■생활관식당(블루미르308관)
2015년 11월 02일 ~ 2015년 11월 08일
주간식단표
구분,월요일(11/02),화요일(11/03),수요일(11/04),목요일(11/05),금요일(11/06),토요일(11/07),일요일(11/08)
조식,한식,"사골만둣국
게맛살채소볶음
감자조림
열무생채
쌀밥/깍두기","김치수제비
꼬마돈가스조림(돈육
계육:국내산)
스크램블에그
콩나물무침
쌀밥/깍두기","북어해장국
완자조림(돈육
계육:국내산)
브로콜리숙회
구운파래김
쌀밥/배추김치","닭개장(계육:국내산)
잡채어묵볶음
청포묵무침
된장깻잎지
쌀밥/솎음배추겉절이","조랭이떡국
알찬소시지전
청경채겉절이
땅콩조림
쌀밥/깍두기","감자고추장찌개
치킨너겟(계육:국내산)
실곤약들깨무침
명엽채볶음
쌀밥/배추김치","꽁치무조림
콩나물국
계란찜
허브생채
쌀밥/배추김치"
764Kcal,801Kcal,745Kcal,693Kcal,831Kcal,878Kcal,620Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","견과류핫케이크
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","참치채소죽
사각어묵볶음
솎음배추겉절이
우유/씨리얼/과일","미니크로아상*데친후랑크소시지
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","닭죽(계육:국내산)
사각어묵볶음
얼갈이겉절이
우유/씨리얼/과일"
659Kcal,694Kcal,549Kcal,637Kcal,637Kcal,664Kcal,604Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"너비아니엿장조림(돈육
계육:국내산)
호박된장찌개
채소잡채
마늘종지무침
쌀밥/깍두기","고기국수(제주도식국수)(돈잡뼈:국내산
돈육:미국산)
단호박전
오이지무침
솎음배추겉절이","사골우거지탕(우사골엑기스:호주산)
두부계란전*양념장
감자채볶음
오이생채
쌀밥/깍두기","고등어김치조림(고등어:국내산)
환어묵국
단호박가래떡조림
숙주나물
쌀밥/깍두기","고기잔치국수(돈육:미국산)
김가루양념밥
교자만두찜
오복지무침
솎음배추겉절이","조랭이떡미역국
완자조림(돈육
계육:국내산)
사각어묵채소볶음
부추생채
쌀밥/깍두기","닭곰탕*소면사리(계육:국내산)
두부조림
감자채볶음
미역오이초무침
쌀밥/깍두기"
885Kcal,882Kcal,859Kcal,833Kcal,820Kcal,880Kcal,840Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈가스김치덮밥(돈육:국내산)
일식장국
마카로니콘샐러드
단무지","치킨마요덮밥(계육:국내산)
팽이버섯장국
고구마맛탕
오이피클","야끼우동(볶음우동)
일식장국
채소춘권
단무지","김치볶음밥*계란후라이
옥수수고로케
단무지
후식","참치마요덮밥
유부장국
핫도그*케찹
단무지","토마토소스스파게티
마늘바게트
오이피클
탄산음료","잡채덮밥*자장소스
계란팟국
만두튀김
짜사이채무침"
845Kcal,960Kcal,923Kcal,785Kcal,932Kcal,970Kcal,928Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,한식,,,,,,,
,,,,,,0Kcal
,,,,,, :~ :
,,,,,,         0원
,특식,"[뚝]돌솥비빔밥
일식장국
계란후라이
마카로니콘샐러드
배추김치
후식","[뚝]밀양돼지국밥(돈잡뼈:국내산
돈육:미국산)
누룽지샐러드
깻잎지무침
쌀밥/깍두기","[뚝]순댓국(순대
돈창자:국내산)
부추생채
사각어묵채소볶음
쌀밥/깍두기","[뚝]부대찌개*라면사리
만두탕수
건파래볶음
쌀밥/깍두기","[뚝]돈육김치찌개(돈육:미국산)
계란찜
해초샐러드
쌀밥*김가루
깍두기",,
971Kcal,896Kcal,851Kcal,967Kcal,804Kcal,0Kcal,
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :,
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,
석식,한식,"순두부찌개
후랑크소시지볶음
팽이버섯전
오이생채
쌀밥/깍두기","수제비아욱된장국
떡갈비조림(돈육:국내산)
미역줄기게맛살볶음
무생채
쌀밥/베추김치","*옛날도시락*계란후라이
건파래볶음
옛날소시지전
어묵마늘종볶음
쌀밥/볶음김치","물만둣국
미트볼조림(돈육
계육:국내산
우육:호주산)
천사채샐러드
주키니호박떡볶음
쌀밥/배추김치","육개장(우육:호주산)
어묵탕수
모둠콩전
마카로니샐러드
쌀밥/배추김치","햄김치찌개
부추잡채
가지탕수
오이지무침
쌀밥/깍두기",
881Kcal,881Kcal,929Kcal,888Kcal,960Kcal,970Kcal,
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",
양식,"참치채소볶음밥
미역국
옥수수고로케
쿠르통샐러드
단무지","탄탄멘(일본식라면)(돈육:국내산)
단무지
후식","짬뽕볶음밥
미역국
두부강정
누룽지샐러드
단무지","자장밥(돈기름:국내산)
계란팟국
쫄면채소무침
단무지
후식","가츠돈(돈가스덮밥)(돈육:국내산)
일식장국
사모사튀김
단무지","오므라이스*소시지구이
양배추샐러드
오이피클","설렁탕*소면사리(우육
우사골엑기스:호주산)
옛날소시지전*캐찹
환어묵볶음
고추지무침
쌀밥/깍두기"
