■생활관식당(블루미르308관)
2015년 12월 07일 ~ 2015년 12월 13일
주간식단표
구분,월요일(12/07),화요일(12/08),수요일(12/09),목요일(12/10),금요일(12/11),토요일(12/12),일요일(12/13)
조식,한식,"떡갈비조림(돈육:국내산)
순두부김칫국
미역줄기볶음
치커리유자청무침
쌀밥/깍두기","쇠고기뭇국(우육:호주산)
메추리알장조림
오이생채
유채나물
쌀밥/배추김치","오징어찌개
꼬마돈가스케찹조림(돈육
계육:국내산)
새송이버섯볶음
열무생채
쌀밥/배추김치","비지찌개
환어묵조림
감자채볶음
상추겉절이
쌀밥/깍두기","돈육모둠장조림(돈육:미국산)
콩나물국
얼갈이된장나물
올방개묵무침
쌀밥/배추김치","치킨너겟(계육:국내산)
모둠어묵국
생깻잎절임
마늘종멸치볶음
쌀밥/배추김치","장터국밥(우육:호주산)
두부조림
게맛살겨자냉채
치커리생채
쌀밥/깍두기"
854Kcal,680Kcal,779Kcal,722Kcal,697Kcal,673Kcal,717Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","에그샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","미니크로아상*데친후랑크소시지
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","단호박샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치채소죽
계란장조림
얼갈이겉절이
씨리얼/우유/과일"
666Kcal,667Kcal,628Kcal,646Kcal,635Kcal,538Kcal,610Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"사골우거지탕(우육:호주산)
두부계란전
견과류조림
오이생채
쌀밥/깍두기","콩불(콩나물불고기)(돈육:미국산)
미역국
무생채
건파래볶음
쌀밥/솎음배추겉절이","두부고추장찌개
콩나물밥*양념장
계란찜
김구이
쌀밥/배추김치
후식","부추닭고기떡볶음(계육:브라질)
얼갈이된장국
팽이버섯채소볶음
무초절임
쌀밥/솎음배추겉절이","돼지고기떡불고기(돈육:미국산)
일식장국
열무생채
생김구이*간장
쌀밥/배추김치","꽁치구이*와사비장
매운콩나물국
스크램블에그
사각어묵채소볶음
쌀밥/배추김치","나물된장비빔밥
미역국
계란후라이
누룽지샐러드
배추김치
후식"
804Kcal,784Kcal,770Kcal,758Kcal,759Kcal,900Kcal,816Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"김치볶음밥*왕꼬치구이(돈육
계육:국내산)
유부장국
스크램블에그
단무지","잡채덮밥*자장소스
미역국
사모사튀김
단무지","치킨카레라이스(계육:브라질)
일식장국
해초샐러드
쌀밥/배추김치","가츠돈(돈가스덮밥)(돈육:국내산)
유부장국
단호박구이
단무지","오므라이스*핫도그
우동국
양배추샐러드
오이피클","토마토소스스파게티
마늘바게트
오이피클
탄산음료","등심돈가스(돈육:국내산)
크림스프
푸실리콘샐러드
쌀밥/오이피클"
785Kcal,910Kcal,776Kcal,697Kcal,941Kcal,915Kcal,888Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]돌솥비빔밥
유부장국
계란후라이
마카로니감자샐러드
깍두기","[뚝]부대찌개*라면사리
호박버섯볶음
치커리겉절이
쌀밥/깍두기","[뚝]김치날치알밥
일식장국
두부탕수
압축단무지","[뚝]돈육김치찌개(돈육:미국산)
감차채햄볶음
게맛살볶음
쌀밥/깍두기","[뚝]돈육불고기(돈육:미국산)
양파초절임
상추쌈*쌈장
얼갈이겉절이",,
882Kcal,622Kcal,894Kcal,678Kcal,718Kcal,0Kcal,0Kcal
