■생활관식당(블루미르308관)
2015년 12월 14일 ~ 2015년 12월 20일
주간식단표
구분,월요일(12/14),화요일(12/15),수요일(12/16),목요일(12/17),금요일(12/18),토요일(12/19),일요일(12/20)
조식,한식,"오징어고추장떡볶음
다시마뭇국
스크램블에그
콩나물무침
쌀밥/배추김치","쇠고기뭇국(우육:호주산)
계란찜
맛느타리버섯볶음
부추생채
쌀밥/배추김치","고기산적조림(돈육
계육:국내산)
붓엇국
미역초고추장무침
마늘종볶음
쌀밥/배추김치","오징어뭇국
미트볼조림(돈육:국내산
수입산/우육:호주산)
청포묵김가루무침
게맛살냉채
쌀밥/배추김치","두부고추장찌개
오징어완자전
단배추나물
김구이
쌀밥/깍두기","쇠고기미역국(우육:호주산)
두부찜*양념장
감자채볶음
허브생채
쌀밥/깍두기","너비아니엿장조림(돈육
계육:국내산)
물만둣국
팽이버섯채소볶음
숙주나물
쌀밥/배추김치"
720Kcal,690Kcal,887Kcal,918Kcal,890Kcal,741Kcal,850Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"견과류핫케이크*딸기잼
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","버섯채소죽
계란장조림
솎음배추겉절이
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","모닝빵&미니크로아상*딸기잼
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","에그샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵채소볶음
솎음배추겉절이
씨리얼/우유/과일"
697Kcal,627Kcal,637Kcal,973Kcal,788Kcal,691Kcal,597Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
