■생활관식당(블루미르308관)
2015년 12월 21일 ~ 2015년 12월 27일
주간식단표
구분,월요일(12/21),화요일(12/22),수요일(12/23),목요일(12/24),금요일(12/25),토요일(12/26),일요일(12/27)
조식,한식,"떡갈비조림(돈육:국내산)
솎음배추된장국
두부계란전*양념간장
실곤약들깨무침
쌀밥/깍두기","고등어구이(고등어:국내산)
콩나물국
계란찜
단배추나물
쌀밥/깍두기","장터국밥(우육:국내산)
연두부찜
건파래볶음
오이지무침
쌀밥/배추김치","완자조림(계육
돈육:국내산)
북어채미역국
된장깻잎지
콩나물무침
쌀밥/배추김치","돈육김치볶음(돈육:미국산)*두부찜
사각어묵국
숙주나물
김구이
쌀밥","햄모듬찌개
채소잡채
건파래볶음
마늘종지무침
쌀밥/깍두기","오징어뭇국
너비아니마늘종볶음(돈육
계육:국내산)
허브생채
도시락김
쌀밥/배추김치"
974Kcal,751Kcal,652Kcal,669Kcal,792Kcal,846Kcal,647Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","콩도너츠*데친후랑크소시지
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵채소볶음
얼갈이겉절이
씨리얼/우유/과일",,,
610Kcal,624Kcal,735Kcal,550Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
중식,한식,"나물된장비빔밥
일식장국
계란후라이
누룽지샐러드
오이지무침
배추김치","칼국수
물만두찜
채소양념밥
솎음배추겉절이","닭고기채소볶음(계육:브라질)
뭇국
상추겉절이
마카로니샐러드
쌀밥/깍두기","닭개장(계육:국내산)
홈소시지전*케찹
미역줄기볶음
후르츠샐러드
쌀밥/배추김치","설렁탕*소면사리(우육
우사골엑기스:호주산)
양파초절임
김치전
열무된장나물
쌀밥/깍두기",,"사천식돼지고기볶음(돈육:미국산)
콩나물국
무초절임
치커리생채
쌀밥/얼갈이겉절이"
804Kcal,986Kcal,909Kcal,918Kcal,852Kcal,0Kcal,791Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
양식,"클래식함박스테이크(돈육
계육:국내산)
크림스프
계란후라이
클링클컷감자튀김
오이피클","치킨마요덮밥(계육:국내산)
미소장국
떡맛탕
단무지","토마토소스스파게티
마늘바게트
오이피클
탄산","오징어덮밥
유부장국
채소춘권
단무지",,"오므라이스*미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
미소장국
양배추샐러드
오이피클",
949Kcal,936Kcal,933Kcal,957Kcal,0Kcal,865Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원",         0원
특식,특식,"[뚝]돼지고기불고기(돈육:미국산)
일식장국
무초절임
상추쌈
쌀밥/얼갈이겉절이","[뚝]부대찌개*라면사리
사각어묵채소볶음
실곤약겨자무침
쌀밥/깍두기","[뚝]돌솥비빔밥
뭇국
계란후라이
도토리묵*양념간장
깍두기","[뚝]돼지고기김치찌개(돈육:미국산)
계란말이
콩자반
쌀밥*김가루
깍두기",,,
728Kcal,706Kcal,694Kcal,791Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원,         0원
석식,한식,"닭고기굴소스볶음(계육:브라질)
팽이버섯장국
무생채
양상추들깨소스무침
쌀밥/배추김치","청국장찌개
새우완자튀김*케찹
허브생채
건파래볶음
쌀밥/깍두기","콩나물밥*양념간장
아욱된장국
채소잡채
계란찜
누룽지샐러드
깍두기","김치잔치국수
김가루양념밥
어묵전*겨자장
솎음배추겉절이","*추억의도시락*옛날소시지전
어묵마늘종볶음
계란후라이
맛김가루
쌀밥/볶음김치","참치김치찌개
맛느타리버섯볶음
스크램블에그
김구이
쌀밥/깍두기","닭곰탕*소면사리(계육:국내산)
부추전
고추지무침
열무나물
쌀밥/깍두기"
804Kcal,704Kcal,826Kcal,924Kcal,979Kcal,631Kcal,782Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"유부커리우동
두부탕수
오복지무침
후식","돈가스카레라이스(돈육:국내산)
우동국
양배추샐러드
깍두기","참치채소볶음밥
아욱된장국
핫도그*케찹
오이피클","오야꼬동(닭고기덮밥)(계욱:브라질)
우동국
지마구튀김
단무지",,,
719Kcal,831Kcal,980Kcal,910Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
공지사항,
