■생활관식당(블루미르308관)
2016년 01월 04일 ~ 2016년 01월 10일
주간식단표
구분,월요일(01/04),화요일(01/05),수요일(01/06),목요일(01/07),금요일(01/08),토요일(01/09),일요일(01/10)
조식,한식,"비지찌개
감자채볶음
환어묵조림
상추겉절이
쌀밥/깍두기","돼지고기장조림(돈육:미국산)
매운콩나물국
올방개묵무침
얼갈이나물
쌀밥/배추김치","치킨너겟(계육:국내산)
모둠어묵국
생깻잎절임
마늘종실치볶음
쌀밥/배추김치","장터국밥(우육:호주산)
두부조림
게맛살겨자냉채
치커리들깨소스무침
쌀밥/깍두기","오징어떡볶음
다시마뭇국
스크램블에그
콩나물무침
쌀밥/배추김치","쇠고기뭇국(우육:호주산)
부추생채
계란찜
맛느타리버섯볶음
쌀밥/배추김치","북엇국
고기산적조림(돈육
계육:국내산)
마늘종볶음
미역초고추장무침
쌀밥/배추김치"
720Kcal,753Kcal,716Kcal,726Kcal,715Kcal,690Kcal,887Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","모닝빵*딸기잼
크림스프
소시지채소볶음
양배추샐러드
오이피클
씨리얼/우유/과일","버섯채소죽
사각어묵채소볶음
얼갈이겉절이
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
640Kcal,651Kcal,810Kcal,511Kcal,652Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"꽁치무조림
물만둣국
두부찜
무말랭이무침
쌀밥/배추김치","닭곰탕*소면사리(계육:국내산)
두부채소전
양파초간장절임
오이지무침
쌀밥/깍두기","닭고기굴소스볶음(계육:브라질)
미역국
무생채
도시락김
쌀밥/배추김치","순대채소볶음
유부장국
상추치커리겉절이
단호박맛탕
쌀밥/배추김치","돼지고기춘장볶음(돈육:미국산)
매운콩나물국
열무생채
양배추쌈
쌀밥/배추김치",,"나물된장비빔밥
미역국
계란후라이
누룽지샐러드
배추김치
후식"
925Kcal,720Kcal,753Kcal,706Kcal,678Kcal,0Kcal,826Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
양식,"너비아니마요덮밥(돈육
계육:국내산)
일식장국
단호박가래떡조림
오이피클","참치김치볶음밥
팽이버섯장국
만두탕수
양배추샐러드
단무지","양지쌀국수(우육:호주산)
사모사튀김
짜사이채무침","계란볶음밥*자장소스
유부장국
채소춘권
양배추콘샐러드
단무지","아라비아타스파게티
모닝빵연유튀김
오이피클
후식","하이라이스*미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
푸실리샐러드
오이피클",
906Kcal,939Kcal,685Kcal,961Kcal,941Kcal,993Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
특식,특식,"[뚝]부대찌개*라면사리
미역줄기볶음
마카로니샐러드
쌀밥/깍두기","[뚝]돌솥비빔밥
팽이버섯장국
연두부찜
계란후라이
배추김치","[뚝]돼지고기김치찌개(돈육:미국산)
계란찜
명엽채볶음
쌀밥*김가루
깍두기","[뚝]김치날치알밥
유부장국
매운감자조림
락교","[뚝]돈육불고기(돈육:미국산)
고추지무침
상추쌈
쌀밥/솎음배추겉절이",,
824Kcal,820Kcal,728Kcal,645Kcal,699Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"닭개장(계육:국내산)
단호박전
다시마숙회*초장
맛느타리버섯볶음
쌀밥/깍두기","콩불(콩나물돈육볶음)(돈육:미국산)
일식장국
무초절임
건파래볶음
쌀밥/솎음배추겉절이","설렁탕*소면사리(우육
우사골엑기스:호주산)
알찬소시지전
고추지절임
콩나물무침
쌀밥/깍두기","부추닭고기고추장볶음(계육:브라질)
얼갈이된장국
팽이버섯채소볶음
양배추쌈*쌈장
쌀밥/솎음배추겉절이","돼지고기떡불고기(돈육:미국산)
콩나물국
생김구이*간장
열무생채
쌀밥/배추김치","콩나물밥*양념장
청고추된장찌개
계란찜
사각어묵채소볶음
누룽지샐러드
배추김치",
684Kcal,884Kcal,884Kcal,785Kcal,759Kcal,888Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"베이컨햄볶음밥
일식장국
왕꼬치구이*케찹(돈육
계육:국내산)
오이피클","자장덮밥
계란팟국
모둠탕수육
단무지","스팸마요덮밥
우동국
단호박조림
단무지","꼬치어묵우동
채소튀김
김가루양념밥
단무지","고추잡채덮밥*꽃빵
계란팟국
버섯탕수
짜사이채무침",,"오므라이스*소시지구이
우동국
양배추샐러드
오이피클"
855Kcal,947Kcal,836Kcal,791Kcal,967Kcal,0Kcal,891Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
공지사항,
