■생활관식당(블루미르308관)
2016년 01월 11일 ~ 2016년 01월 17일
주간식단표
구분,월요일(01/11),화요일(01/12),수요일(01/13),목요일(01/14),금요일(01/15),토요일(01/16),일요일(01/17)
조식,한식,"오징어뭇국
완자전(계육
돈육:국내산)
미역줄기볶음
콩나물겨자냉채
쌀밥/배추김치","매운닭개장(계육:국내산)
어묵곤약조림
미역초무침
누룽지샐러드
쌀밥/깍두기","꽁치김치조림
떡국
청포묵김가루무침
계란찜
쌀밥/깍두기","매운떡갈비조림(돈육:국내산)
순두부맑은국
게맛살팽이버섯볶음
깻잎지무침
쌀밥/깍두기","북엇국
햄감자조림
건파래볶음
시금치나물
쌀밥/배추김치","너비아니엿장조림(계육
돈육:국내산)
아욱된장국
새송이버섯볶음
숙주나물무침
쌀밥/배추김치","사골만둣국(우사골엑기스:호주산)
연근조림
스크램블에그
쑥갓오이겉절이
쌀밥/깍두기"
774Kcal,740Kcal,783Kcal,818Kcal,751Kcal,813Kcal,773Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
오이피클
우유/시리얼/과일","브로콜리새우죽
메추리알장조림
얼갈이겉절이
우유/시리얼/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
우유/시리얼/과일","샐러드샌드위치
크림스프
양배추샐러드
오이피클
우유/시리얼/과일","견과류핫케이크
크림스프
양배추샐러드
오이피클
우유/시리얼/과일",,
554Kcal,490Kcal,620Kcal,686Kcal,504Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"콩불(콩나물불고기)(돈육:미국산)
팽이버섯장국
양배추쌈*쌈장
마카로니샐러드
쌀밥/솎음배추겉절이","콩나물밥*양념장
순두부찌개
두부계란전
무생채
쌀밥/배추김치","닭고기굴소스볶음(계육:브라질)
얼갈이된장국
양파초절임
무짠지채무침
쌀밥/배추김치","김치잔치국수
고구마맛탕
채소양념밥
단무지
후식","닭고기채소떡볶음(계육:브라질)
뭇국
삼색겨자냉채
도시락김
쌀밥/배추김치",,
758Kcal,839Kcal,699Kcal,981Kcal,730Kcal,0Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
양식,"닭갈비볶음밥(계육:브라질)
팽이버섯장국
핫도그*케찹
단무지","중국식볶음밥*자장소스
우동국
짬뽕국
사모사튀김
단무지","토마토소스스파게티
감자튀김*케찹
오이피클
탄산","클래식함박스테이크(계육
돈육:국내산)
계란후라이
크림스프
마카로니감자샐러드
오이피클
후식","가츠돈(돈가스덮밥)(돈육:국내산)
뭇국
콘샐러드
오복지무침","오므라이스*소시지구이
일식장국
양배추샐러드
오이피클","김치볶음밥
사각어묵국
미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
푸실리샐러드
단무지"
735Kcal,935Kcal,940Kcal,890Kcal,881Kcal,920Kcal,894Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]밀양돼지국밥(돈육:미국산
돈잡뼈:국내산)
옥수수전
고추지무침
쌀밥/깍두기","[뚝]김치날치알밥
우동국
단호박구이
해초샐러드
배추김치","[뚝]부대찌개*라면사리
비빔채소만두
숙주나물
쌀밥/깍두기","[뚝]돈육불고기(돈육:미국산)
단배추쌈*쌈장
단호박샐러드
무생채
배추김치","[뚝]돈육김치찌개(돈육:미국산)
잡채어묵조림
건파래볶음
콩나물무침
쌀밥/깍두기",,
860Kcal,690Kcal,797Kcal,730Kcal,759Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"참치채소비빔밥
미소장국
사각어묵볶음
푸실리샐러드
배추김치","돈육김치볶음(돈육:미국산)*두부찜
근대된장국
생김구이*간장
게맛살냉채
쌀밥","나물된장비빔밥
미역국
계란후라이
누룽지샐러드
쌀밥/배추김치","사골우거지탕(우사골엑기스:호주산)
단호박전
콩자반
부추생채
쌀밥/배추김치","설렁탕*소면사리(우육
우사골엑기스:호주산)
김치전
사각어묵볶음
고추지무침
쌀밥/깍두기","참치김치찌개
알감자조림
호박버섯볶음
미역초고추장무침
쌀밥/깍두기","돼지고기두반장볶음(돈육:미국산)
시금치된장국
팽이버섯전
단배추나물
쌀밥/깍두기"
900Kcal,774Kcal,840Kcal,723Kcal,923Kcal,696Kcal,791Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈가스카레라이스(돈육:국내산)
미소장국
양배추콘샐러드
배추김치","돈코츠라멘(돈육
미국산
돈잡뼈:국내산)
단무지","야끼우동(볶음우동)
누룽지샐러드
단무지
음료수","매콤고추참치덮밥
유부장국
멕시칸샐러드
단무지","샐러드돈가스(돈육:국내산)
미소장국
파스타샐러드
쌀밥/단무지",,
944Kcal,933Kcal,908Kcal,852Kcal,960Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
공지사항,
