■생활관식당(블루미르308관)
2016년 01월 18일 ~ 2016년 01월 24일
주간식단표
구분,월요일(01/18),화요일(01/19),수요일(01/20),목요일(01/21),금요일(01/22),토요일(01/23),일요일(01/24)
조식,한식,"모둠장조림(돈육:미국산)
미역국
새송이버섯볶음
콩나물무침
쌀밥/배추김치","비지찌개
꼬마돈가스케찹조림(돈육:국내산)
참나물겉절이
미역줄기볶음
쌀밥/깍두기","우거지해장국
단호박조림
무햄볶음
오이지무침
쌀밥/깍두기","쇠고기미역국(우육:호주산)
두부양념찜
마늘종볶음
무말랭이무침
쌀밥/배추김치","북어해장국
버섯잡채
건파래볶음
마늘장아찌
쌀밥/배추김치","사골만둣국(우사골엑기스:호주산)
게맛살계란찜
부추생채
생김구이*간장
쌀밥/깍두기","떡갈비조림(돈육:국내산)
콩나물국
사각어묵볶음
허브생채
쌀밥/깍두기"
709Kcal,750Kcal,699Kcal,750Kcal,716Kcal,791Kcal,834Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"핫케이크*딸기잼
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
알찬소시지전
솎음배추겉절이
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","모닝빵*딸기잼
데친후랑크소시지
크림스프
양배추샐러드
오이피클","참치샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
656Kcal,601Kcal,657Kcal,690Kcal,651Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"햄모둠찌개
알찬소시지전*케찹
브로콜리숙회
무생채
쌀밥/깍두기","육개장(우육:호주산)
두부구이
생깻잎절임
미역초고추장무침
쌀밥/깍두기","단호박영양밥
시금치된장국
꽁치구이*와사비장
콩나물무침
김구이
깍두기","돈육고추장떡볶음(돈육:미국산)
콩나물국
무초절임
도시락김
쌀밥/배추김치","꼬치어묵잔치국수
옥수수조랭이떡샐러드
솎음배추겉절이
후식",,
985Kcal,726Kcal,701Kcal,716Kcal,729Kcal,0Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
양식,"사골된장라멘
사모사튀김
단무지","너비아니볶음밥(돈육:국내산)
해초샐러드
오복지무침","온메밀국수
두부탕수
양파초절임","홍합짬뽕
단무지
후식","미트볼마요덮밥(돈육
계육:국내산)
팽이버섯장국
단호박가래떡조림
배추김치","돈가스카레라이스(돈육:국내산)
유부장국
양배추콘샐러드
배추김치","참치김치볶음밥
팽이버섯장국
생선가스(중국산)
양배추샐러드
단무지"
704Kcal,832Kcal,766Kcal,683Kcal,917Kcal,959Kcal,755Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]돌솥비빔밥
솎음배추된장국
감자사과샐러드
계란후라이
깍두기","[뚝]돈육불고기(돈육:미국산)
알배추쌈*쌈장
스피랄리볶음
쌀밥/배추김치","[뚝]부대찌개*라면사리
새송이버섯볶음
주키니호박채전
쌀밥/깍두기","[뚝]순댓국(우사골엑기스:호주산)
부추장떡
양파간장절임
쌀밥/깍두기","[뚝]돈육김치찌개(돈육:미국산)
계란말이
미역줄기볶음
쌀밥*김가루
깍두기",,
825Kcal,737Kcal,734Kcal,789Kcal,739Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"닭고기굴소스떡볶음(계육:브라질)
얼갈이된장국
열무생채
양배추쌈*쌈장
쌀밥/깍두기","돈육칼국수(돈육:미국산)
물만두찜
기장조밥
솎읍배추겉절이","닭곰탕*소면사리(계육:국내산)
감자전
마늘종고추장무침
단배추된장나물
쌀밥/깍두기","너비아니엿장조림(돈육
계육:국내산)
아욱된장국
감자채볶음
치커리유자청무침
쌀밥/배추김치","사골우거지탕(우사골엑기스:호주산)
청포묵무침
부추생채
사각어묵볶음
쌀밥/깍두기","참치채소비빔밥
미소장국
고구마맛탕
누룽지샐러드
배추김치","단호박닭찜(계육:브라질)
두부장국
열무생채
양배추게맛살전
쌀밥/깍두기"
796Kcal,991Kcal,705Kcal,780Kcal,741Kcal,865Kcal,764Kcal
