■생활관식당(블루미르308관)
2016년 01월 25일 ~ 2016년 01월 31일
주간식단표
구분,월요일(01/25),화요일(01/26),수요일(01/27),목요일(01/28),금요일(01/29),토요일(01/30),일요일(01/31)
조식,한식,"감자수제비국
꼬마돈가스케찹조림(돈육
계육:국내산)
올방개묵무침
건파래볶음
쌀밥/배추김치","만둣국
채소잡채
감자조림
오이지무침
쌀밥/배추김치","오징어뭇국
너비아니마늘종볶음(돈육
계육:국내산)
스크램블에그
브로콜리숙회*초장
쌀밥/배추김치","김치순두부찌개
알찬소시지전*케찹
건파래볶음
콩나물무침
쌀밥/깍두기","호박된장찌개
감자채볶음
도시락김
고추지무침
쌀밥/배추김치","치킨너겟(계육:국내산)
미역국
두부조림
게맛살냉채
쌀밥/배추김치","두부고추장찌개
햄구이*케찹
생깻잎절임
청포묵무침
쌀밥/깍두기"
805Kcal,733Kcal,800Kcal,755Kcal,698Kcal,730Kcal,701Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"단호박샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","핫케이크*딸기잼
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
666Kcal,601Kcal,511Kcal,622Kcal,574Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"감자고추장찌개
콩나물밥*양념간장
사각어묵볶음
계란찜
배추김치","꽁치구이*와사비장
배추된장국
도시락김
콩나물무침
쌀밥/볶음김치","김치잔치국수
물만두찜
채소양념밥
솎음배추겉절이","콩불(콩나물불고기)(돈육:미국산)
미역국
무생채
도시락김
쌀밥/얼갈이겉절이","감자청국장찌개
햄계란전
느타리버섯볶음
얼갈이나물
쌀밥/깍두기","*옛날도시락*계란후라이
어묵마늘종볶음
소시지전
볶음김치
쌀밥
우동국",
714Kcal,711Kcal,891Kcal,607Kcal,730Kcal,873Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"참치마요덮밥
팽이버섯장국
고구마맛탕
단무지","탄탄짬뽕(돈육:미국산)
단무지
후식","닭고기단호박카레라이스(계육:브라질)
미역국
해초샐러드
단무지","계란볶음밥*자장소스
짬뽕국
두부강정
단무지","토마토소스스파게티
수제마늘바게트
오이피클
탄산",,"스팸마요덮밥
우동국
떡강정
배추김치"
927Kcal,764Kcal,862Kcal,850Kcal,834Kcal,0Kcal,905Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
특식,특식,"[뚝]돌솥비빔밥
팽이버섯장국
계란후라이
연두부찜*양념간장
배추김치","[뚝]돈육불고기(돈육:미국산)
옥수수전
상추쌈*쌈장
쌀밥/솎음배추겉절이","[뚝]돼지고기김치찌개(돈육:미국산)
계란말이
게맛살겨자냉채
쌀밥*김가루
깍두기","[뚝]부대찌개*라면사리
단호박전
열무나물
쌀밥/깍두기","[뚝]김치날치알밥
우동국
마카로니감자샐러드
오이지무침",,
760Kcal,905Kcal,782Kcal,780Kcal,734Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"닭개장(계육:국내산)
감자전
도토리묵*양념장
마늘종지무침
쌀밥/깍두기","돈육김치볶음(돈육:미국산)*두부찜
유부장국
숙주오이나물
미역줄기볶음
쌀밥","사골우거지탕(우사골엑기스:호주산)
계란찜
치커리생채
콩자반
쌀밥/깍두기","떡갈비조림(돈육:국내산)
북엇국
호박버섯볶음
미역초고추장무침
쌀밥/깍두기","설렁탕*소면사리(우육
우사골엑기스:호주산)
두부찜*양념장
주키니호박채전
오이지무침
쌀밥/깍두기","만두김치찌개
스크램블에그
멸치볶음
스크램블에그
쌀밥/깍두기","닭고기채소떡볶음(계육:브라질)
콩나물국
부추생채
김구이
쌀밥/배추김치"
833Kcal,741Kcal,757Kcal,810Kcal,798Kcal,791Kcal,701Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"채소볶음밥*계란후라이
미소장국
두부오징어가스
오이피클","하이라이스*미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
유부장국
양배추샐러드
단무지","고추잡채덮밥*꽃빵
미소장국
채소춘권
단무지","소시지마파두부덮밥
계란팟국
버섯탕수
단무지","김치볶음밥
뭇국
핫도그*케찹
단무지",,
807Kcal,810Kcal,791Kcal,901Kcal,719Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
220Kcal,220Kcal,220Kcal,220Kcal,220Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,케이준치킨샐러드,케이준치킨샐러드,케이준치킨샐러드,케이준치킨샐러드,케이준치킨샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
