■생활관식당(블루미르308관)
2016년 02월 08일 ~ 2016년 02월 14일
주간식단표
구분,월요일(02/08),화요일(02/09),수요일(02/10),목요일(02/11),금요일(02/12),토요일(02/13),일요일(02/14)
조식,한식,,,"얼큰한수제비국
계란찜
소시지전*케찹
열무생채
쌀밥/깍두기","만둣국
햄구이
오이생채
무들깨나물
쌀밥/배추김치","오징어뭇국
꼬마돈가스조림(돈육
계육:국내산)
견과류조림
콩나물무침
쌀밥/배추김치","북어해장국
미트볼조림(돈육
계육:국내산
우육:호주산)
미역줄기볶음
김구이
쌀밥/배추김치","닭고기채소볶음(계육:브라질)
배추된장국
양배추쌈*쌈장
치커리생채
쌀밥/깍두기"
0Kcal,0Kcal,907Kcal,707Kcal,845Kcal,737Kcal,777Kcal
 :~ :, :~ :,08:00~09:00,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
         0원,         0원,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,,,,"프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
0Kcal,0Kcal,0Kcal,501Kcal,573Kcal,,
 :~ :, :~ :, :~ :,07:00~08:40,07:00~08:40,,
         0원,         0원,         0원,"     2,800원","     2,800원",,
중식,한식,,"돼지고기춘장볶음(돈육:미국산)
콩나물국
무생채
도시락김
쌀밥/배추김치","우거지해장국(우육:호주산)
계란장조림
돌나물*초장
사각어묵볶음
쌀밥/깍두기","매운떡갈비조림(돈육:국내산)
미역국
두부구이
새송이버섯볶음
쌀밥/깍두기","김치잔치국수
물만두찜
봄동겉절이
채소양념밥","설렁탕*소면사리(우육
우사골엑기스:호주산)
양파초절임
두부채소전
무햄볶음
쌀밥/깍두기",
0Kcal,706Kcal,703Kcal,928Kcal,836Kcal,809Kcal,
 :~ :,11:30~13:30,11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:00,
         0원,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",
양식,,,,"하이라이스*미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
양배추샐러드
오이피클","가츠돈(돈가스덮밥)(돈육:국내산)
미소장국
양배추샐러드
압축단무지",,"스팸마요덮밥
우동국
단호박조림
배추김치"
0Kcal,0Kcal,0Kcal,887Kcal,711Kcal,,880Kcal
 :~ :, :~ :, :~ :,11:30~13:00,11:30~13:00,,11:30~13:00
         0원,         0원,         0원,"     2,800원","     2,800원",,"     2,800원"
특식,특식,,,,"[뚝]돈육김치찌개(돈육:미국산)
계란말이
삼색겨자냉채
쌀밥/깍두기","[뚝]부대찌개*라면사리
만두튀김
매운미역초무침
쌀밥/깍두기",,
0Kcal,0Kcal,0Kcal,806Kcal,883Kcal,,
 :~ :, :~ :, :~ :,11:30~13:00,11:30~13:00,,
         0원,         0원,         0원,"     3,200원","     3,200원",,
석식,한식,,"닭곰탕(계육:국내산)
감자전
연근조림
마늘종지무침
쌀밥/깍두기","꽁치조림
쇠고기뭇국(우육:호주산)
팽이버섯채소볶음
오이지무침
쌀밥/배추김치","김치순두부찌개
참치채소전
건파래볶음
브로콜리숙회*초장
쌀밥/깍두기","비지찌개
파래전
어묵마늘종볶음
올방개묵무침
쌀밥/깍두기",,"*옛날도시락*계란후라이
소시지전
어묵마늘종볶음
쌀밥/볶음김치
유부장국"
0Kcal,749Kcal,661Kcal,796Kcal,825Kcal,,899Kcal
 :~ :,17:30~19:00,17:30~18:30,17:30~19:00,17:30~19:00,,17:30~18:30
         0원,"     2,800원","     2,800원","     2,800원","     2,800원",,"     2,800원"
양식,,,,"토마토소스스파게티
클링클컷감자튀김
오이피클
탄산","매콤고추참치덮밥
팽이버섯장국
수제채소튀김
단무지","오므라이스*핫도그
일식장국
양배추샐러드
오이피클",
0Kcal,0Kcal,0Kcal,895Kcal,883Kcal,953Kcal,
 :~ :, :~ :, :~ :,17:30~19:00,17:30~19:00,17:30~18:30,
         0원,         0원,         0원,"     2,800원","     2,800원","     2,800원",
간식,일품1,,,,참치샐러드,참치샐러드,,
0Kcal,0Kcal,0Kcal,250Kcal,250Kcal,,
 :~ :, :~ :, :~ :,07:00~14:00,07:00~14:00,,
         0원,         0원,         0원,"     3,500원","     3,500원",,
일품2,,,,두부견과류샐러드,두부견과류샐러드,,
0Kcal,0Kcal,0Kcal,216Kcal,216Kcal,,
 :~ :, :~ :, :~ :,07:00~14:00,07:00~14:00,,
         0원,         0원,         0원,"     3,500원","     3,500원",,
일품3,,,,식스팩샐러드,식스팩샐러드,,
0Kcal,0Kcal,0Kcal,289Kcal,289Kcal,,
 :~ :, :~ :, :~ :,07:00~14:00,07:00~14:00,,
         0원,         0원,         0원,"     3,500원","     3,500원",,
일품4,,,,치킨텐더샐러드,치킨텐더샐러드,,
0Kcal,0Kcal,0Kcal,389Kcal,389Kcal,,
 :~ :, :~ :, :~ :,07:00~14:00,07:00~14:00,,
         0원,         0원,         0원,"     3,500원","     3,500원",,
공지사항,
