■생활관식당(블루미르308관)
2016년 02월 15일 ~ 2016년 02월 21일
주간식단표
구분,월요일(02/15),화요일(02/16),수요일(02/17),목요일(02/18),금요일(02/19),토요일(02/20),일요일(02/21)
조식,한식,"참치김치볶음*두부찜
순두부맑은국
생김구이
무햄볶음
숙주나물
쌀밥","감자고추장찌개
너비아니엿장조림(돈육
계육:국내산)
콩나물무침
건파래볶음
쌀밥/배추김치","비지찌개
알찬소시지전*케찹
브로콜리숙회*초장
열무생채
쌀밥/배추김치",,,,
780Kcal,729Kcal,748Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,         0원,         0원,         0원
양식,"샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","채소죽
사각어묵채소볶음
봄동겉절이
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,,,
574Kcal,504Kcal,504Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,         0원,         0원,         0원
중식,한식,"사골우거지탕(우사골엑기스:호주산)
계란찜
깻잎지무침
게맛살냉채
쌀밥/깍두기","닭고기채소볶음(계육:브라질)
근대된장국
파래무생채
상추쌈*쌈장
쌀밥/배추김치","닭개장(계육:국내산)
김치전
청포묵김가루무침
양파초절임
쌀밥/깍두기",,,,
818Kcal,797Kcal,837Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,         0원,         0원,         0원
양식,"샐러드돈가스(돈육:국내산)
유부장국
마카로니샐러드
쌀밥/오이피클","하이라이스*미니함박(우육:호주
뉴질랜드/돈육:국내산)
근대된장국
양배추샐러드
오이피클","클래식함박스테이크(계육
돈육:국내산)
계란후라이
클링클컷감자튀김
쌀밥/오이피클",,,,
929Kcal,849Kcal,918Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,         0원,         0원,         0원
특식,특식,"[뚝]돌솥비빔밥
유부장국
계란후라이
연두부찜*양념간장
배추김치","[뚝]부대찌개*라면사리
시금치나물
도토리묵*양념간장
쌀밥/깍두기","[뚝]돈육김치찌개(돈육:미국산)
계란말이
느타리미역줄기볶음
쌀밥/깍두기",,,,
798Kcal,788Kcal,752Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :, :~ :
"     3,200원","     3,200원","     3,200원",         0원,         0원,         0원,         0원
석식,한식,"꽁치구이*와사비장
콩나물국
사각어묵볶음
오이지무침
무밥*양념간장
배추김치","육개장(우육:호주산)
채소잡채
콩자반
옥수수전
쌀밥/깍두기",,,,,
800Kcal,838Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,         0원
양식,"김치볶음밥*계란후라이
콩나물국
채소고로케*케찹
단무지","오므라이스*핫도그
미역국
양배추샐러드
오이피클",,,,,
840Kcal,901Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,         0원
간식,일품1,참치샐러드,참치샐러드,참치샐러드,,,,
250Kcal,250Kcal,250Kcal,0Kcal,0Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00, :~ :, :~ :,,
"     3,500원","     3,500원","     3,500원",         0원,         0원,,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,,,
220Kcal,220Kcal,220Kcal,0Kcal,0Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00, :~ :, :~ :,,
"     3,500원","     3,500원","     3,500원",         0원,         0원,,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,,,,
289Kcal,289Kcal,289Kcal,0Kcal,0Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00, :~ :, :~ :,,
"     3,500원","     3,500원","     3,500원",         0원,         0원,,
일품4,케이준치킨샐러드,케이준치킨샐러드,케이준치킨샐러드,,,,
389Kcal,389Kcal,389Kcal,0Kcal,0Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00, :~ :, :~ :,,
"     3,500원","     3,500원","     3,500원",         0원,         0원,,
공지사항,
