■생활관식당(블루미르308관)
2016년 02월 01일 ~ 2016년 02월 07일
주간식단표
구분,월요일(02/01),화요일(02/02),수요일(02/03),목요일(02/04),금요일(02/05),토요일(02/06),일요일(02/07)
조식,한식,"북어해장국
완자조림(계육
돈육:국내산)
도토리묵무침
미역줄기볶음
쌀밥/배추김치","떡갈비조림(돈육:국내산)
사각어묵국
된장깻잎지
숙주나물
쌀밥/깍두기","고기산적조림(돈육
계육:국내산)
오징어뭇국
새송이버섯볶음
마카로니샐러드
쌀밥/배추김치","비지찌개
계란찜
미역초고추장무침
허브생채
쌀밥/깍두기","소시지채소볶음
김치수제비
매운두부조림
건파래볶음
쌀밥/깍두기","사골우거지탕(우사골엑기스:호주산)
명엽채볶음
어묵곤약조림
쑥갓오이겉절이
쌀밥/깍두기","사골손만두떡국(우사골엑기스:호주산)
채소잡채
열무생채
무들깨나물
쌀밥/깍두기"
728Kcal,728Kcal,878Kcal,709Kcal,848Kcal,705Kcal,910Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"버섯채소죽
사각어묵채소볶음
얼갈이겉절이
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","핫케이크*딸기잼
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
555Kcal,751Kcal,730Kcal,861Kcal,686Kcal,,
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,,
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",,
중식,한식,"참치김치찌개
스크램블에그
파래무생채
게맛살채소볶음
쌀밥/깍두기","고등어무조림(고등어:국내산)
쇠고기뭇국(우육:호주산)
팽이버섯전
쌀밥/깍두기","오징어떡불고기
미역국
도시락김
양파초절임
쌀밥/배추김치","단호박닭찜(계육:브라질)
계란팟국
열무생채
스피랄리볶음
쌀밥/깍두기","햄모둠찌개
건파래볶음
메추리알조림
유채나물
쌀밥/깍두기","닭갈비(계육:브라질)
뭇국
양배추쌈
마카로니감자샐러드
쌀밥/배추김치","나물된장비빔밥
미역국
계란후라이
누룽지샐러드
고추지무침
쌀밥/깍두기"
768Kcal,899Kcal,777Kcal,884Kcal,703Kcal,904Kcal,795Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"오므라이스*미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
우동국
양배추샐러드
오이피클","토마토소스스파게티
감자튀김*케찹
오이피클
탄산","참치마요덮밥
미역국
비엔나핫도그
단무지","마파두부덮밥(돈육:미국산)
계란팟국
두부탕수
단무지","볶음우동
누룽지샐러드
단무지
음료",,
904Kcal,974Kcal,802Kcal,911Kcal,796Kcal,,
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,,
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",,
특식,특식,"[뚝]돈육불고기(돈육:미국산)
무초절임
상추쌈*쌈장
쌀밥/배추김치","[뚝]부대찌개*라면사리
어묵마늘종볶음
콩나물무침
쌀밥/깍두기","[뚝]돈육김치찌개(돈육:미국산)
계란말이
숙주오이나물
쌀밥/깍두기","[뚝]순댓국(돈잡뼈:국내산)
호박채전
부추생채
쌀밥/깍두기","[뚝]밀양돼지국밥(돈잡뼈:국내산
돈육:미국산)
부추장떡
환어묵볶음
쌀밥/깍두기",,
729Kcal,804Kcal,801Kcal,752Kcal,833Kcal,,
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,,
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",,
석식,한식,"닭개장(계육:국내산)
메밀배추전
해초샐러드
콩자반
쌀밥/깍두기","사천식돈육볶음(돈육:미국산)
콩나물국
양배추쌈
무초절임
쌀밥/배추김치","설렁탕*소면사리(우육
우사골엑기스:호주산)
두부구이
얼갈이나물
고추지무침
씰밥/깍두기","감자고추장찌개
콩나물밥*양념간장
너비아니마늘종볶음(돈육:국내산)
무말랭이무침
쌀밥/배추김치","만두육개장
우엉땅콩조림
청포묵김가루무침
부추생채
쌀밥/배추김치","김치순두부찌개
비엔나소시지케찹조림
콩나물무침
김구이
쌀밥/깍두기",
703Kcal,777Kcal,885Kcal,903Kcal,780Kcal,807Kcal,
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",
양식,"돈가스카레라이스(돈육:국내산)
유부장국
양배추콘샐러드
단무지","치킨마요덮밥(계육:국내산)
콩나물국
고구마맛탕
단무지","김치볶음밥*생선가스(중국산)
미소장국
단무지","고추잡채덮밥*꽃빵
일식장국
사모사튀김
단무지","순살돈가스(돈육:국내산)
크림스프
모둠샐러드
오이피클
후식",,
908Kcal,802Kcal,953Kcal,826Kcal,897Kcal,,
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,,
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",,
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
