■생활관식당(블루미르308관)
2016년 03월 07일 ~ 2016년 03월 13일
주간식단표
구분,월요일(03/07),화요일(03/08),수요일(03/09),목요일(03/10),금요일(03/11),토요일(03/12),일요일(03/13)
조식,한식,"비엔나소시지케찹볶음
열무된장국
계란찜
된장깻잎지
쌀밥/깍두기","사골만둣국(우사골엑기스:호주산)
홈소시지전*케찹
청포묵무침
부추적채겉절이
쌀밥/깍두기","얼큰한수제비국
완자전(계육
돈육:국내산)
미역줄기볶음
무생채
쌀밥/배추김치","매운떡갈비조림(돈육:국내산)
미역국
사각어묵볶음
쑷갓두부무침
쌀밥/깍두기","순두부맑은국
미트볼조림(돈육
계육:국내산/우육:호주산)
브로콜리숙회*초장
무짠지채
쌀밥/깍두기","비지찌개
감자채볶음
도시락김
두부찜
쌀밥
얼갈이겉절이","햄모둠찌개
채소잡채
돌나물*초장
콩자반
쌀밥/깍두기"
804Kcal,858Kcal,799Kcal,788Kcal,810Kcal,757Kcal,810Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"누룽지채소죽
계란장조림
솎음배추겉절이
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치채소죽
두부찜
얼갈이겉절이
씨리얼/우유/과일","단호박샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","식빵토스트
계란후라이*딸기잼
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","에그샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
600Kcal,567Kcal,670Kcal,655Kcal,580Kcal,688Kcal,557Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"닭고기부추볶음(계육:브라질)
유부장국
도시락김
무생채
쌀밥/배추김치","감자고추장찌개
콩나물밥*양념간장
소시지채소볶음
허브생채
깍두기","꼬치어묵잔치국수
고구마맛탕
단무지무침","고등어무조림(고등어:국내산)
미역국
옥수수전
숙주나물무침
쌀밥/배추김치","만두육개장
계란게맛살볶음
우엉조림
고추지무침
쌀밥/깍두기","나물된장비빔밥
팽이버섯장국
계란후라이
누룽지샐러드
배추김치","오징어볶음*소면사리
계란팟국
팽이버섯전
도토리묵무침
쌀밥/배추김치"
790Kcal,933Kcal,885Kcal,789Kcal,788Kcal,804Kcal,797Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"오므라이스*미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
유부장국
양배추샐러드
오이피클","온메밀국수
두부탕수
채소양념밥
단무지","가츠돈(돈가스덮밥)(돈육:국내산)
미소장국
누룽지샐러드
단무지","중국식볶음밥*자장소스
짱뽕국
사모사튀김
단무지","해물떡볶이
우동국
채소튀김
단무지","김치볶음밥
팽이버섯장국
왕꼬치구이(계육
돈육:국내산)
단무지","탄탄짬뽕
채소춘권튀김
짜사이채무침"
892Kcal,937Kcal,894Kcal,857Kcal,772Kcal,760Kcal,930Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]돈육김치찌개(돈육:미국산)
계란말이
미역줄기볶음
쌀밥*김가루
깍두기","[뚝]돈육불고기(돈육:미국산)
무초절임
상추쌈*쌈장
쌀밥/배추김치","[뚝]부대찌개*라면사리
해초무침
새송이버섯볶음
쌀밥/깍두기","[뚝]돌솥비빔밥
미역국
지마구튀김
계란후라이
배추김치","[뚝]밀양돼지국밥(돈잡뼈:국내산
돈육:미국산)
김치전
시금치나물
쌀밥/깍두기",,
831Kcal,769Kcal,710Kcal,794Kcal,987Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"순두부찌개
꼬마돈가스튀김(돈육
계육:국내산)
올방개묵무침
콩나물무침
쌀밥/깍두기","닭곰탕*소면사리(계육:국내산)
마늘종고추장무침
단호박전
팽이버섯채소볶음
쌀밥/깍두기","콩불(콩나물불고기)(돈육:미국산)
유부장국
양배추쌈
게맛살냉채
쌀밥/배추김치","닭고기떡볶음(계육:브라질)
뭇국
계란후라이
모둠채소겉절이
쌀밥/깍두기","꽁치구이*와사비장
팽이버섯장국
감자환어묵조림
오이지무침
쌀밥/배추김치","돼지고기춘장볶음(돈육:미국산)
미역장국
콩나물무침
마카로니샐러드
쌀밥/배추김치","장터국밥(우육:호주산)
치커리생채
두부찜*양념장
된장마늘종지
깍두기"
788Kcal,789Kcal,781Kcal,985Kcal,780Kcal,900Kcal,750Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
