■생활관식당(블루미르308관)
2016년 03월 14일 ~ 2016년 03월 20일
주간식단표
구분,월요일(03/14),화요일(03/15),수요일(03/16),목요일(03/17),금요일(03/18),토요일(03/19),일요일(03/20)
조식,한식,"호박된장찌개
건파래멸치볶음
계란찜
부추생채
쌀밥/깍두기","꼬마돈가스조림(돈육
계육:국내산)
환어묵국
감자채게맛살볶음
생깻잎절임
쌀밥/깍두기","북엇국
고기산적조림(돈육
계육:국내산)
숙주미나리무침
열무생채
쌀밥/배추김치","참치채소볶음
근대된장국
홈소시지전
도시락김
쌀밥/배추김치","두부고추장찌개
햄마늘종볶음
콩나물무침
상추겉절이
쌀밥/배추김치","미트볼조림(돈육:국내산
수입산/우육:호주산)
떡국
연두부찜
오복지무침
쌀밥/깍두기","떡갈비조림(돈육:국내산)
오징어뭇국
호박볶음
열무생채
쌀밥/깍두기"
888Kcal,825Kcal,787Kcal,840Kcal,718Kcal,925Kcal,759Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"고구마샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
사각어묵채소볶음
배추김치
씨리얼/우유/과일","단호박샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
계란장조림
솎음배추겉절이
씨리얼/우유/과일","참치샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
601Kcal,618Kcal,559Kcal,604Kcal,514Kcal,697Kcal,630Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"육개장(우육:호주산)
부추장떡
올방개묵*양념장
오이지무침
쌀밥/깍두기","사골만둣국(우사골엑기스:호주산)
브로콜리숙회*초장
연근조림
게맛살팽이버섯볶음
쌀밥/깍두기","꽁치구이*와사비장
시락국
두부계란전
무말랭이무침
쌀밥/배추김치","닭곰탕*소면사리(계육:국내산)
마늘종고추장무침
두부빈대떡
누룽지샐러드
쌀밥/깍두기","김치잔치국수
연근튀김
채소양념밥
솎음배추겉절이
후식","사골우거지탕(우사골엑기스:호주산)
완자조림(계육
돈육:국내산)
미역줄기볶음
마늘종지무침
쌀밥/깍두기","닭갈비(계육:브라질)
배추된장국
도시락김
콩나물무침
쌀밥/깍두기"
789Kcal,908Kcal,920Kcal,888Kcal,906Kcal,870Kcal,819Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
