■생활관식당(블루미르308관)
2016년 03월 21일 ~ 2016년 03월 27일
주간식단표
구분,월요일(03/21),화요일(03/22),수요일(03/23),목요일(03/24),금요일(03/25),토요일(03/26),일요일(03/27)
조식,한식,"햄모둠찌개
스크램블에그
건파래볶음
단호박조림
쌀밥/깍두기","쇠고기뭇국(우육:호주산)
비엔나파인애플볶음
쑥갓오이겉절이
깻잎지무침
쌀밥/배추김치","만둣국
햄구이*케찹
명엽채고추장볶음
건파래볶음
쌀밥/배추김치","완자조림(계육
돈육:국내산)
열무된장국
사각어묵채소볶음
고추지무침
쌀밥/배추김치","우거지해장국(우육:호주산)
계란장조림
새송이버섯볶음
미역초무침
쌀밥/깍두기","너비아니엿장구이(돈육
계육:국내산)
사각어묵국
주키니호박볶음
무생채
쌀밥/배추김치","순두부맑은국
고기산적조림(돈육
계육:국내산)
해초샐러드
콩나물무침
쌀밥/배추김치"
775Kcal,791Kcal,759Kcal,857Kcal,889Kcal,837Kcal,851Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"시나몬토스트
크림스프
양배추샐러드
씨리얼/우유/과일","고구마샐러드샌드위치
크림스프
양배추샐러드
씨리얼/우유/과일","단호박샐러드샌드위치
크림스프
양배추샐러드
씨리얼/우유/과일","채소죽
계란장조림
솎음배추겉절이
씨리얼/우유/과일","견과류핫케이크
크림스프
양배추샐러드
씨리얼/우유/과일","버섯채소죽
사각어묵채소볶음
솎음배추겉절이
씨리얼/우유/과일","식빵토스트*딸기잼
스크램블에그
크림스프
양배추샐러드
씨리얼/우유/과일"
658Kcal,551Kcal,508Kcal,609Kcal,603Kcal,585Kcal,569Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"고등어무조림(고등어:국내산)
미소장국
열무생채
마카로니샐러드
쌀밥/배추김치","나물된장비빔밥
팽이버섯장국
계란후라이
고구마맛탕
배추김치","설렁탕*소면사리(우육
우사골엑기스:호주산)
부추생채
새송이버섯볶음
오이지무침
쌀밥/깍두기","돈육칼국수(돈육:미국산)
부추전
솎음배추겉절이","김치찌개
단호박전
게맛살계란볶음
김구이
쌀밥/깍두기","*추억의도시락*소시지전
계란후라이
스크렘블에그
마늘종볶음
쌀밥*김가루
볶음김치","참치김치볶음*두부찜
근대된장국
건파래볶음
된장마늘종지무침
쌀밥"
890Kcal,947Kcal,847Kcal,784Kcal,777Kcal,911Kcal,773Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치마요덮밥
미소장국
비엔나핫도그
오복지무침","커리우동
팽이버섯장국
타꼬야끼
단무지","함박스테이크(계육
돈육:국내산)
크림스프
채소볶음밥
클링클컷감자튀김
오이피클","중국식볶음밥*자장소스
짬뽕국
채소춘권
단무지","마파소시지덮밥
계란팟국
고구마맛탕
오이피클","토마토소스스파게티
모닝빵연유튀김
오이피클
탄산","순살돈가스(돈육:국내산)
크림스프
마카로니샐러드
오이피클
쌀밥"
843Kcal,796Kcal,907Kcal,964Kcal,928Kcal,906Kcal,851Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]부대찌개*라면사리
실곤약겨자무침
양배추게맛살전
쌀밥/깍두기","[뚝]돼지고기김치찌개(돈육:미국산)
계란말이
미역줄기볶음
쌀밥*김가루
깍두기","*'내마음대로토핑'특식Ⅰ*즉석토마토스파게티
크림스프
마늘토스트
오이피클
후식","*특급메뉴이벤트*레드포크스튜*왕주먹밥
우동국
양배추샐러드
오이피클
후식","*특급메뉴이벤트*매콤소시지검보
일식장국
양배추샐러드
오이피클
후식",,
809Kcal,799Kcal,928Kcal,879Kcal,901Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"닭곰탕*소면사리(계육:국내산)
도시락김
두부채소전
콩나물무침
쌀밥/깍두기","닭고기채소볶음(계육:브라질)
미역국
열무생채
마카로니샐러드
쌀밥/배추김치","북엇국
메밀묵김치무침
사각어묵마늘종볶음
숙주나물무침
쌀밥/배추김치","꽁치구이*와사비장
순두부김칫국
채소잡채
부추생채
쌀밥/깍두기","사골만둣국(우사골엑기스:호주산)
어묵고추장볶음
무생채
청포묵*양념간장
쌀밥/깍두기","돼지고기부추볶음(돈육:미국산)
일식장국
마카로니샐러드
생김구이*양념간장
쌀밥/깍두기","만두육개장
장떡
미역줄기볶음
오이지무침
쌀밥/깍두기"
790Kcal,870Kcal,819Kcal,885Kcal,799Kcal,740Kcal,796Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"가츠돈(돈가스덮밥)(돈육:국내산)
미소장국
스피랄리볶음
단무지","오므라이스*핫도그
미역국
오이피클","짬뽕덮밥
우동국
물만두찜
단무지","김치볶음밥*계란후라이
미역국
옥수수고로케
단무지","닭고기쌀국수(계육:브라질)
채소튀김
단무지","스팸마요덮밥
일식장국
양배추샐러드
단무지","치킨카레라이스(계육:브라질)
미역국
양배추콘샐러드
단무지"
831Kcal,729Kcal,981Kcal,818Kcal,776Kcal,897Kcal,888Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
