■생활관식당(블루미르308관)
2016년 02월 29일 ~ 2016년 03월 06일
주간식단표
구분,월요일(02/29),화요일(03/01),수요일(03/02),목요일(03/03),금요일(03/04),토요일(03/05),일요일(03/06)
조식,한식,"쇠고기뭇국(우육:호주산)
계란장조림
도토리묵무침
부추생채
쌀밥/배추김치","비지찌개
동그랑땡조림(계육
돈육:국내산)
치커리생채
건파래볶음
쌀밥/깍두기","수제비국
참치김치볶음*두부찜
알찬소시지전*케찹
콩나물무침
쌀밥","떡갈비조림(돈육:국내산)
매운버섯국
참나물생채
청포묵김가루무침
쌀밥/깍두기","북엇국
고기산적조림(돈육
계육:국내산)
마늘종멸치볶음
봄동오이생채
쌀밥/배추김치","너비아니엿장조림(돈육
계육:국내산)
순두부맑은국
미역줄기볶음
부추무침
쌀밥/깍두기","오징어뭇국
햄계란전
삼색겨자냉채
도시락김
쌀밥/배추김치"
708Kcal,762Kcal,780Kcal,753Kcal,749Kcal,730Kcal,716Kcal
07:00~08:40,08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"샐러드샌드위치
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클",,"소고기죽(우육:호주산)
사각어묵볶음
얼갈이겉절이
씨리얼/우유/과일","참치샌드위치
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클","단호박샌드위치
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클","두부도너츠
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클","닭죽(계육:국내산)
사각어묵볶음
얼갈이겉절이
씨리얼/우유/과일"
574Kcal,0Kcal,566Kcal,583Kcal,599Kcal,602Kcal,600Kcal
07:00~08:40, :~ :,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원",         0원,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"닭고기채소고추장볶음(계육:브라질)
뭇국
도시락김
콩나물겨자냉채
쌀밥/배추김치","순두부찌개
콩나물밥*양념장
브로콜리숙회
계란찜
양배추콘샐러드
깍두기","청국장찌개
꽁치구이*와사비장
채소잡채
오이지무침
쌀밥/배추김치","나물된장비빔밥
팽이버섯장국
계란후라이
누룽지샐러드
깍두기","닭고기잔치국수(계육:국내산)
물만두찜
수수밥
솎음배추겉절이","설렁탕*소면사리(우육
사골엑기스:호주산)
김치전
숙주나물
마늘종고추장무침
쌀밥/깍두기","콩불(콩나물불고기)(돈육:미국산)
무초절임
양배추쌈
쌀밥/깍두기"
856Kcal,843Kcal,860Kcal,847Kcal,796Kcal,886Kcal,873Kcal
11:30~13:30,11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"오로시돈가스(돈육:국내산)
크림스프
감자마카로니샐러드
쌀밥*오이피클",,"레드카래새우볶음밥
일식장국
왕꼬치구이*케찹(돈육
계육:국내산)
오이피클","카레보나라우동
채소고로케*케찹
오이피클","참치마요덮밥
일식장국
단호박떡조림
단무지","잡채덮밥*자장소스
매운콩나물국
고구마샐러드
단무지","토마토소스스파게티
모닝빵연유튀김
오이피클
탄산"
897Kcal,0Kcal,878Kcal,890Kcal,901Kcal,900Kcal,893Kcal
11:30~13:10, :~ :,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원",         0원,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]돌솥비빔밥
뭇국
계란후라이
연두부찜*양념간장
배추김치",,"[뚝]부대찌개*라면사리
단호박조림
숙주나물
쌀밥/깍두기","[뚝]김치날치알밥
팽이버섯장국
해초샐러드
오이지무침","[뚝]돈육김치찌개(돈육:미국산)
계란말이
콩나물무침
쌀밥*김가루
깍두기",,
891Kcal,0Kcal,904Kcal,873Kcal,892Kcal,0Kcal,0Kcal
11:30~13:00, :~ :,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원",         0원,"     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"육개장(우육:호주산)
두부구이
미역초무침
쑥갓겉절이
쌀밥/깍두기","김치찌개
어묵전*겨자장
스크램블에그
열무생채
쌀밥/깍두기","사골우거지탕(우사골엑기스:호주산)
단호박전
고추지무침
새송이버섯볶음
쌀밥/깍두기","오징어콩나물볶음
뭇국
계란찜
도시락김
쌀밥/배추김치","자반고등어구이
시금치된장국
무생채
마카로니샐러드
단호박영양밥
배추김치","참치채소비빔밥
미소장국
사각어묵볶음
누룽지샐러드
배추김치","순대떡볶음
우동국
스크램블에그
콩나물무침
쌀밥/볶음김치"
894Kcal,863Kcal,880Kcal,881Kcal,876Kcal,880Kcal,896Kcal
17:30~19:00,17:30~18:30,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"타이칠리볶음밥(계육:브라질)
일식장국
두부강정
오이피클",,"샐러드파스타
크림스프
수제마늘토스트
오이피클","몽골리안볶음밥(돈기름:국내산)
계란후라이
양배추샐러드
단무지","*self버거*햄버거빵
함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
크림스프
양배추샐러드
오이피클","클래식함박스테이크(돈육
계육:국내산)
계란후라이
감자튀김
쌀밥/오이피클","돈가스카레라이스(돈육:국내산)
우동국
양배추샐러드
배추김치"
871Kcal,0Kcal,896Kcal,886Kcal,912Kcal,846Kcal,887Kcal
17:30~19:00, :~ :,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원",         0원,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
