■생활관식당(블루미르308관)
2016년 04월 04일 ~ 2016년 04월 10일
주간식단표
구분,월요일(04/04),화요일(04/05),수요일(04/06),목요일(04/07),금요일(04/08),토요일(04/09),일요일(04/10)
조식,한식,"떡갈비조림(돈육:국내산)
미역국
어묵미역줄기볶음
된장고추지
쌀밥/배추김치","꽁치구이*와사비장
열무된장국
스크램블에그
쫑상추겉절이
쌀밥/배추김치","우거지해장국(우육:호주산)
부추생채
사각어묵볶음
김구이*양념장
쌀밥/깍두기","새우완자전
배추된장국
숙주나물
된장깻잎지
쌀밥/깍두기","북어채미역국
계란장조림
고구마순들깨나물
마늘장아찌
쌀밥/배추김치","햄모둠찌개
계란찜
톳양파무침
무들깨나물
쌀밥/깍두기","참치김치볶음*두부찜
열무된장국
도시락김
콩나물무침
쌀밥"
876Kcal,725Kcal,795Kcal,739Kcal,729Kcal,714Kcal,759Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","버섯채소죽
미니핫도그
솎음배추겉절이
씨리얼/우유/과일","마늘토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
스크램블에그
얼갈이겉절이
씨리얼/우유/과일"
611Kcal,532Kcal,511Kcal,647Kcal,591Kcal,511Kcal,519Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"만둣국
미트볼조림(돈육
계육:국내산/우육:호주산)
콩나물무침
쌀밥/깍두기","육개장(우육:호주산)
두부찜*양념장
연근조림
깻잎지절임
쌀밥/깍두기","설렁탕*소면사리(우육
우사골엑기스:호주산)
두부빈대떡
부추생채
미역초무침
쌀밥/깍두기","닭다리살채소볶음(계육:브라질)
우동국
양배추쌈*쌈장
건파래볶음
쌀밥/깍두기","냉메밀국수
채소크로켓*케찹
해초무침
채소양념밥
배추김치","닭고기굴소스볶음(계육:브라질)
계란팟국
상추겉절이
도시락김
쌀밥/배추김치","쇠고기뭇국(우육:호주산)
두부조림
햄마늘종볶음
콩나물무침
쌀밥/깍두기"
894Kcal,811Kcal,807Kcal,725Kcal,913Kcal,814Kcal,783Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"커리우동
팽이버섯맑은국
야채춘권
단무지","샐러드돈가스(돈육:국내산)
유부장국
마카로니샐러드
단무지","샐러드스파게티
크림스프
마늘토스트
오이피클","김치볶음밥
우동국
왕꼬치구이*케찹(계육
돈육:국내산)
단무지","오므라이스*핫도그
뭇국
천사채샐러드
오이피클","볶음우동
계란팟국
사모사튀김
단무지","치킨마요덮밥(계육:국내산)
일식장국
단호박구이
단무지"
879Kcal,804Kcal,783Kcal,816Kcal,963Kcal,923Kcal,876Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]돌솥비빕밥
팽이버섯맑은국
계란후라이
고구마맛탕
배추김치","*식목일기념이벤트*새싹비빔밥
유부장국
계란후라이
꽃맛살샐러드
배추김치","[뚝]부대찌개*라면사리
실곤약겨자무침
마늘종볶음
쌀밥/깍두기","*특급메뉴이벤트*매콤제육쫄면(돈육:미국산)
우동국
군만두튀김
단무지","*특급메뉴이벤트*그리스무사카*볶음밥
뭇국
양배추샐러드
오이피클",,
946Kcal,890Kcal,890Kcal,905Kcal,780Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"김치찌개
알찬소시지전*케찹
열무생채
브로콜리양배추볶음
쌀밥/깍두기","닭고기칼국수(계육:브라질)
손만두찜
김가루양념밥
배추김치","고등어조림(고등어:국내산)
미역국
채소잡채
무들깨나물
쌀밥/배추김치","호박된장찌개
고기산적조림(돈육
계육:국내산)
생김구이*간장
도토리묵무침
쌀밥/배추김치","돈육김치볶음(돈육:미국산)*두부찜
콩나물국
옛날소시지전
숙주나물무침
쌀밥","손만둣국
완자조림(계육
돈육:국내산)
채소잡채
된장마늘종지무침
쌀밥/깍두기","순두부찌개
건파리볶음
햄구이
열무생채
쌀밥/깍두기"
832Kcal,775Kcal,791Kcal,894Kcal,926Kcal,925Kcal,759Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치마요덮밥
미소장국
단호박구이
단무지","하이라이스*미니함박스테이크(돈육:국내산
수입산
우육:호주산)
우동국
양배추샐러드
오이피클","계란볶음밥*자장소스
짬뽕국
만두탕수
단무지","고추잡채덮밥*꽃빵
팽이버섯장국
딤섬
단무지","돈가스카레라이스(돈육:국내산)
콩나물국
양배추샐러드
배추김치","매콤고추참지덮밥
우동국
마카로니샐러드
오복지무침","함박스테이크(계육
돈육:국내산)
크림스프
클링클컷감자튀김
채소볶음밥
오이피클"
939Kcal,842Kcal,998Kcal,781Kcal,938Kcal,918Kcal,917Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
