■생활관식당(블루미르308관)
2016년 04월 11일 ~ 2016년 04월 17일
주간식단표
구분,월요일(04/11),화요일(04/12),수요일(04/13),목요일(04/14),금요일(04/15),토요일(04/16),일요일(04/17)
조식,한식,"콩나물해장국
두부조림
마늘종멸치볶음
미역초무침
쌀밥/깍두기","얼큰한수제비국
소시지데리야끼볶음
단호박조림
팽이버섯튀김
쌀밥/배추김치","사골우거지해장국(우사골엑기스:호주산)
홈소시지전
모둠채소겉절이
미역표고버섯볶음
쌀밥/깍두기","오징어뭇국
부추잡채
계란장조림
브로콜리숙회*초장
쌀밥/배추김치","김치찌개
미트볼조림(돈육
계육:국내산/우육:호주산)
미역줄기볶음
된장고추지
쌀밥/깍두기","매운떡갈비조림(돈육:국내산)
솎음배추된장국
사각어묵볶음
무짠지채
쌀밥/배추김치","북어채미역국
완자조림
(계육
돈육:국내산)
콩나물무침
오이지절임
쌀밥/배추김치"
781Kcal,842Kcal,814Kcal,803Kcal,796Kcal,850Kcal,737Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"시나몬토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","누룽지채소죽
사각어묵채소볶음
얼갈이겉절이
씨리얼/우유/과일",,"식빵토스트*딸기잼
데친후랑크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
사각어묵볶음
솎음배추겉절이
씨리얼/우유/과일","단호박샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
587Kcal,607Kcal,0Kcal,814Kcal,622Kcal,776Kcal,783Kcal
07:00~08:40,07:00~08:40, :~ :,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원",         0원,"     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"순두부찌개
브로콜리숙회*초장
단호박전
사각어묵볶음
쌀밥/깍두기","조랭이떡만둣국
건파래볶음
게맛살계란볶음
고추지무침
쌀밥/배추김치","오징어떡볶음
콩나물국
스크램블에그
열무생채
쌀밥/배추김치","비지찌개
숙주나물무침
햄구이*케찹
생김구이*간장
쌀밥/깍두기","매운쇠고기뭇국(우육:호주산)
완자전*케찹(계육
돈육:국내산)
미역양파무침
고들빼기무생채
쌀밥/배추김치","닭고기채소떡볶음(계육:브라질)
열무된장국
건파래볶음
상추깻잎겉절이
쌀밥/배추김치","만두육개장
청포묵*양념장
치커리유자청무침
콩자반
쌀밥/배추김치"
871Kcal,964Kcal,807Kcal,763Kcal,788Kcal,739Kcal,784Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"오야꼬동(닭고기덮밥)(계육:브라질)
미소장국
누릉지샐러드
오이피클","잡채덮밥*자장소스
짬뽕국
사모사튀김
단무지무침",,"참치채소볶음밥*계란후라이
팽이버섯장국
핫도그*케찹
단무지","탄탄짬뽕(돈육:미국산)
채소춘권
짜사이채무침","함박스테이크(계육
돈육:국내산)
크림스프
클링클컷감자튀김
채소볶음밥
오이피클","소시지마파두부덮밥
유부장국
채소크로켓*케찹
단무지"
794Kcal,914Kcal,0Kcal,894Kcal,979Kcal,905Kcal,916Kcal
11:30~13:10,11:30~13:10, :~ :,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원",         0원,"     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]돌솥비빔밥
미소장국
계란후라이
마카로니콘샐러드
배추김치","[뚝]밀양돼지국밥(돈육:미국산
돈잡뼈:국내산)
부추생채
청포묵무침
쌀밥/깍두기",,"[뚝]돈육김치찌개(돈육:미국산)
멕시칸샐러드
시금치나물
쌀밥*김가루
깍두기","*특급메뉴이벤트*매콤숙주닭볶음덮밥(계육:브라질)
일식장국
양배추샐러드
배추김치",,
901Kcal,779Kcal,0Kcal,821Kcal,780Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00, :~ :,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원",         0원,"     3,200원","     3,200원",         0원,         0원
석식,한식,"햄모둠찌개
마늘종고추장무침
호박채전
시래기된장조림
쌀밥/깍두기","닭고기두반장볶음(계육:브라질)
뭇국
깻잎지절임
콩나물무침
쌀밥/배추김치","닭개장(계육:국내산)
햄마늘종볶음
유채나물
마카로니샐러드
쌀밥/깍두기","꽁치구이*와사비장
유부장국
계란찜
다시마숙회*초장
쌀밥/깍두기","돈육고추장떡볶음(돈육:미국산)
미역국
옥수수전
양배추쌈*쌈장
쌀밥/깍두기","돈육칼국수(돈육:미국산)
단호박조림
유부양념밥
솎음배추겉절이","고등어김치찜(고등어:국내산)
뭇국
열무나물무침
마카로니샐러드
쌀밥/깍두기"
884Kcal,738Kcal,731Kcal,807Kcal,852Kcal,769Kcal,806Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈코츠라멘(돈육:독일산
돈잡뼈:미국산)
단무지
후식","돈가스김치덮밥(돈육:국내산)
뭇국
두부도너츠
쌀밥/단무지",,"돈가스카레라이스(돈육:국내산)
유부장국
양배추샐러드
배추김치","볶음우동
미역국
단무지
후식","치킨마요덮밥(계육:국내산)
팽이버섯장국
누릉지샐러드
오이피클","오므라이스*소시지구이
뭇국
양배추샐러드
오이피클"
825Kcal,709Kcal,0Kcal,850Kcal,781Kcal,853Kcal,888Kcal
17:30~19:00,17:30~19:00, :~ :,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원",         0원,"     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,,참치샐러드,참치샐러드,,
250Kcal,250Kcal,,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원",,"     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원",,"     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원",,"     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원",,"     3,500원","     3,500원",,
공지사항,
