■생활관식당(블루미르308관)
2016년 04월 18일 ~ 2016년 04월 24일
주간식단표
구분,월요일(04/18),화요일(04/19),수요일(04/20),목요일(04/21),금요일(04/22),토요일(04/23),일요일(04/24)
조식,한식,"북엇국
꼬마돈가스케찹조림
(돈육
계육:국내산)
부추생채
마늘장아찌
쌀밥/배추김치","사골우거지해장국
열무된장나물
계란찜
건파래볶음
쌀밥/깍두기","꽁치김치조림
아욱된장국
채소잡채
열무나물
쌀밥/깍두기","조랭이떡국
소시지케찹볶음
단호박조림
깻잎지무침
쌀밥/깍두기","쇠고기미역국(우육:호주산)
봉어묵볶음
두부조림
콩나물무침
쌀밥/깍두기","너비아니엿장조림(돈육
계육:국내산)
참치김치국
부추생채
된장마늘종무침
쌀밥/깍두기","순두부찌개
비엔나소시지떡조림
주키니호박볶음
도토리묵*양념간장
쌀밥/깍두기"
876Kcal,725Kcal,795Kcal,739Kcal,729Kcal,714Kcal,759Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","피자토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","채소죽
계란장조림
얼갈이겉절이
씨리얼/우유/과일","샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵볶음
솎음배추겉절이
씨리얼/우유/과일"
611Kcal,532Kcal,511Kcal,647Kcal,591Kcal,511Kcal,519Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"감자고추장찌개
계란장조림
알찬소시지전*케찹
도토리묵무침
쌀밥/깍두기","잔치국수
청파래오징어가스*타르타르소스
채소양념밥
솎음배추겉절이","떡국
멸치마늘종볶음
떡갈비조림(돈육:국내산)
열무생채
쌀밥/배추김치","육개장(우육:호주산)
치커리생채
두부빈대떡
해초샐러드
쌀밥/배추김치","고등어구이(고등어:국내산)
팽이버섯장국
채소잡채
열무생채
쌀밥/배추김치","돼지고기오징어볶음(돈육:미국산)
배추된장국
상추쌈*쌈장
무생채
쌀밥/배추김치","설렁탕*소면사리(우육
우사골엑기스:호주산)
김치전
모둠채소겉절이
쌀밥/깍두기"
894Kcal,811Kcal,807Kcal,725Kcal,913Kcal,814Kcal,783Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치마요덮밥
일식장국
고구마맛탕
단무지","치킨카레라이스(계육:브라질)
일식장국
버섯탕수
배추김치","닭고기쌀국수(계육:브라질)
채소춘권
우엉양념밥
단무지","미트볼토마토펜네(돈육
계육:국내산
우육:호주산)
양배추샐러드
오이피클
탄산","오므라이스*소시지구이
미소장국
오이피클","버섯크림소스스파게티
당근스프
양배추샐러드
마늘토스트
오이피클","베이컨햄볶음밥
우동국
만두강정
배추김치"
879Kcal,804Kcal,783Kcal,816Kcal,963Kcal,923Kcal,876Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]밀양돼지국밥(돈육:미국산
돈잡뼈:국내산)
감자채볶음
양파초절임
쌀밥/깍두기","[뚝]부대찌개*라면사리
실곤약겨자무침
느타리게맛살볶음
쌀밥/깍두기","[뚝]비빔밥
유부장국
계란후라이
연두부찜
배추김치","[뚝]날치알밥
미소장국
만두튀김
깍두기","[뚝]돈육김치찌개(돈육:미국산)
계란말이
허브생채
쌀밥*김가루
깍두기",,
946Kcal,890Kcal,890Kcal,905Kcal,780Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"나물된장비빔밥
일식장국
누릉지샐러드
계란후라이
배추김치","닭고기부추볶음(계육:브라질)
미역국
양배추쌈
청포묵김가루무침
쌀밥/배추김치","김치찌개
너비아니엿장조림(돈육
계육:국내산)
부추전
된장마늘종지무침
쌀밥/깍두기","청고추된장찌개
콩나물밥*양념간장
계란찜
환어묵조림
배추김치","참치채소비빔밥
뭇국
채소크로켓*케찹
마카로니샐러드
배추김치","참치김치볶음*두부찜
물만둣국
건파래볶음
무나물
쌀밥","청어튀김
김칫국
생김구이*양념간장
사각어묵채소볶음
쌀밥/깍두기"
832Kcal,775Kcal,791Kcal,894Kcal,926Kcal,925Kcal,759Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈가스김치덮밥(돈육:국내산)
미소장국
양배추샐러드
단무지","김치햄스파게티
모닝빵연유튀김
오이피클
후식","고추잡채덮밥
계란팟국
생선가스(중국산)
단무지","채소볶음밥*미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
유부장국
양배추
콘샐러드
단무지","미트볼마요덮밥(돈육
계육:국내산/우육:호주산)
뭇국
클링클컷감자튀김
배추김치","중국식볶음밥*자장소스
짬뽕국
버섯탕수
단무지","순살돈가스(돈육:국내산)
크림스프
펜네샐러드
오이피클"
939Kcal,842Kcal,998Kcal,781Kcal,938Kcal,918Kcal,917Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
