■생활관식당(블루미르308관)
2016년 04월 25일 ~ 2016년 05월 01일
주간식단표
구분,월요일(04/25),화요일(04/26),수요일(04/27),목요일(04/28),금요일(04/29),토요일(04/30),일요일(05/01)
조식,한식,"전주콩나물국밥
햄채소볶음
치커리유자청무침
생깻잎절임
쌀밥/깍두기","고기산적조림(돈육
계육:국내산)
건새우뭇국
청포묵무침
사각어묵채소볶음
쌀밥/배추김치","얼큰한수제비국
소시지데리야끼볶음
도토리묵*양념장
미역줄기볶음
쌀밥/배추김치","완자전*케찹(계육
돈육:국내산)
매운버섯국
연근조림
채소잡채
쌀밥/배추김치","떡국
참나물겉절이
꼬마돈가스케찹조림(돈육
계육:국내산)
양파초간장절임
쌀밥/배추김치","북엇국
모둠햄케찹볶음
계란장조림
오이지무침
쌀밥/배추김치","새우완자전*케찹
다시마뭇국
두부조림
미역초무침
쌀밥/배추김치"
799Kcal,801Kcal,745Kcal,834Kcal,799Kcal,777Kcal,798Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"견과류핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵채소볶음
솎음배추겉절이
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
계란장조림
열무생채
씨리얼/우유/
황도샐러드","피자토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","채소죽
사각어묵채소볶음
얼갈이겉절이
씨리얼/우유/과일"
671Kcal,553Kcal,711Kcal,547Kcal,711Kcal,697Kcal,519Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"콩불(콩나물불고기)(돈육:미국산)
근대된장국
상추겉절이
마카로니샐러드
쌀밥/배추김치","닭곰탕*소면사리(계육:국내산)
매운주키니호박볶음
양파간장초절임
김구이
쌀밥/깍두기","순두부찌개
햄구이*케찹
단호박채전
유채나물
쌀밥/깍두기","닭갈비(계육:브라질)
콩나물국
푸실리샐러드
부추생채
쌀밥/깍두기","만두육개장
고추장떡
미역줄기볶음
오이지무침
쌀밥/깍두기","호박된장찌개
너비아니엿장조림(계육
돈육:국내산)
계란찜
얼갈이나물
쌀밥/깍두기","햄모둠찌개
만두강정
돌나물*초고추장
김구이
쌀밥/깍두기"
801Kcal,799Kcal,804Kcal,811Kcal,766Kcal,766Kcal,888Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"잡채덮밥*자장소스
우동국
사모사튀김
단무지","샐러드돈가스(돈육:국내산)
크림스프
고구마맛탕
쌀밥/단무지","버섯콩가루펜네파스타
마늘바게트
오이피클
탄산","오므라이스
콩나물국
핫도그*케찹
양배추샐러드
오이피클","고추잡채덮밥*꽃빵
일식장국
버섯탕수
짜사이채무침","토마토소스스파게티
클링클컷감자튀김
오이피클
탄산","볶음우동
팽이버섯장국
고구마샐러드
단무지
후식"
889Kcal,869Kcal,799Kcal,847Kcal,831Kcal,801Kcal,911Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]부대찌개*라면사리
팽이버섯양파볶음
오이지무침
쌀밥/깍두기","[뚝]밀양돼지국밥(돈육:미국산
돈잡뼈:캐나다산)
김치전
상추부추겉절이
쌀밥/깍두기","[뚝]비빔밥
유부장국
계란후라이
단호박조림
배추김치","[뚝]날치알밥
콩나물국
연두부찜*양념간장
배추김치","[뚝]돼지고기김치찌개(돈육:미국산)
환어묵조림
스크램블에그
쌀밥/깍두기",,
739Kcal,791Kcal,880Kcal,776Kcal,834Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"참치김치찌개
채소잡채
마늘종멸치볶음
된장고추지
쌀밥/깍두기","꽁치구이*와사비장
근대된장국
팽이버섯양채볶음
게맛살스크램블에그
쌀밥/배추김치","매운쇠고기뭇국(우육:호주산)
미트볼조림(돈육:국내산)
숙주나물무침
김구이*참기름장
쌀밥/배추김치","나물된장비빔밥
미역국
계란후라이
누릉지샐러드
배추김치","닭고기김치볶음(계육:브라질)*두부찜
미역국
건파래볶음
상추깻잎겉절이
쌀밥","사골만둣국(우사골엑기스:호주산)
알찬소시지전*케찹
부추적채겉절이
콩나물무침
쌀밥/깍두기",닭고기굴소스볶음(계육:브라질).얼갈이된장국.무생채.다시마숙회*초장.쌀밥/깍두기
860Kcal,771Kcal,749Kcal,832Kcal,817Kcal,789Kcal,849Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈코츠라멘(돈육:독일산
돈잡뼈:캐나다산)
양배추샐러드
단무지","탄탄짬뽕(돈육:미국산)
양배추콘샐러드
짜사이채무침","치킨마파두부덮밥(계육:브라질)
계란팟국
물만두찜
단무지","김치볶음밥
미역국
생선가스(중국산)*타르타르소스
오이피클","열무냉메밀국수
만두강정
양념우엉밥
단무지","돈가스카레라이스(돈육:국내산)
유부장국
양배추샐러드
배추김치","함박스테이크(계육
돈육:국내산)
크림스프
클링클컷감자튀김
채소볶음밥
오이피클"
750Kcal,801Kcal,801Kcal,877Kcal,749Kcal,911Kcal,905Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
