■생활관식당(블루미르308관)
2016년 03월 28일 ~ 2016년 04월 03일
주간식단표
구분,월요일(03/28),화요일(03/29),수요일(03/30),목요일(03/31),금요일(04/01),토요일(04/02),일요일(04/03)
조식,한식,"호박된장찌개
계란찜
사각어묵채소볶음
무말랭이무침
쌀밥/배추김치","북엇국
소시지양송이볶음
채소잡채
시금치나물
쌀밥/배추김치","감자청국장찌개
알찬소시지전*케찹
열무생채
건파래볶음
쌀밥/배추김치","손만둣국
오이부추무침
두부조림
시래기볶음
쌀밥/깍두기","오징어뭇국
너비아니마늘종볶음(계육
돈육:국내산)
계란장조림
된장깻잎지무침
쌀밥/배추김치","고기산적조림(돈육
계육:국내산)
배추된장국
새송이버섯볶음
미역초무침
쌀밥/깍두기","쇠고기뭇국(우육:호주산)
햄양배추볶음
실곤약겨자무침
도토리묵무침
쌀밥/배추김치"
707Kcal,821Kcal,803Kcal,771Kcal,769Kcal,885Kcal,816Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","감자샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
계란장조림
얼갈이겉절이
씨리얼/우유/과일","에그샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵채소볶음
솎음배추겉절이
씨리얼/우유/과일","너비아니샌드위치(계육
돈육:국내산)
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","채소죽
스크램블에그
깍두기
씨리얼/우유/과일"
652Kcal,601Kcal,569Kcal,599Kcal,670Kcal,698Kcal,621Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
