■생활관식당(블루미르308관)
2016년 05월 09일 ~ 2016년 05월 15일
주간식단표
구분,월요일(05/09),화요일(05/10),수요일(05/11),목요일(05/12),금요일(05/13),토요일(05/14),일요일(05/15)
조식,한식,"쇠고기미역국(우육:호주산)
우엉조림
치커리들깨소스무침
새우완자전*케찹
쌀밥/깍두기","얼큰한수제비국
미트볼조림(돈육:국내산)
계란찜
콩나물무침
쌀밥/배추김치","북엇국
유채나물
스크램블에그
두부찜
참치김치볶음
쌀밥","꼬마돈가스케찹조림(돈육
계육:국내산)
배추된장국
계란장조림
애호박볶음
쌀밥/깍두기","해물완자전*케찹
콩나물국
청포묵무침
새송이버섯볶음
쌀밥/배추김치","순두부맑은국
잡채어묵조림
멸치건파래볶음
콩나물무침
쌀밥/배추김치","햄모둠찌개
브로콜리숙회
계란찜
어묵마늘종볶음
쌀밥/깍두기"
799Kcal,899Kcal,788Kcal,794Kcal,776Kcal,714Kcal,815Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","채소죽
사각어묵채소볶음
솎음배추겉절이
씨리얼/우유/과일","샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵채소볶음
열무생채
씨리얼/우유/과일","단호박치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","버섯누릉지죽
계란장조림
얼갈이겉절이
씨리얼/우유/과일"
718Kcal,635Kcal,641Kcal,638Kcal,543Kcal,695Kcal,578Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"돈육칼국수(돈육:미국산)
물만두찜
채소양념밥
얼갈이겉절이","김치순두부찌개
햄마늘종볶음
부추전
도토리묵무침
쌀밥/깍두기","고등어무조림(고등어:국내산)
미역국
마카로니샐러드
김구이
쌀밥/배추김치","닭고기채소볶음(계육:브라질)
다시마뭇국
옥수수게맛살전
상추깻잎겉절이
쌀밥/배추김치","참치채소비빔밥
유부장국
생선가스(중국산)
배추김치","닭고기감자매운찌개(계육:브라질)
두부계란전
숙주미나리나물
콘샐러드
쌀밥/배추김치","설렁탕*소면사리(우육
우사골엑기스:호주산)
두부조림
오이생채
마늘종지무침
쌀밥/깍두기"
684Kcal,788Kcal,756Kcal,833Kcal,953Kcal,791Kcal,868Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"잡채덮밥*자장소스
계란팟국
딤섬
단무지","열무냉메밀국수
타꼬야키
김가루양념밥
단무지","햄김치볶음밥
미역국
계란후라이
채소크로켓
단무지","돈가스김치덮밥(돈육:국내산)
다시마뭇국
양배추샐러드
단무지","치킨카레라이스(계육:브라질)
유부장국
버섯탕수
배추김치","햄채소계란볶음밥
팽이버섯장국
핫도그*케찹
오복지무침","참치마요덮밥
유부장국
미니핫도그
단무지"
897Kcal,725Kcal,933Kcal,865Kcal,979Kcal,776Kcal,963Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"부대찌개*라면사리
옥수수전
미역줄기볶음
쌀밥/깍두기","[뚝]김치날치알밥
우동국
누릉지샐러드
단무지
후식","*특급메뉴이벤트*제육쫄면
(돈육:미국산)
군만두튀김
단무지","[뚝]비빔밥
다시마뭇국
계란후라이
연두부찜*양념장
배추김치","[뚝]돼지고기김치찌개(돈육:미국산)
계란말이
연근조림
쌀밥*김가루
깍두기",,
788Kcal,770Kcal,987Kcal,783Kcal,799Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"나물된장비빔밥
미소장국
계란후라이
감자떡조림
배추김치","닭고기두반장볶음(계육:브라질)
시금치된장국
쑥갓두부무침
깻잎지무침
쌀밥/배추김치","김치찌개
고기산적조림(돈육
계육:국내산)
파스타햄케찹볶음
참나물무침
쌀밥/깍두기","사골떡만둣국(우사골엑기스:호주산)
부추전
게맛살냉채
무짠지
쌀밥/배추김치","닭개장(계육:국내산)
알찬소시지전
고추지무침
실곤약겨자무침
쌀밥/깍두기","꽁치구이*와사비장
근대된장국
허브생채
팽이버섯채소볶음
쌀밥/깍두기","사골우거지탈(우사골엑기스:호주산)
부추생채
장떡
된장고추지무침
쌀밥/깍두기"
908Kcal,787Kcal,841Kcal,889Kcal,835Kcal,762Kcal,806Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"가츠돈(돈가스덮밥)(돈육:국내산)
미소장국
양배추샐러드
배추김치","스팸마요덮밥
시금치된장국
단호박조림
배추김치","볶음우동
계란팟국
채소춘권
단무지","마파두부덮밥
계란팟국
탕수육(돈육:국내산)
단무지","양지쌀국수(우육:호주산)
양파초절임
사모사튀김
단무지","토마토소스스파게티
클링클컷감자튀김
오이피클
탄산","냉김치말이국수
군만두튀김
김가루양념밥
단무지"
954Kcal,833Kcal,916Kcal,991Kcal,689Kcal,905Kcal,937Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
