■생활관식당(블루미르308관)
2016년 05월 16일 ~ 2016년 05월 22일
주간식단표
구분,월요일(05/16),화요일(05/17),수요일(05/18),목요일(05/19),금요일(05/20),토요일(05/21),일요일(05/22)
조식,한식,"사골만둣국(우사골엑기스:호주산)
치커리생채
계란찜
콩나물무침
쌀밥/깍두기","너비아니엿장조림
(돈육
계육:국내산)
사각어묵매운국
부추스크램블에그
된장고추지
쌀밥/배추김치","쇠고기뭇국(우육:호주산)
멸치견과류볶음
게맛살겨자냉채
청경채겉절이
쌀밥/배추김치","미트볼조림(돈육:국내산)
조랭이떡미역국
단호박조림
마늘종명엽채볶음
쌀밥/배추김치","순두부맑은국
마늘종햄볶음
계란장조림
생깻잎절임
쌀밥/깍두기","후랑크소시지채소볶음
맛느타리버섯맑은국
채소잡채
스크램블에그
쌀밥/깍두기","두부조림
사각어묵국
치킨너겟*머스타드(계육:국내산)
팽이버섯양파볶음
쌀밥/배추김치"
771Kcal,801Kcal,761Kcal,881Kcal,889Kcal,811Kcal,799Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"고구마샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","채소누룽지죽
사각어묵채소볶음
얼갈이겉절이
씨리얼/우유/과일","핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
메추리알장조림
솎음배추겉절이
씨리얼/우유/과일","식빵토스트*딸기잼
데친후랑크소시지
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
651Kcal,599Kcal,619Kcal,591Kcal,577Kcal,633Kcal,632Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"김치찌개
마늘종볶음
두부계란전*양념간장
청포묵무침
쌀밥/깍두기","자반고등어구이(고등어:국내산)
일식장국
실곤약들깨무침
미역줄기볶음
쌀밥/배추김치","참치김치볶음*두부찜
호박새우젓국
꼬마돈가스조림(돈육
계육:국내산)
숙주나물무침
쌀밥","전주식콩나물국밥
김구이*양념간장
계란찜
부추생채
쌀밥/배추김치","꽁치구이*와사비장
배추된장국
매운주키니호박볶음
알감자조림
쌀밥/깍두기","우거지해장국(우사골엑기스:호주산)
청포묵김가루무침
고기산적조림(돈육
계육:국내산)
미역초무침
쌀밥/깍두기","단호박영양밥
청고추된장찌개
사각어묵볶음
김치전
시금치나물
깍두기"
791Kcal,799Kcal,911Kcal,811Kcal,791Kcal,879Kcal,781Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"자장덮밥
짬뽕국
탕수육(돈육:국내산)
깍두기","미트볼마요덮밥(돈육:국내산)
일식장국
떡강정
배추김치","닭갈비볶음밥(계육:브라질)
팽이버섯장국
두부탕수
단무지
후식","냉김치말이국수
고구마맛탕
김가루양념밥
단무지","토마토펜네파스타
그린채소샐러드
콩도너츠
오이피클
음료","김치볶음밥
미소장국
계란후라이
생선가스(중국산)
단무지","볶음우동
미소장국
타코야끼
단무지"
822Kcal,886Kcal,869Kcal,911Kcal,887Kcal,901Kcal,915Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]날치알밥
미역국
연두부찜
열무생채","[뚝]부대찌개*라면사리
주키니호박전
새송이버섯볶음
쌀밥/깍두기","[뚝]밀양돼지국밥(우사골엑기스:호주산
돈육:미국산)
도토리묵무침
부추생채
쌀밥/깍두기","[뚝]비빔밥
미역장국
계란후라이
누룽지샐러드
배추김치","[뚝]돼지고기김치찌개(돈육:미국산)
계란말이
참나물무침
쌀밥/깍두기",,
