■생활관식당(블루미르308관)
2016년 05월 23일 ~ 2016년 05월 29일
주간식단표
구분,월요일(05/23),화요일(05/24),수요일(05/25),목요일(05/26),금요일(05/27),토요일(05/28),일요일(05/29)
조식,한식,"고등어조림(고등어:국내산)
시금치된장국
마늘종볶음
오이지무침
\쌀밥/배추김치","참치채소볶음
계란팟국
연근조림
도시락김
쌀밥/깍두기","청고추된장찌개
옛날소시지전*케찹
단호박아몬드조림
상추겉절이
쌀밥/배추김치","순두부맑은국
꼬마돈가스조림(돈육
계육:국내산)
치커리들깨소스무침
건새우마늘종볶음
쌀밥/배추김치","매운쇠고기뭇국(우육:호주산)
완자조림(계육
돈육:국내산)
미역줄기볶음
콩나물무침
쌀밥/배추김치","비엔나소시지케찹볶음
매운버섯국
알감자조림
숙주오이나물
쌀밥/배추김치","햄모둠찌개
브로콜리계란찜
마늘종고추장볶음
게맛살겨자냉채
쌀밥/깍두기"
738Kcal,711Kcal,834Kcal,787Kcal,722Kcal,786Kcal,780Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"견과류핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵채소볶음
솎음배추겉절이
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
계란장조림
열무생채
씨리얼/우유/과일","피자토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","버섯채소죽
사각어묵채소볶음
얼갈이겉절이
씨리얼/우유/과일"
671Kcal,553Kcal,711Kcal,547Kcal,711Kcal,697Kcal,519Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"된장나물비빔밥
일식장국
계란후라이
고구마맛탕
배추김치","콩나물밥*양념간장
무청된장국
호박사각어묵볶음
게맛살계란찜
배추김치
후식","냉김치말이국수
손만두찜
김가루양념밥
얼갈이겉절이","닭칼국수(계육:국내산)
두부탕수
김가루양념밥
솎음배추겉절이","북엇국
떡갈비조림(돈육:국내산)
호박버섯볶음
깻잎지절임
쌀밥/배추김치","닭곰탕*소면사리(계육:국내산)
배추장떡
된장고추지
누릉지샐러드
쌀밥/깍두기","*추억의도시락*사각어묵마늘종볶음
계란후라이
옛날소시지전
쌀밥*김가루
볶음김치
유부장국/단무지"
821Kcal,799Kcal,718Kcal,781Kcal,915Kcal,807Kcal,953Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"탄탄짬뽕(돈육:국내산)
채소춘권
짜사이채무침","닭갈비볶음밥(계육:브라질)
우동국
두부오징어가스
단무지","고추잡채덮밥
유부장국
해물딤섬
단무지","자장덮밥
짬뽕국
탕수육(돈육:국내산)
오이생채","햄채소볶음밥
우동국
계란후라이
야채고로케*케찹
단무지","샐러드돈가스(돈육:국내산)
크림스프
고구마샐러드
오이피클","스팸마요덮밥
유부장국
양배추샐러드
배추김치"
883Kcal,891Kcal,768Kcal,920Kcal,827Kcal,879Kcal,817Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]부대찌개*라면사리
게맛살계란볶음
브로콜리숙회*초장
쌀밥/깍두기","[뚝]밀양돼지국밥(돈육:미국산
우사골엑기스:호주산)
김치전
상추부추겉절이
쌀밥/깍두기","[뚝]비빔밥
유부장국
연두부찜*양념간장
계란후라이
배추김치","[뚝]돼지고기김치찌개(돈육:미국산)
계란찜
명엽채볶음
쌀밥*김가루
깍두기","[뚝]김치날치알밥
우동국
누릉지샐러드
오복지무침",,
917Kcal,915Kcal,838Kcal,796Kcal,712Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"설렁탕*소면사리(우육
우사골엑기스:호주산)
새송이버섯볶음
부추생채
고추지무침
쌀밥/깍두기","쇠고기미역국(우육:호주산)
두부조림
채소잡채
콩나물겨자냉채
쌀밥/배추김치","육개장(우육:호주산)
옥수수전
치커리생채
도토리묵무침
쌀밥/배추김치","부추닭고기고추장볶음(계육:브라질)
얼갈이된장국
김구이*양념간장
콩나물무침
쌀밥/깍두기","두부찜*볶음김치
만둣국
연근조림
스크램블에그
쌀밥","청어조림
김칫국
청포묵김가루무침
쑥갓오이겉절이
쌀밥/깍두기","김치순두부찌개
너비아니엿장조림(돈육
계육:국내산)
건파래볶음
오이지무침
쌀밥/깍두기"
781Kcal,799Kcal,769Kcal,737Kcal,839Kcal,793Kcal,799Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"가츠돈(돈가스덮밥)(돈육:국내산)
미소장국
양배추샐러드
단무지","토마토소스스파게티
클링클컷감자튀김
오이피클
탄산","오므라이스*미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
콩나물국
오이피클","함박스테이크(계육
돈육:국내산)
클링클컷감자튀김
채소볶음밥
오이피클","버섯크림소스스파게티
마늘토스트
오이피클
탄산","열무냉모밀국수
만두강정
우엉양념밥
단무지","치킨카레라이스(계육:브라질)
버섯탕수
배추김치"
911Kcal,905Kcal,881Kcal,799Kcal,859Kcal,920Kcal,811Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
