■생활관식당(블루미르308관)
2016년 05월 02일 ~ 2016년 05월 08일
주간식단표
구분,월요일(05/02),화요일(05/03),수요일(05/04),목요일(05/05),금요일(05/06),토요일(05/07),일요일(05/08)
조식,한식,"육개장(우육:호주산)
참나물겉절이
미역초무침
알찬소시지전*케찹
쌀밥/깍두기","오징어뭇국
부추잡채
계란찜
콩나물무침
쌀밥/배추김치","손만둣국
명엽채볶음
치커리들깨소스무침
생깻잎절임
쌀밥/배추김치","완자조림(계육
돈육:국내산)
배추된장국
두부조림
열무생채
쌀밥/깍두기","너비아니마늘종볶음(돈육
계육:국내산)
호박새우젓국
쑥갓두부무침
건파래볶음
쌀밥/배추김치","소시지케찹볶음
조랭이떡국
두부찜*양념간장
콩나물무침
쌀밥/배추김치","쇠고기뭇국
(우육:호주산)
멸치견과류볶음
게맛살겨자냉채
청경채겉절이
쌀밥/배추김치"
766Kcal,861Kcal,784Kcal,784Kcal,794Kcal,907Kcal,780Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","식빵토스트*딸기잼
데친후랑크소시지
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","채소죽
사각어묵채소볶음
얼갈이겉절이
씨리얼/우유/과일","단호박치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","견과류핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
계란장조림
솎음배추겉절이
씨리얼/우유/과일"
689Kcal,618Kcal,577Kcal,676Kcal,689Kcal,601Kcal,568Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"어묵잔치국수
오이지무침
물만두찜*양념간장
배추김치","김치찌개
도토리묵*양념간장
미트볼조림(돈육:국내산)
된장마늘종지무침
쌀밥/깍두기","떡갈비조림(돈육:국내산)
매운뭇국
두부계란전*양념간장
미역양파무침
쌀밥/배추김치","설렁탕*소면사리(우육
우사골엑기스:호주산)
깻잎순겉절이
장떡
숙주미나리나물
쌀밥/깍두기","참치채소비빔밥
뭇국
채소크로켓*케찹
마카로니샐러드
배추김치","닭고기채소불고기
(계육:브라질)
열무된장국
김구이
콩나물무침
쌀밥/배추김치","닭곰탕*소면사리(계육:국내산)
옥수수전
도토리묵무침
쌀밥/깍두기"
899Kcal,835Kcal,783Kcal,793Kcal,941Kcal,767Kcal,889Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"김치볶음밥
미소장국
핫도그*케찹
양배추콘샐러드
단무지","탄탄짬뽕(돈육:미국산)
군만두튀김
짜사이채무침","오므라이스*왕꼬치구이(돈육
계육:국내산)
매운뭇국
양배추샐러드
단무지","매운자장덮밥*중화면사리
계란팟국
군만두튀김
단무지","파인애플후랑크볶음밥
뭇국
계란후라이
해초샐러드
배추김치","미트볼마요덮밥
(돈육:국내산)
열무된장국
단호박조림
배추김치","매콤고추참치덮밥
뭇국
누룽지샐러드
오복지무침"
893Kcal,728Kcal,870Kcal,860Kcal,951Kcal,924Kcal,975Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]비빔밥
미소장국
계란후라이
고구마맛탕
배추김치","[뚝]날치알밥
일식장국
연두부찜*양념간장
깍두기","[뚝]돼지고기김치찌개(돈육:미국산)
계란말이
미역줄기볶음
쌀밥*김가루
깍두기",,,,
992Kcal,825Kcal,930Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :, :~ :
"     3,200원","     3,200원","     3,200원",         0원,         0원,         0원,         0원
석식,한식,"두부고추장찌개
꼬마돈가스케찹조림(돈육
계육:국내산)
시금치나물
된장고추지무침
쌀밥/깍두기","닭고기춘장볶음(계육:브라질)
매운콩나물국
김구이
오복지무침
쌀밥/배추김치","오징어돼지고기볶음(돈육:미국산)
콩나물국
주키니호박볶음
미역오이초무침
쌀밥/배추김치","냉김치말이국수
만두튀김
김가루양념밥
열무생채","호박된장찌개
콩나물밥*양념장
계란장조림
시금치나물
배추김치","꽁치김치조림
순두붓국
게맛살채소볶음
무들깨나물
쌀밥/깍두기","햄모둠찌개
스크램블에그
마늘종고추장무침
구이김*양념간장
쌀밥/깍두기"
872Kcal,733Kcal,750Kcal,930Kcal,777Kcal,779Kcal,752Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
