■생활관식당(블루미르308관)
2016년 06월 06일 ~ 2016년 06월 12일
주간식단표
구분,월요일(06/06),화요일(06/07),수요일(06/08),목요일(06/09),금요일(06/10),토요일(06/11),일요일(06/12)
조식,한식,"꽁치구이*와사비장
사각어묵국
햄양배추볶음
된장깻잎지
쌀밥/깍두기","고기산적조림(돈육
계육:국내산)
수제비국
숙주나물무침
연근조림
쌀밥/배추김치","오징어찌개
계란장조림
새송이버섯볶음
채소잡채
쌀밥/배추김치","북엇국
떡갈비조림(돈육:국내산)
호박버섯볶음
미역초고추장무침
쌀밥/배추김치","육개장(우육:호주산)
알찬소시지전
부추생채
사각어묵볶음
쌀밥/배추김치","쇠고기뭇국(우육:호주산)
비엔나소시지케찹볶음
멸치견과류조림
깻잎절임
쌀밥/배추김치","고기산적조림(돈육
계육:국내산)
미역국
청포묵김가루무침
느타리버섯마늘종볶음
쌀밥/배추김치"
716Kcal,901Kcal,748Kcal,891Kcal,749Kcal,759Kcal,754Kcal
08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"견과류핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치채소죽
메추리알떡조림
솎음배추겉절이
씨리얼/우유/과일","샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","길거리토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵채소볶음
열무생채
씨리얼/우유/과일","피자토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
684Kcal,653Kcal,675Kcal,786Kcal,432Kcal,771Kcal,614Kcal
08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"김치찌개
스크램블에그
떡잡채
오이생채
쌀밥/깍두기","육개장(우육:호주산)
사각어묵볶음
알찬소시지전*케찹
부추생채
쌀밥/배추김치","콩국수
물만두찜*간장
유부양념밥
열무생채","설렁탕*소면사리(우육
우사골엑기스:호주산)
도토리묵무침
호박볶음
모둠채소전
쌀밥/깍두기","닭고기춘장볶음(계육:브라질)
콩나물국
상추겉절이
돌자반볶음
쌀밥/배추김치","피자토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","청고추된장찌개
콩나물밥*양념간장
미트볼조림(돈육:국내산)
게맛살계란찜
상추겉절이
깍두기"
922Kcal,759Kcal,981Kcal,815Kcal,769Kcal,774Kcal,874Kcal
11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
