■생활관식당(블루미르308관)
2016년 06월 13일 ~ 2016년 06월 19일
주간식단표
구분,월요일(06/13),화요일(06/14),수요일(06/15),목요일(06/16),금요일(06/17),토요일(06/18),일요일(06/19)
조식,한식,"순두부국
새우완자전
파래김구이*양념장
고추지무침
쌀밥/배추김치","아욱된장국
숯불바베큐바조림(돈육
계육:국내산)
청포묵*양념장
미역줄기볶음
쌀밥/배추김치","꼬마돈까스케첩조림(돈육
계육:국내산)
북어채국
매운호박볶음
쫑상추겉절이
쌀밥/깍두기","매운쑥갓어묵국
비엔나케찹조림
건파래자반
콩나물무침
쌀밥/배추김치","콩나물해장국
두부양념조림
명엽채볶음
돌나물*초장
쌀밥/깍두기","북어국
잡채어묵조림
계란장조림
오복지무침
쌀밥/깍두기","물만두국
햄전*케찹
무나물
쑥갓겉절이
쌀밥/배추김치"
634Kcal,586Kcal,732Kcal,782Kcal,683Kcal,674Kcal,755Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:30~09:00,07:30~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
메추리알장조림
무말랭이무침
씨리얼/우유/과일","토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","단호박샌드위치
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클","핫케이크
양배추샐러드
크림스프
오이피클
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","모닝빵*딸기잼
크림스프
후랑크채소볶음
양배추샐러드
오이피클
씨리얼/우유/과일"
795Kcal,643Kcal,546Kcal,529Kcal,570Kcal,535Kcal,621Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:30~09:00,07:30~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"콩나물불고기(돈육:미국산)
근대된장국
연두부*양념장
해초샐러드
쌀밥/깍두기","춘천닭갈비(계육:브라질산)
콩나물국
단호박전
치커리무침
쌀밥/배추김치","호박된장찌개
고기산적조림(돈육
계육:국내산)
게맛살팽이버섯볶음
명엽채볶음
쌀밥/배추김치","고등어구이&와사비장(고등어:국내산)
열무된장국
도시락김
무생채
쌀밥/배추김치","돼지고기김치볶음(돈육:미국산)
오이냉국
우엉채조림
도토리묵야채무침
쌀밥/깍두기","햄모둠찌개
게맛살겨자냉채
호박채전
시래기된장조림
쌀밥/깍두기","취나물밥*양념장
얼갈이국
너비아니구이(돈육
계육:국내산)
알감자조림
시금치겉절이
배추김치"
690Kcal,784Kcal,966Kcal,723Kcal,708Kcal,710Kcal,850Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:00~13:00,11:00~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"냉김치말이국수
후리가케양념밥
왕꼬치튀김(돈육
계육:국내산)
단무지","가츠동(돈가스덮밥)(돈육:국내산)
팽이버섯국
양파초절임
배추김치","김치볶음밥
두부오징어가스*타르S
맑은우동국물
양배추콘샐러드
단무지","장조림버터밥(돈육:미국산)
다시마무국
푸실리샐러드
배추김치","미트볼마요덮밥(돈육
계육:국내산)
일식장국
떡강정
단무지","볶음우동
타코야끼
단무지
음료","소세지마파두부덮밥
계란파국
채소크로켓*케찹
단무지"
785Kcal,885Kcal,879Kcal,907Kcal,844Kcal,675Kcal,813Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:00~13:00,11:00~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
