■생활관식당(블루미르308관)
2016년 06월 20일 ~ 2016년 06월 26일
주간식단표
구분,월요일(06/20),화요일(06/21),수요일(06/22),목요일(06/23),금요일(06/24),토요일(06/25),일요일(06/26)
조식,한식,"미트볼야채조림(돈육:국내산)
수제비국
계란찜
양파톳무침
쌀밥/배추김치","해물동그랑땡
호박된장국
도토리묵*양념장
미역양파초고추장무침
쌀밥/배추김치","오징어무국
스크램블에그
부추잡채
된장고추지무침
쌀밥/깍두기","김치국
메추리알장조림
버섯탕수
오이생채
쌀밥/얼갈이겉절이","고기산적조림(돈육:국내산)
배추국
멸치견과류볶음
무생채
쌀밥/배추김치","사골우거지탕(우육:호주산)
스크램블에그
명엽채볶음
쑥갓겉절이
쌀밥/깍두기","치킨너겟(계육:국내산)
어묵국
깻잎지절임
파래자반
쌀밥/배추김치"
899Kcal,618Kcal,786Kcal,562Kcal,755Kcal,691Kcal,613Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"시나몬토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/오렌지","견과류핫케이크
크림스프
양배추샐러드
오이피클
씨리얼/우유/사과","채소죽
어묵볶음
얼갈이겉절이
씨리얼/우유/바나나","참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","콩도너츠
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
636Kcal,657Kcal,616Kcal,591Kcal,750Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"단호박닭찜(계육:브라질산)
미역국
스피랄리볶음
무생채
쌀밥/배추김치","참치김치찌개
꼬마돈까스튀김(돈육
계육:국내산)
파래김구이*양념장
콩나물무침
쌀밥/깍두기","매운떡갈비조림(돈육:국내산)
순두부국
느타리미역줄기볶음
김치전
쌀밥/깍두기","설렁탕*소면사리(우육
우사골
농축액:호주산)
게맛살채소볶음
청포묵김가루무침
부추생채
쌀밥/깍두기","닭개장(계육:국내산)
부추전
마늘쫑어묵볶음
다시마숙회
쌀밥/깍두기",,"경상도고깃국(우육:호주산)
두부구이*양념장
얼갈이나물
고추지무침
쌀밥/깍두기"
763Kcal,770Kcal,917Kcal,761Kcal,879Kcal,0Kcal,587Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
