■생활관식당(블루미르308관)
2016년 05월 30일 ~ 2016년 06월 05일
주간식단표
구분,월요일(05/30),화요일(05/31),수요일(06/01),목요일(06/02),금요일(06/03),토요일(06/04),일요일(06/05)
조식,한식,"황태해장국
너비아니마늘종볶음(돈육
계육:국내산)
생깻잎절임
도토리묵*양념장
쌀밥/배추김치","감자청국장찌개
호박볶음
채소잡채
계란찜
쌀밥/배추김치","순두부맑은국
잡채어묵조림
청포묵김가루무침
햄구이*케찹
쌀밥/배추김치","떡갈비조림(돈육:국내산)
얼갈이된장국
명엽채고추장무침
느타리애호박볶음
쌀밥/깍두기","닭곰탕*소면사리(계육:국내산)
새송이버섯볶음
미역줄기볶음
고추지무침
쌀밥/깍두기","김치순두부찌개
올방개묵무침
건파래볶음
계란장조림
쌀밥/깍두기","치킨너겟*허니머스터드(계육:국내산)
건새우뭇국
마늘종멸치볶음
김구이*양념간장
쌀밥/배추김치"
657Kcal,796Kcal,765Kcal,816Kcal,717Kcal,749Kcal,711Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","버섯채소죽
계란장조림
얼갈이겉절이
씨리얼/우유/과일","계란토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","식빵토스트*데친후랑크소시지
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","채소죽
메추리알장조림
솎음배추겉절이
씨리얼/우유/과일","마늘토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
628Kcal,632Kcal,638Kcal,620Kcal,620Kcal,687Kcal,611Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"참치채소비빔밥
우동국
채소크로켓*케찹
마카로니샐러드
배추김치","사골만둣국(우사골엑기스:호주산)
쑥갓두부무침
장떡
열무나물
쌀밥/깍두기","닭개장(계육:국내산)
알찬소시지전*케찹
알감자조림
돌나물생채
쌀밥/배추김치","돈육칼국수(돈육:미국산)
물만두찜
김가루양념밥
솎음배추겉절이","사골우거지탕(우사골엑기스:호주산)
두부조림
어묵전*겨자장
부추생채
쌀밥/깍두기","냉김치말이국수
고구마맛탕
김가루양념밥
열무생채
후식","닭갈비(계육:브라질)
콩나물국
무생채
마카로니샐러드
쌀밥/배추김치"
987Kcal,917Kcal,817Kcal,800Kcal,792Kcal,910Kcal,871Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈가스김치덮밥(돈육:국내산)
우동국
양배추샐러드
단무지
후식","매콤고추참치덮밥
유부장국
버섯탕수
단무지","양지쌀국수(우육:호주산)
채소춘권
단무지","치킨마요덮밥(계육:국내산)
일식장국
단호박구이
단무지","미트볼토마토펜네파스타(돈육:국내산)
마늘토스트
오이피클
음료","햄채소볶음밥
유부장국
핫도그*케찹
배추김치
후식","함박스테이크(계육
돈육:국내산)
크림스프
클링클컷감자튀김
채소볶음밥
오이피클"
911Kcal,839Kcal,699Kcal,824Kcal,771Kcal,709Kcal,820Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]부대찌개*라면사리
옥수수전
미역줄기볶음
쌀밥/깍두기","[뚝]김치날치알밥
유부장국
두부탕수
열무생채","[뚝]비빔밥
미역장국
계란후라이
파스타햄케찹볶음
배추김치","[뚝]밀양돼지국밥
(돈육:미국산)
부추생채
사각어묵채소볶음
쌀밥/깍두기","[뚝]돈육김치찌개(돈육:미국산)
브로콜리계란볶음
쥐어채고추장볶음
쌀밥/깍두기",,
866Kcal,712Kcal,838Kcal,915Kcal,796Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"자반고등어구이(고등어:국내산)
열무된장국
두부조림
시금치나물
쌀밥/깍두기","오삼불고기(돈육:독일산)
일식장국
미역줄기볶음
무생채
쌀밥/배추김치","햄모둠찌개
너비아니엿장조림
(돈육
계육:국내산)
미역초무침
열무나물
쌀밥/깍두기","돈육떡볶음(돈육:미국산)
뭇국
스크램블에그
오이지무침
쌀밥/배추김치","콩나물밥*양념장
배추된장국
꽁치구이*와사비장
계란찜
미역초무침
깍두기","강된장찌개
채소잡채
꼬마돈가스케찹조림(돈육
계육:국내산)
생깻잎절임
쌀밥/배추김치","설렁탕*소면사리(우육
우사골엑기스:호주산)
게맛살채소볶음
콩나물겨자냉채
쑥갓두부무침
쌀밥/깍두기"
995Kcal,716Kcal,730Kcal,830Kcal,771Kcal,910Kcal,856Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"스팸마요덮밥
열무된장국
단호박조림
단무지","볶음우동
일식장국
채소춘권
단무지","치킨카레라이스(계육:브라질)
유부장국
비빔채소만두
배추김치","냉우동
누룽지샐러드
김가루양념밥
단무지
후식","고추잡채덮밥*꽃빵
계란팟국
버섯탕수
짜사이채무침","샐러드돈가스(돈육:국내산)
크림스프
지마구
쌀밥/단무지","김치볶음밥*계란후라이
미역국
소시지구이
단무지"
861Kcal,917Kcal,819Kcal,751Kcal,923Kcal,733Kcal,761Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
