■생활관식당(블루미르308관)
2016년 07월 04일 ~ 2016년 07월 10일
주간식단표
구분,월요일(07/04),화요일(07/05),수요일(07/06),목요일(07/07),금요일(07/08),토요일(07/09),일요일(07/10)
조식,한식,"쇠고기대파해장국(우육:호주산)
스크램블에그
어묵야채볶음
열무된장나물
쌀밥/깍두기","얼큰수제비국
매운떡갈비조림(돈육:국내산)
주키니호박볶음
얼갈이겉절이
쌀밥/배추김치","시금치된장국
두부찜*양념장
참치김치볶음
브로컬리야채볶음
쌀밥/무나물","닭곰탕(계육:국내산)
김치전
느타리버섯볶음
마늘쫑지무침
쌀밥/깍두기","어묵매운탕
계란장조림
마늘쫑멸치볶음
다시마쌈*초장
쌀밥/배추김치","고기산적조림(돈육:국내산)
근대된장국
건파래볶음
고들빼기절임
쌀밥/배추김치","두부고추장찌개
새우완자전
단배추나물
명엽채볶음
쌀밥/깍두기"
674Kcal,759Kcal,650Kcal,730Kcal,720Kcal,750Kcal,705Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","브로컬리새우죽
메추리알장조림
얼갈이겉절이
씨리얼/우유/과일","길거리토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","꽈배기
후랑크볶음
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
706Kcal,620Kcal,630Kcal,640Kcal,710Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"고등어무조림(고등어:국내산)
미역장국
메밀배추전*간장
부추적채겉절이
쌀밥/깍두기","오징어콩나물볶음
다시마무국
파래김*양념장
마카로니샐러드
쌀밥/배추김치","콩국수
부추전
도토리묵야채무침
배추겉절이(배추:국내산
고추가루:중국산)","순두부찌개
햄전*케찹
새송이굴소스볶음
쫑상추겉절이
쌀밥/깍두기","열무보리비빔밥
미역냉국
계란후라이
만두탕수
배추김치",,"돈육야채떡볶음(돈육:미국산)
콩나물국
무생채
도시락김
쌀밥/배추김치"
