■생활관식당(블루미르308관)
2016년 07월 11일 ~ 2016년 07월 17일
주간식단표
구분,월요일(07/11),화요일(07/12),수요일(07/13),목요일(07/14),금요일(07/15),토요일(07/16),일요일(07/17)
조식,한식,"얼큰호박고추장찌개
미트볼조림(돈육:국내산)
완두콩계란찜
솎음배추겉절이
쌀밥/깍두기","북어해장국
꼬마돈까스튀김(돈육
계육:국내산)
사각어묵볶음
무말랭이무침
쌀밥/배추김치","햄모듬찌개
스크램블에그
우엉조림
오이지무침
쌀밥/깍두기","오징어무국
소시지야채볶음
느타리버섯볶음
파래김구이*양념장
쌀밥/배추김치","메추리알곤약장조림
김치국
양배추햄볶음
마늘장아찌
쌀밥/깍두기","순두부찌개
햄전
단호박조림
콩자반
쌀밥/깍두기","수제비국
파인애플완자조림(계육
돈육:국내산)
파래자반
쑥갓겉절이
쌀밥/배추김치"
790Kcal,750Kcal,700Kcal,660Kcal,565Kcal,740Kcal,720Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"핫케익
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","버섯채소죽
계란장조림
씨리얼/우유/과일
배추김치","모닝빵*딸기잼
스크램블에그
크림스프
오이피클
씨리얼/우유/과일","단호박죽
새송이조림
얼갈이겉절이
씨리얼/우유/과일","시나몬토스트
데친후랑크소시지
옥수수스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
650Kcal,580Kcal,630Kcal,500Kcal,670Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"돈육당면볶음(돈육:미국산)
배추국
미역줄기볶음
열무생채
쌀밥/배추김치","나물된장비빔밥
오이냉국
계란후라이
마카로니샐러드
배추김치","닭개장(계육:국내산)
잡채
알감자조림
고추지
쌀밥/깍두기","너비아니엿장조림(돈육
계육:국내산)
두부고추장찌개
버섯탕수
콩나물무침
쌀밥/배추김치","떡만두국
완자전(계육
돈육:국내산)
도토리묵*양념장
해초채소무침
쌀밥/배추김치",,"누룽지닭죽(계육:국내산)
미트볼조랭이조림(돈육:국내산)
어묵탕수
무말랭이무침
쌀밥(소)/배추김치"
760Kcal,794Kcal,778Kcal,760Kcal,815Kcal,0Kcal,740Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
양식,"김치볶음밥
계란후라이
얼큰콩나물국
핫도그*케찹
단무지","冷김치말이국수
김가루양념밥
손만두찜
단무지","돈까스마요덮밥(돈육:국내산)
유부장국
양배추샐러드
오이피클","햄김치덮밥
유부장국
계란후라이
삼색겨자냉채
오복지무침","오야꼬동(계육:브라질산)
팽이버섯장국
양배추콘샐러드
단무지","오므라이스*소시지구이
일식장국
양배추샐러드
오이피클",
730Kcal,820Kcal,815Kcal,705Kcal,720Kcal,765Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
특식,특식,"야채쫄면
오복지양념밥
어묵국
군만두튀김
단무지","뚝배기불고기(돈육:미국산)
오이냉국
양배추쌈*쌈장
무생채
쌀밥/배추김치","*3분김치찌개*
(뚝)돈육김치찌개
(돈육:미국산)
계란말이
부추생채
쌀밥*김가루/깍두기","(뚝)부대찌개*라면사리
만두튀김
오이생채무침
쌀밥/깍두기","(뚝)돌솥비빔밥
계란후라이
미역장국
누룽지샐러드
배추김치",,
780Kcal,750Kcal,705Kcal,810Kcal,758Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     2,800원",         0원,         0원
석식,한식,"쇠고기무국(우육:호주산)
떡갈비조림(돈육:국내산)
건파래볶음
깻잎지
쌀밥/깍두기","비엔나소시지볶음
조랭이미역국
계란찜
치커리들깨소스무침
쌀밥/배추김치","콩나물밥*양념장
생선까스(중국산)
유부장국
고추장떡
모듬채소겉절이
배추김치","새싹비빔밥*계란후라이
장국
떡강정
배추김치","고기완자떡조림(돈육
계육:국내산)
감자고추장찌개
매운무조림
참나물겉절이
쌀밥/배추김치","닭고기굴소스볶음(계육:브라질산)
콩가루배추된장국
팽이버섯전
된장고추지
쌀밥/배추김치",
759Kcal,748Kcal,770Kcal,750Kcal,760Kcal,705Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"카레라이스
유부장국
청파래오징어가스
배추김치","매운고추참치덮밥
미역국
수제야채튀김
단무지","자장덮밥
계란파국
물만두찜*간장
단무지","돈코츠라멘(돈육
돈잡뼈:국내산)
단무지/후식","짬뽕덮밥
계란국
가지탕수
단무지",,"제육김치덮밥(돈육:미국산)
유부장국
야채춘권
단무지"
730Kcal,750Kcal,805Kcal,770Kcal,708Kcal,0Kcal,680Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
