■생활관식당(블루미르308관)
2016년 07월 18일 ~ 2016년 07월 24일
주간식단표
구분,월요일(07/18),화요일(07/19),수요일(07/20),목요일(07/21),금요일(07/22),토요일(07/23),일요일(07/24)
조식,한식,"쇠고기뭇국(우육:호주산)
계란장조림
청포묵김가루무침
톳양파무침
쌀밥/김치볶음","고기산적조림(돈육:국내산)
배추국
어묵새송이볶음
무생채
쌀밥/배추김치","쇠고기해장국(우육:호주산)
햄양배추볶음
잔멸치마늘쫑볶음
다시마튀각
쌀밥/깍두기","참치김치찌개
완자조림(돈육
계육:국내산)
미역줄기볶음
숙주나물
쌀밥/깍두기","북어채국
햄구이*케찹
우엉조림
열무생채
쌀밥/배추김치","비엔나가래떡조림
가지볶음
열무된장국
쫑상추겉절이
쌀밥/배추김치","두부조림
김치국
후랑크채소볶음
도시락김
쌀밥/깍두기"
615Kcal,824Kcal,578Kcal,774Kcal,641Kcal,738Kcal,713Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치야채죽
메추리알조림
얼갈이겉절이
씨리얼/우유/과일","콩도너츠*스크램블에그
크림스프
오이피클
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","꽈배기
후랑크볶음
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
650Kcal,620Kcal,670Kcal,650Kcal,710Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"꽁치구이*와사비장
미역국
소면야채무침
시금치나물
쌀밥/배추김치","닭야채떡볶음(계육:브라질산)
오이냉국
주키니호박볶음
파래김구이*양념장
쌀밥/배추김치","꼬마돈까스조림(돈육
계육:국내산)
콩나물국
두부찜*김치볶음
해초무침
쌀밥","사골우거지탕(우육
농축액
우사골:호주산)
옛날소시지전*케찹
알감자조림
오이생채
쌀밥/깍두기","순두부찌개
미트볼조림(돈육:국내산)
부추전
다시마숙회*초장
쌀밥/깍두기",,"만두김치찌개
계란찜
떡잡채
배추나물
쌀밥/무생채"
847Kcal,735Kcal,901Kcal,785Kcal,922Kcal,0Kcal,897Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
양식,"계란볶음밥*자장소스
짬뽕국
만두튀김
단무지","떡갈비마요덮밥(돈육:국내산)
팽이버섯국
단호박맛탕
오이피클","볶음우동
일식장국
사모사*간장
단무지","닭갈비볶음밥(계육:브라질)
맑은우동국물
두부깐풍
단무지","하이라이스*미니함박(우육:호주
뉴질랜드/돈육:국내산)
팽이버섯장국
양배추샐러드
오이피클","돈까스카레덮밥(돈육:국내산)
가다랭이국
양배추샐러드
단무지",
840Kcal,759Kcal,785Kcal,832Kcal,809Kcal,935Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
특식,특식,"(뚝)생선가스김치솥밥(생선가스:중국산)
미역국
마카로니샐러드
배추김치","매콤소시지검보
일식장국
양배추샐러드
오이피클
후식","(뚝)부대찌개*라면사리
계란찜
치커리생채
쌀밥/깍두기","물냉면or비빔냉면
교자만두찜
냉면김치","메밀소바
유부양념밥
옥수수크로켓*케찹
락교&초생강",,
529Kcal,735Kcal,714Kcal,664Kcal,874Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     2,800원",         0원,         0원
