■생활관식당(블루미르308관)
2016년 07월 25일 ~ 2016년 07월 31일
주간식단표
구분,월요일(07/25),화요일(07/26),수요일(07/27),목요일(07/28),금요일(07/29),토요일(07/30),일요일(07/31)
조식,한식,"사골김치찌개*
수제비사리(농축액
우사골:호주산)
검은깨계란찜
느타리채소볶음
참나물겉절이
쌀밥/깍두기","순두부찌개
꽁치구이*와사비장
단호박조림
숙주나물
쌀밥/깍두기","조랭이떡국
바베큐바조림(돈육
계육:국내산)
호박새우젓볶음
고추지
쌀밥/배추김치","북어국
꼬마돈까스간장조림(돈육
계육:국내산)
팽이버섯양파볶음
깻잎지무침
쌀밥/배추김치","닭고기굴소스볶음(계육:브라질산)
김치국
미역줄기볶음
얼갈이겉절이
쌀밥/깍두기","호박고추장찌개
매운떡갈비조림(돈육:국내산)
오이생채
브로컬리*초장
쌀밥/배추김치","돈육불고기(돈육:미국산)
배추국
도시락김
무생채
쌀밥/깍두기"
709Kcal,706Kcal,738Kcal,778Kcal,578Kcal,740Kcal,806Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
수제무비트피클
씨리얼/우유/과일","닭죽(계육:국내산)
환어묵볶음
얼갈이겉절이
씨리얼/우유/과일
배추김치","건포도머핀
크림스프
양배추샐러드
수제무비트피클
씨리얼/우유/과일","꽈배기
데친후랑크소시지
크림스프
양배추샐러드
수제무비트피클
씨리얼/우유/과일","모닝빵*딸기잼
스크래블에그
크림스프
양배추샐러드
수제무비트피클
씨리얼/우유/과일",,
706Kcal,620Kcal,677Kcal,913Kcal,608Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"돈육김치볶음(돈육:국내산)
솎음배추국
두부찜
콩나물무침
쌀밥/깍두기","오징어두루치기*소면
미역국
계란찜
치커리생채
쌀밥/배추김치","닭고기떡조림(계육:브라질산)
콩나물국
김치전
실곤약겨자무침
쌀밥/배추김치","참치김치찌개
채소잡채
계란장조림
파래김구이
쌀밥/깍두기","*추억의도시락*
알찬소시지전
어묵마늘쫑
계란후라이
쌀밥*김가루
유부장국/볶음김치",,"설렁탕(우육
농축액
우사골:호주산)
충무식오징어무무침
메밀배추전
콩자반
쌀밥/깍두기"
708Kcal,710Kcal,945Kcal,744Kcal,901Kcal,0Kcal,702Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
양식,"冷열무물김치국수
수제채소튀김
우엉어묵양념밥
단무지","나가사끼짬뽕
김가루양념밥
춘권튀김*간장
단무지","가츠돈(돈까스덮밥)(돈육:국내산)
일식장국
양배추샐러드
단무지","콩국수
새우까스*타르소스
솎음배추겉절이","고추잡채덮밥*꽃빵
계란파국
만두튀김
단무지무침","돈육채소비빔밥(돈육:미국산)
미역냉국
단호박맛탕
배추김치",
852Kcal,985Kcal,883Kcal,821Kcal,938Kcal,753Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
특식,특식,"冷열무물김치국수
수제채소튀김
우엉어묵양념밥
단무지","뚝배기부대찌개*라면사리
메추리알곤약장조림
열무생채
쌀밥/깍두기","산채비빔밥
오이냉국
계란후라이
양배추콘샐러드
배추김치","(뚝)제육고추장불고기(돈육:미국산)
일식장국
양배추쌈*쌈장
무초절임
쌀밥/배추김치
","미트볼스파게티(돈육:국내산)
야채볶음밥(소)
수제마늘빵
오이피클
음료",,
922Kcal,731Kcal,758Kcal,680Kcal,930Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     2,800원",         0원,         0원
