■생활관식당(블루미르308관)
2016년 06월 27일 ~ 2016년 07월 03일
주간식단표
구분,월요일(06/27),화요일(06/28),수요일(06/29),목요일(06/30),금요일(07/01),토요일(07/02),일요일(07/03)
조식,한식,"완자전(돈육:국내산)
매운쇠고기무국(우육:호주산)
채소잡채
마늘쫑지무침
쌀밥/깍두기","순두부국
비엔나야채볶음
맛느타리버섯볶음
고추지무침
쌀밥/깍두기","청어무조림
배추된장국
어묵전*간장
실곤약채소무침
쌀밥/배추김치","오징어무국
메추리알곤약장조림
쫑상추겉절이
명엽채무침
쌀밥/배추김치","사골우거지탕(우육
농축액
우사골:호주산)
두부구이*양념장
오이생채
도시락김
쌀밥/깍두기","북어채국
홈소시지전*케찹
우엉조림
삼색겨자냉채
쌀밥/깍두기",
791Kcal,695Kcal,767Kcal,672Kcal,651Kcal,790Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
계란장조림
무생채
배추김치
씨리얼/우유/과일","치즈토스트
크림스프
양배추샐러드
씨리얼/우유/과일","참치채소죽
삶은달걀*소금
배추김치
씨리얼/우유/과일","샐러드샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,"계란토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
629Kcal,560Kcal,615Kcal,570Kcal,637Kcal,0Kcal,610Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
중식,한식,"너비아니구이(돈육
계육:국내산)
미역국
새송이탕수
콩나물무침
쌀밥/배추김치","콩나물육개장(우육:호주산)
단호박전
어묵야채볶음
양파초절임
쌀밥/깍두기","돈육김치볶음(돈육:미국산)
유부팽이버섯장국
연두부*양념장
해초샐러드
쌀밥/무생채","초계국수(계육:국내산)
옥수수크로켓*케찹
얼갈이겉절이","호박새우젓국
콩나물밥*양념장
계란찜
소시지케첩볶음
치커리들깨소스무침
배추김치",,"만두국
꼬마돈까스&케찹(돈육
계육:국내산)
호박채전
숙주나물
쌀밥/배추김치"
685Kcal,700Kcal,650Kcal,678Kcal,730Kcal,0Kcal,880Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
양식,"닭갈비볶음밥(계육:브라질산)
계란후라이*김가루
미역국
천사채샐러드
배추김치","돈가스카레라이스(돈육:국내산)
미소장국
양배추샐러드
오이피클","오므라이스*소시지구이
맑은우동국물
양배추샐러드
단무지","미트볼하이라이스(돈육
계육:국내산)
장국
마카로니샐러드
배추김치","샐러드돈까스(돈육:국내산)
크림스프
마늘바게트
오이피클","김치볶음밥*계란후라이
팽이버섯장국
핫바*케찹
단무지",
750Kcal,890Kcal,705Kcal,810Kcal,780Kcal,705Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
특식,특식,"(뚝)돼지고기김치찌개(돈육:국내산)
브로컬리스크램블에그
오이맛고추무침
쌀밥*김가루
깍두기","비빔막국수
옥수수조랭이떡샐러드
단무지
요구르트","물냉면
손만두찜
냉면김치
후식","(뚝)돌솥비빔밥
미소장국
계란후라이
미역줄기볶음
배추김치","짬뽕
군만두*간장
단무지",,
710Kcal,790Kcal,820Kcal,870Kcal,805Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     2,800원",         0원,         0원
석식,한식,"유자향돼지불고기(돈육:미국산)
오이냉국
양배추쌈*쌈장
도토리묵*양념장
쌀밥/배추김치","떡갈비조림(돈육:국내산)
콩나물국
연근튀김
솎음배추겉절이
쌀밥/깍두기","참치김치찌개
어묵잡채
건파래볶음
열무생채
쌀밥/깍두기","꽁치조림
다시마무채국
쫄면야채무침
된장고추지
쌀밥/배추김치","김치순두부찌개
고기산적조림(돈육
계육:국내산)
청포묵김가루무침
깻잎지
쌀밥/깍두기","돈육고추장찌개(돈육:미국산)
햄구이*케찹
브로컬리숙회&초장
무짠지채무침
쌀밥/배추김치",
702Kcal,810Kcal,718Kcal,890Kcal,870Kcal,750Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"볶음우동
일식장국
사모사
단무지","베이컨햄볶음밥
유부장국
두부땅콩강정
배추김치","열무비빔국수
일식장국
채소춘권
단무지","사천식돈육볶음덮밥(돈육:미국산)
다시마무채국
양배추샐러드
단무지","두부폭찹덮밥(돈육:미국산)
유부장국
양배추샐러드
단무지",,"토마트소스스파게티
클링클컷감자튀김
오이피클/탄산"
805Kcal,770Kcal,810Kcal,705Kcal,605Kcal,0Kcal,890Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
