■생활관식당(블루미르308관)
2016년 08월 01일 ~ 2016년 08월 07일
주간식단표
구분,월요일(08/01),화요일(08/02),수요일(08/03),목요일(08/04),금요일(08/05),토요일(08/06),일요일(08/07)
조식,한식,"김치해장국
완자전(계육
돈육:국내산)
연두부찜*양념장
브로컬리숙회*초장
쌀밥/깍두기","참치김치볶음
떡국
건파래자반
노각무침
쌀밥/고춧잎무침","우거지해장국(우육:호주산)
두부구이*양념장
호박볶음
청경채겉절이
쌀밥/깍두기","미트볼조림(돈육:국내산)
수제비국
명엽채볶음
고구마순볶음
쌀밥/배추김치","장터국밥(우육:호주산)
계란장조림
어묵볶음
무나물
쌀밥/배추김치","된장찌개
꼬마돈까스튀김(계육.돈육:국내산)
미역줄기볶음
깻잎지무침
쌀밥/배추김치","북어해장국
비엔나케찹조림
마늘쫑볶음
무말랭이무침
쌀밥/배추김치"
688Kcal,700Kcal,638Kcal,795Kcal,810Kcal,745Kcal,800Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"콩도너츠
스크램블에그
크림스프
양배추샐러드
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","에그샐러드샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","핫케익
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","참치채소죽
삶은달걀*소금
배추김치
씨리얼/우유/과일",,
750Kcal,630Kcal,650Kcal,610Kcal,755Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"돼지고기떡볶음(돈육:국내산)
콩나물국
옥수수전
청포묵김가루무침
쌀밥/배추김치","닭고기채소고추장볶음(계육:브라질산)
미역국
어묵볶음
고추지무침
쌀밥/배추김치","꽁치무조림
배추국
쫄면야채무침
파래김구이
쌀밥/깍두기","햄모둠찌개
부추스크램블에그
만두깐풍
실곤약겨자냉채
쌀밥/깍두기","무밥*양념장
호박새우젓국
오징어무무침
팽이버섯전
미역초무침
배추김치","닭개장(계육:국내산)
부추전
새송이굴소스볶음
양파초절임
쌀밥/깍두기","오돈불고기(돈육:미국산)
계란파국
시래기된장조림
콩나물무침
쌀밥/배추김치"
810Kcal,765Kcal,805Kcal,825Kcal,680Kcal,705Kcal,725Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
