■생활관식당(블루미르308관)
2016년 08월 08일 ~ 2016년 08월 14일
주간식단표
구분,월요일(08/08),화요일(08/09),수요일(08/10),목요일(08/11),금요일(08/12),토요일(08/13),일요일(08/14)
조식,한식,"쇠고기당면국(우육:호주산)
두부양념무조림
미역줄기볶음
고추지무침
쌀밥/깍두기","꽁치구이*와사비장
배추국
감자떡조림
오이지무침
쌀밥/배추김치","돈육당면볶음(돈육:국내산)
김치국
청포묵김가루무침
명엽채볶음
쌀밥/깍두기","김치수제비
완자전(계육
돈육:국내산)
건파래볶음
콩나물무침
쌀밥/배추김치","북어해장국
비엔나야채조림
스크램블에그
도시락김
쌀밥/배추김치","떡갈비조림(돈육:국내산)
순두부국
가지볶음
브로컬리숙회*초장
쌀밥/깍두기","고등어무조림(고등어:국내산)
열무된장국
호박볶음
양파톳무침
쌀밥/배추김치"
663Kcal,675Kcal,821Kcal,755Kcal,824Kcal,740Kcal,681Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"시나몬토스트
데친후랑크소시지
크림스프
양배추샐러드
무비트피클
씨리얼/과일/우유","닭죽(계육:국내산)
환어묵볶음
배추김치
씨리얼/과일/우유","모닝빵*딸기잼
스크램블에그
크림스프
양배추샐러드
무비트피클
씨리얼/과일/우유","핫케이크
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
593Kcal,620Kcal,605Kcal,894Kcal,677Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"육개장(우육
농축액
우사골:호주산)
새송이탕수
어묵전*겨자장
미역초무침
쌀밥/깍두기","콩불(콩나물불고기)(돈육:국내산)
오이냉국
계란찜
무초절임
쌀밥/배추김치","단호박닭찜(계육:브라질산)
두부된장국
소면야채무침
무말랭이무침
쌀밥/배추김치","경상도고깃국(우육:호주산)
꼬마돈까스튀김(돈육
계육:국내산)
연두부찜*양념장
양파초절임
쌀밥/깍두기","취나물버섯밥*양념장
호박고추장찌개
알찬소세지전*케찹
계란장조림
무생채
쌀밥/배추김치",,"만두김치찌개
계란찜
마늘쫑멸치볶음
파래김*양념장
쌀밥/깍두기"
775Kcal,796Kcal,899Kcal,765Kcal,807Kcal,0Kcal,686Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
양식,"김치볶음밥*계란후라이
팽이버섯장국
핫도그*케찹(돈육
계육:국내산)
단무지","참치채소비빔밥
미소장국
수제야채튀김
배추김치","짬뽕덮밥
계란파국
고구마맛탕
단무지","닭갈비볶음밥
계란후라이*김가루
유부장국
천사채샐러드
배추김치","매콤오징어덮밥
팽이버섯장국
옥수수고로케
단무지","돈가스카레덮밥(돈육:국내산)
일식장국
양배추샐러드
배추김치",
760Kcal,827Kcal,730Kcal,918Kcal,617Kcal,890Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
특식,특식,"(뚝)돈가스토마토스파게티(돈육:국내산)
쇠고기스프
누룽지샐러드
단무지","(뚝)부대찌개*라면사리*치즈
황도샐러드
쌀밥/깍두기","오므라이스*왕새우튀김
유부장국
양배추샐러드
배추김치","뚝배기김치날치알밥
유부장국
연두부찜
락교&오복지","냉모밀소바
어묵양념밥
옥수수고로케
락교",,
964Kcal,650Kcal,647Kcal,650Kcal,638Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     2,800원",         0원,         0원
석식,한식,"오징어볶음*소면사리
유부장국
스크램블에그
깻잎지무침
쌀밥/배추김치","순대볶음
미역국
맛느타리버섯볶음
양념떡튀김
쌀밥/배추김치","열무보리비빔밥
미역냉국
계란후라이
푸실리샐러드
배추김치","사천식돈육볶음(돈육:국내산)
맑은콩나물국
양배추쌈*쌈장
부추생채
쌀밥/배추김치","장터국밥(우육:호주산)
야채전
연근조림
마늘쫑지무침
쌀밥/깍두기","닭곰탕*소면사리(계육:국내산)
어묵조림
잡채
고춧잎무침
쌀밥/깍두기",
745Kcal,830Kcal,963Kcal,668Kcal,989Kcal,777Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"스팸마요덮밥
일식장국
단호박구이
단무지","함박스테이크(계육
돈육:국내산)
크림스프
감자튀김
쌀밥/단무지","베이컨햄볶음밥
유부장국
두부땅콩강정
배추김치","야끼우동
미소장국
사모사
단무지","불고기볶음밥(우육:호주산)
유부장국
삼색겨자냉채
배추김치",,"제육생채소비빔밥(돈육:국내산)
무채국
마카로니콘샐러드
배추김치"
732Kcal,751Kcal,774Kcal,799Kcal,547Kcal,0Kcal,964Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
