■생활관식당(블루미르308관)
2016년 08월 15일 ~ 2016년 08월 21일
주간식단표
구분,월요일(08/15),화요일(08/16),수요일(08/17),목요일(08/18),금요일(08/19),토요일(08/20),일요일(08/21)
조식,한식,"쇠고기대파해장국
(우육:호주산)
미트볼조림(돈육:국내산)
감자채볶음
열무생채
쌀밥/깍두기","북어국
계란찜
사각어묵볶음
오이지무침
쌀밥/깍두기","전주콩나물국밥
후랑크채소볶음
단호박아몬드조림
치커리무침
쌀밥/깍두기","돈육떡볶음(돈육:국내산)
배추된장국
도토리묵*양념장
매콤콩나물무침
쌀밥/배추김치",,,
785Kcal,652Kcal,723Kcal,792Kcal,0Kcal,0Kcal,0Kcal
08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
양식,,"꽈배기
크림스프
양배추샐러드
무비트피클
씨리얼/과일/우유","프렌치토스트
크림스프
양배추샐러드
무비트피클
씨리얼/과일/우유","참치샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/과일/우유",,,
0Kcal,755Kcal,687Kcal,745Kcal,0Kcal,0Kcal,0Kcal
 :~ :,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :, :~ :
         0원,"     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
중식,한식,"돈육고추장볶음(돈육:국내산)
미역국
양배추쌈*쌈장
무생채
쌀밥/배추김치","닭야채떡볶음(계육:브라질산)
다시마무국
가지볶음
해초샐러드
쌀밥/배추김치","오징어떡볶음
오이냉국
스크램블에그
건파래자반
쌀밥/배추김치","조랭이떡국
채소잡채
매운두부조림
시금치나물
쌀밥/배추김치",,,
662Kcal,777Kcal,779Kcal,738Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:30, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
양식,,"冷김치말이국수
김가루양념밥
만두찜*간장
단무지","떡갈비마요덮밥(돈육:국내산)
팽이버섯장국
단호박튀김
오이피클","참치채소볶음밥*계란후라이
팽이버섯장국
청파래오징어가스
단무지",,,
0Kcal,754Kcal,840Kcal,822Kcal,0Kcal,0Kcal,0Kcal
 :~ :,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :
         0원,"     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
특식,특식,,"(뚝)돌솥비빔밥
콩나물국
계란후라이
마카로니콘샐러드
깍두기","매콤소세지검보
일식장국
양배추샐러드
오이피클
요구르트","(뚝)부대찌개*라면사리
계란찜
양파초절임
쌀밥/깍두기",,,
0Kcal,951Kcal,735Kcal,652Kcal,0Kcal,0Kcal,0Kcal
 :~ :,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :
         0원,"     3,200원","     3,200원","     3,200원",         0원,         0원,         0원
석식,한식,,"사천식돈육부추볶음(돈육:국내산)
아욱된장국
옥수수전
다시마숙회*초장
쌀밥/배추김치","우거지해장국(우육:호주산)
만두탕수
미역줄기볶음
고추지무침
쌀밥/깍두기",,,,
0Kcal,912Kcal,694Kcal,0Kcal,0Kcal,0Kcal,0Kcal
 :~ :,17:30~19:00,17:30~19:00, :~ :, :~ :, :~ :, :~ :
         0원,"     2,800원","     2,800원",         0원,         0원,         0원,         0원
양식,"돈까스김치덮밥(돈육:국내산)
일식장국
멕시칸샐러드
단무지","탄탄짬뽕(돈육:미국산)
푸실리샐러드
짜사이채무침","토마토소스스파게티
감자튀김
오이피클
탄산",,,,
612Kcal,878Kcal,935Kcal,0Kcal,0Kcal,0Kcal,0Kcal
17:30~18:30,17:30~19:00,17:30~19:00, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,         0원,         0원,         0원
간식,일품1,,참치샐러드,참치샐러드,참치샐러드,,,
0Kcal,250Kcal,250Kcal,250Kcal,0Kcal,,
 :~ :,07:00~14:00,07:00~14:00,07:00~14:00, :~ :,,
         0원,"     3,500원","     3,500원","     3,500원",         0원,,
일품2,,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,,
0Kcal,216Kcal,216Kcal,216Kcal,0Kcal,,
 :~ :,07:00~14:00,07:00~14:00,07:00~14:00, :~ :,,
         0원,"     3,500원","     3,500원","     3,500원",         0원,,
일품3,,식스팩샐러드,식스팩샐러드,식스팩샐러드,,,
0Kcal,289Kcal,289Kcal,289Kcal,0Kcal,,
 :~ :,07:00~14:00,07:00~14:00,07:00~14:00, :~ :,,
         0원,"     3,500원","     3,500원","     3,500원",         0원,,
일품4,,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,,
0Kcal,389Kcal,389Kcal,389Kcal,0Kcal,,
 :~ :,07:00~14:00,07:00~14:00,07:00~14:00, :~ :,,
         0원,"     3,500원","     3,500원","     3,500원",         0원,,
공지사항,
