■생활관식당(블루미르308관)
2016년 08월 29일 ~ 2016년 09월 04일
주간식단표
구분,월요일(08/29),화요일(08/30),수요일(08/31),목요일(09/01),금요일(09/02),토요일(09/03),일요일(09/04)
조식,한식,"북어해장국
바베큐바조림(돈육
계육:국내산)
감자채볶음
마늘쫑지무침
쌀밥/배추김치","사골우거지해장국(우육:호주산)
계란장조림
건새우무조림
쑥갓겉절이
쌀밥/깍두기","꽁치강정
김치국
단호박조림
매운콩나물무침
쌀밥/깍두기","수제비국
비엔나야채조림
느타리버섯볶음
오이지무침
쌀밥/배추김치","쇠고기미역국(우육:호주산)
두부양념조림
마늘쫑멸치볶음
양파초절임
쌀밥/배추김치","떡갈비조림(돈육:국내산)
배추국
건파래볶음
유채나물
쌀밥/배추김치","고기산적구이(돈육
계육:국내산)
콩나물국
브로컬리양파볶음
도시락김
쌀밥/배추김치"
703Kcal,676Kcal,741Kcal,804Kcal,598Kcal,740Kcal,848Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"꽈배기
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","참치샐러드샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","닭죽(계육:국내산)
환어묵볶음
얼갈이겉절이
씨리얼/우유/과일","핫케익크
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
690Kcal,527Kcal,620Kcal,570Kcal,630Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"닭고기떡볶음(계육:브라질산)
미역국
계란찜
숙주나물
쌀밥/배추김치","나물된장비빔밥
계란후라이
오이냉국
푸실리콘샐러드
배추김치","돈육떡볶음(돈육:국내산)
콩나물국
스크램블에그
해초샐러드
쌀밥/배추김치","오징어볶음*소면사리
미역냉국
사각어묵볶음
열무생채
쌀밥/배추김치","설렁탕*소면사리(우육
우사골
농축액:호주산)
부추전
잡채
고추지무침
쌀밥/깍두기","북어채국
꼬마돈가스(돈육
계육:국내산)
두부찜*양념장
실곤약겨자무침
쌀밥/배추김치","닭볶음*당면사리(계육:브라질산)
유부장국
미역줄기볶음
무생채
쌀밥/배추김치"
801Kcal,894Kcal,940Kcal,601Kcal,946Kcal,893Kcal,772Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"너비아니마요덮밥(돈육
계육:국내산)
미역장국
떡강정
오이피클","김치잔치국수
김가루양념밥
왕꼬치구이(돈육
계육:국내산)
솎음배추겉절이","김치볶음밥*계란후라이
콩나물국
핫도그(계육
돈육:국내산)
단무지","야채볶음밥*자장소스
짬뽕국
군만두튀김
단무지","돈가스김치덮밥(돈육:국내산)
일식장국
단호박샐러드
단무지","참치생야채비빔밥
일식장국
만두강정
배추김치","토마토소스스파게티
수제마늘빵
감자튀김
탄산음료"
627Kcal,926Kcal,705Kcal,821Kcal,648Kcal,875Kcal,978Kcal
