■생활관식당(블루미르308관)
2016년 09월 05일 ~ 2016년 09월 11일
주간식단표
구분,월요일(09/05),화요일(09/06),수요일(09/07),목요일(09/08),금요일(09/09),토요일(09/10),일요일(09/11)
조식,한식,"조랭이떡국
메추리알장조림
맛느타리버섯볶음
무생채
쌀밥/배추김치","쇠고기당면국(우육:호주산)
두부구이*양념장
감자조림
숙주나물
쌀밥/배추김치","고등어조림
배추된장국
올방개묵*양념장
건파래자반
쌀밥/배추김치","순두부찌개
소시지케찹조림
주키니호박볶음
마늘장아찌
쌀밥/깍두기","닭고기굴소스볶음(계육:브라질산)
콩나물국
미역줄기볶음
깻잎지무침
쌀밥/배추김치","된장찌개
꼬마돈까스튀김(계육
돈육:국내산)
명엽채볶음
시금치나물
쌀밥/배추김치","김치해장국
두부찜*양념장
가지볶음
다시마숙회*초장
쌀밥/깍두기"
703Kcal,676Kcal,741Kcal,804Kcal,598Kcal,740Kcal,848Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝빵&딸기잼
스크램블에그
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","참치채소죽
삶은계란*소금
배추김치
씨리얼/우유/과일","에그샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
690Kcal,527Kcal,620Kcal,570Kcal,630Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"육개장(우육:호주산)
만두강정
팽이버섯전*간장
부추생채
쌀밥/깍두기","돈육오징어두루치기(돈육:미국산)
미역국
사각어묵볶음
콩나물무침
쌀밥/배추김치","닭갈비*떡사리(계육:브라질산)
콩나물국
마늘쫑멸치볶음
브로컬리숙회&초장
쌀밥/배추김치","돼지고기떡볶음(돈육:국내산)
근대된장국
옥수수전
도토리묵양념장
쌀밥/배추김치","꽁치무조림
호박된장국
쫄면야채무침
파래김구이*양념장
쌀밥/배추김치","콩불(콩나물불고기)(돈육:국내산)
다시마무채국
스크램블에그
무말랭이무침
쌀밥/배추김치","닭곰탕*소면사리(계육:국내산)
충무식오징어무무침
야채전
청포묵김가루무침
쌀밥/깍두기"
801Kcal,894Kcal,940Kcal,601Kcal,946Kcal,893Kcal,772Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
