■생활관식당(블루미르308관)
2016년 09월 12일 ~ 2016년 09월 18일
주간식단표
구분,월요일(09/12),화요일(09/13),수요일(09/14),목요일(09/15),금요일(09/16),토요일(09/17),일요일(09/18)
조식,한식,"북어해장국
새우동그랑땡
호박볶음
청경채겉절이
쌀밥/깍두기","고기산적조림(돈육
계육:국내산)
북어채미역국
마늘쫑멸치볶음
된장고추지
쌀밥/깍두기","꽁치조림
수제비국
감자채볶음
무생채
쌀밥/배추김치",,,"오징어무국
비엔나브로컬리볶음
연두부찜*양념장
고춧잎무침
쌀밥/깍두기","떡국
바베큐바조림(돈육
계육:국내산)
새송이굴소스볶음
브로컬리*초장
쌀밥/배추김치"
703Kcal,676Kcal,741Kcal,0Kcal,0Kcal,598Kcal,740Kcal
07:00~08:40,07:00~08:40,08:00~09:00, :~ :, :~ :,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원",         0원,         0원,"     2,800원","     2,800원"
양식,"꽈배기도너츠
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","길거리토스트
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,,,,
690Kcal,527Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,         0원
중식,한식,"돼지고기당면볶음(돈육:미국산)
콩나물국
두부찜*양념장
깻잎지무침
쌀밥/배추김치","열무비빔밥
일식장국
계란후라이
사각어묵볶음
배추김치","돈육고추장볶음(돈육:미국산)
어묵국
단호박조림
콩나물무침
쌀밥/배추김치",,"닭개장*당면사리(계육:국내산)
두부계란전*양념장
연근조림
양파초절임
쌀밥/깍두기","사골곰탕*소면사리(우육:호주산)
오징어무무침
계란찜
모듬콩조림
쌀밥/깍두기","돈육떡볶음(돈육:미국산)
미역국
잡채
무생채
쌀밥/배추김치"
801Kcal,894Kcal,940Kcal,0Kcal,601Kcal,946Kcal,893Kcal
11:30~13:30,11:30~13:30,11:30~13:00, :~ :,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원",         0원,"     2,800원","     2,800원","     2,800원"
양식,"돈가스덮밥(가츠동)(돈육:국내산)
일식장국
마카로니콘샐러드
단무지","카레라이스
맑은우동국물
청파래오징어까스
단무지무침",,,,,"단호박크림파스타
일식장국
감자튀김*케찹
탄산음료
오이피클"
627Kcal,926Kcal,0Kcal,0Kcal,0Kcal,0Kcal,875Kcal
11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :, :~ :,11:30~13:00
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,"     2,800원"
특식,특식,"불닭오므라이스(계육:브라질산)
콩나물국
누룽지샐러드
오이피클","꼬치어묵냄비우동
김가루양념밥
수제야채튀김
오복지무침",,,,,
680Kcal,629Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :, :~ :, :~ :
"     3,200원","     3,200원",         0원,         0원,         0원,         0원,         0원
석식,한식,"전주콩나물국밥
햄전*케찹
스크램블에그
해초무침
쌀밥/배추김치","햄모둠찌개
완자전(돈육
계육:국내산)
맛느타리버섯볶음
마늘쫑지
쌀밥/깍두기",,,"너비아니마요덮밥(돈육
계육:국내산)
일식장국
양념떡강정
단무지","우거지해장국(우육
우사골
농축액:호주산)
계란장조림
물만두찜*간장
양념고추지
쌀밥/깍두기","취나물밥*양념장
참치김치찌개
꼬마돈까스튀김(돈육
계육:국내산)
시래기된장무침
오이지무침
깍두기"
731Kcal,733Kcal,0Kcal,0Kcal,697Kcal,730Kcal,544Kcal
17:30~19:00,17:30~19:00, :~ :, :~ :,17:30~18:30,17:30~18:30,17:30~18:30
"     2,800원","     2,800원",         0원,         0원,"     2,800원","     2,800원","     2,800원"
양식,"나가사끼짬뽕
쌀밥(소)
만두튀김
단무지","닭갈비덮밥(계육;브라질산)
미역장국
야채춘권*간장
배추김치",,,,,"함박스테이크(돈육
계육:국내산)
크림스프
야채볶음밥
연근튀김
단무지"
598Kcal,878Kcal,0Kcal,0Kcal,0Kcal,0Kcal,945Kcal
17:30~19:00,17:30~19:00, :~ :, :~ :, :~ :, :~ :,17:30~18:30
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,"     2,800원"
간식,일품1,참치샐러드,참치샐러드,,,,,
250Kcal,250Kcal,0Kcal,0Kcal,0Kcal,,
07:00~14:00,07:00~14:00, :~ :, :~ :, :~ :,,
"     3,500원","     3,500원",         0원,         0원,         0원,,
일품2,두부견과류샐러드,두부견과류샐러드,,,,,
216Kcal,216Kcal,0Kcal,0Kcal,0Kcal,,
07:00~14:00,07:00~14:00, :~ :, :~ :, :~ :,,
"     3,500원","     3,500원",         0원,         0원,         0원,,
일품3,식스팩샐러드,식스팩샐러드,,,,,
289Kcal,289Kcal,0Kcal,0Kcal,0Kcal,,
07:00~14:00,07:00~14:00, :~ :, :~ :, :~ :,,
"     3,500원","     3,500원",         0원,         0원,         0원,,
일품4,치킨텐더샐러드,치킨텐더샐러드,,,,,
389Kcal,389Kcal,0Kcal,0Kcal,0Kcal,,
07:00~14:00,07:00~14:00, :~ :, :~ :, :~ :,,
"     3,500원","     3,500원",         0원,         0원,         0원,,
공지사항,
