■생활관식당(블루미르308관)
2016년 09월 19일 ~ 2016년 09월 25일
주간식단표
구분,월요일(09/19),화요일(09/20),수요일(09/21),목요일(09/22),금요일(09/23),토요일(09/24),일요일(09/25)
조식,한식,"김치콩나물국
미트볼조림(돈육:국내산)
명엽채볶음
파래김구이*양념장
쌀밥/깍두기","쇠고기무국(우육:호주산)
고등어엿장구이(고등어:국내산)
청포묵김가루무침
콩나물무침
쌀밥/깍두기","참치김치찌개
두부구이*양념장
건파래자반
양파톳무침
쌀밥/깍두기","돈코츠라멘(돈육:미국산
돈잡뼈:국내산)
단무지
후식","순두부찌개
햄전*케찹
다시마숙회*초장
사각어묵볶음
쌀밥/깍두기","닭고기춘장볶음(계육:브라질산)
어묵국
도토리묵*양념장
무말랭이무침
쌀밥/배추김치","고기산적구이(돈육
계육:국내산)
미역국
우엉조림
무나물
쌀밥/배추김치"
782Kcal,751Kcal,732Kcal,645Kcal,755Kcal,779Kcal,950Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"견과류핫케익
크림스프
양배추샐러드
무비트피클
샐러드/우유/과일","참치채소죽
삶은계란*소금
양배추샐러드
무비트피클
샐러드/우유/과일","모닝빵*딸기잼
스크램블에그
크림스프
양배추샐러드
무비트피클
샐러드/우유/과일","시나몬토스트
크림스프
양배추샐러드
무비트피클
샐러드/우유/과일","영양닭죽(계육:국내산)
메추리알장조림
얼갈이겉절이
씨리얼/우유/과일",,
636Kcal,666Kcal,444Kcal,597Kcal,600Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"춘천닭갈비(계육:브라질산)
들깨미역국
감자채볶음
된장고추지
쌀밥/배추김치","참치채소죽
삶은계란*소금
양배추샐러드
무비트피클
샐러드/우유/과일","설렁탕*소면사리(우육:호주산
농축액
우사골:호주산)
잡채
알감자조림
부추생채
쌀밥/깍두기
","*옛날도시락*
계란후라이
옛날소시지전
어묵마늘쫑볶음
쌀밥/볶음김치","참치김치찌개
만두깐풍
스크램블에그
들깨고구마순볶음
쌀밥/깍두기","돈육굴소스떡볶음(돈육:국내산)
감자맑은국
환어묵볶음
깻잎지무침
쌀밥/배추김치","돈육김치찌개(돈육:국내산)
꼬마돈까스튀김(돈육
계육:국내산)
팽이버섯전
얼갈이된장나물
쌀밥/깍두기"
829Kcal,693Kcal,735Kcal,898Kcal,853Kcal,791Kcal,865Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"떡갈비마요덮밥(돈육:국내산)
미소시루
수제야채튀김
단무지","매콤야채쫄면
어묵국
군만두*간장
김가루양념밥
단무지","오로시돈까스(돈육:국내산)
유부장국
고구마맛탕
단무지","자장덮밥
계란파국
물만두*간장
단무지","양념치킨오므라이스(계육:브라질산)
맑은우동국물
누룽지샐러드
단무지","로제파스타
수제마늘바게트
탄산음료
오이피클","참치채소비빔밥
유부장국
두부강정
실곤약겨자무침
배추김치"
873Kcal,992Kcal,601Kcal,947Kcal,837Kcal,992Kcal,879Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"(뚝)부대찌개*라면사리
계란말이
시금치나물
쌀밥/깍두기","(뚝)밀양돼지국밥(돈육:미국산
돈잡뼈:캐나다산)
연두부*양념장
고춧잎무침
쌀밥/깍두기","(뚝)버섯만두전골(농축액
우사골:호주산)
계란장조림
부추생채
쌀밥/깍두기","(뚝)돈육불고기(돈육:국내산)
옛날소시지전
양파초절임
쌀밥/배추김치","매콤소시지검보
미소장국
양배추샐러드
배추김치
요구르트",,
694Kcal,648Kcal,803Kcal,844Kcal,769Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
