■생활관식당(블루미르308관)
2016년 10월 03일 ~ 2016년 10월 09일
주간식단표
구분,월요일(10/03),화요일(10/04),수요일(10/05),목요일(10/06),금요일(10/07),토요일(10/08),일요일(10/09)
조식,한식,"감자고추장찌개(대두:수입산)
환어묵맛살볶음
건파래자반
도토리묵채소무침
쌀밥/깍두기","쇠고기당면국(우육:호주산)
비엔나브로컬리볶음(계육
돈육:국내산)
마늘쫑멸치볶음
깻잎지무침
쌀밥/깍두기","조랭이떡만두국(돈육:국내산)
감자떡조림
호박볶음
고추지무침
쌀밥/배추김치","고등어무조림(고등어:국내산)
떡국
숙주나물
다시마튀각
쌀밥/배추김치","순두부찌개(대두:수입산)
떡갈비조림(돈육:국내산)
청포묵김가루무침
시금치나물
쌀밥/깍두기","수제비국
꼬마돈까스(돈육
계육:국내산)
파래김구이*양념장
무생채
쌀밥/배추김치","꽁치강정
배추국
새송이탕수
오이지무침
쌀밥/깍두기"
647Kcal,686Kcal,725Kcal,755Kcal,915Kcal,922Kcal,777Kcal
08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,,"참치샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","모닝빵*딸기잼
데친후랑크소시지(돈육:수입산
국내산/계육:국내산)
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","꽈배기
삶은계란*소금
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵볶음
얼갈이겉절이(얼갈이:국내산
고추가루:중국산)
씨리얼/우유/과일",,
0Kcal,764Kcal,529Kcal,304Kcal,586Kcal,0Kcal,0Kcal
 :~ :,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
         0원,"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"제육김치볶음(돈육:국내산)
콩나물국
스크램블에그
다시마숙회*초장
쌀밥/깍두기","닭야채볶음(계육:브라질산)
미역국
단호박아몬드조림
무말랭이무침
쌀밥/배추김치","취나물밥*양념장
다시마무채국
만두강정(돈육:국내산)
콩나물무침
쌀밥/배추김치","안동찜닭(계육:브라질산)
사각어묵국
미역줄기볶음
마늘쫑지
쌀밥/배추김치","매콤오징어콩나물찜(오징어:칠레산)
배추된장국
계란찜
청경채겉절이
쌀밥/배추김치","장터국밥(우육:호주산)
후랑크채소볶음
메추리알곤약조림
고추지
쌀밥/깍두기","유자향돼지불고기(돈육:국내산)
콩나물국
양배추쌈*쌈장
상추들깨겉절이
쌀밥/배추김치"
728Kcal,837Kcal,730Kcal,810Kcal,656Kcal,666Kcal,675Kcal
11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"떡갈비마요덮밥(돈육:국내산)
일식장국
단호박튀김
단무지","계란볶음밥*자장소스
계란파국
탕수육(돈육:국내산)
단무지","미트볼토마토스파게티(돈육:국내산)
수제마늘바게트
오이피클
탄산음료","짬뽕탕(오징어:칠레산)
쌀밥(소)
군만두(돈육:국내산)
단무지","냉모밀국수
김가루주먹밥
모듬맛탕
락교","참치김치덮밥
계란파국
핫도그(돈육
계육:국내산)
단무지","잔치국수
김가루양념밥
완자조림(계육
돈육:국내산)
배추김치"
893Kcal,997Kcal,931Kcal,722Kcal,877Kcal,627Kcal,998Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,,"(뚝)돌솥비빔밥*계란후라이
일식장국
실곤약샐러드
배추김치","(뚝)부대찌개*라면사리(돈육:수입산
국내산/계육:국내산
대두:수입산)
계란말이
콩나물무침
쌀밥/깍두기","(뚝)묵은지감자탕(돈육:국내산)
연두부*양념장(대두:수입산)
미역줄기볶음
쌀밥/깍두기","(뚝)밀양돼지국밥(돈육
돈잡뼈:국내산)
도토리묵*양념장
양파초절임
쌀밥/깍두기",,
0Kcal,838Kcal,691Kcal,387Kcal,629Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     2,800원",         0원,         0원
