■생활관식당(블루미르308관)
2016년 10월 10일 ~ 2016년 10월 16일
주간식단표
구분,월요일(10/10),화요일(10/11),수요일(10/12),목요일(10/13),금요일(10/14),토요일(10/15),일요일(10/16)
조식,한식,"전주식콩나물국밥(대두:수입산)
계란장조림
환어묵볶음
고추지무침
쌀밥/배추김치","북어해장국(대두:수입산)
두부조림(대두:수입산)
호박볶음
상추겉절이
쌀밥/깍두기","근대된장국
돼지고기불고기(돈육:국내산)
연근조림
무나물
쌀밥/배추김치","경상도고깃국(우육:호주산)
알찬소시지전
브로컬리숙회
깻잎지
쌀밥/배추김치","미트볼케찹조림(돈육:국내산)
김치수제비국
김구이
콩나물무침
쌀밥/깍두기","쇠고기뭇국(우육:호주산)
꽁치조림
청포묵무침
숙주나물
쌀밥/깍두기","김치국
모둠장조림(돈육:국내산)
무생채
얼갈이나물
쌀밥/배추김치"
810Kcal,699Kcal,768Kcal,799Kcal,805Kcal,751Kcal,804Kcal
07:00~08:40,08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄치즈샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,"채소죽(쌀:국내산)
삶은계란
얼갈이겉절이
무비트피클
씨리얼/우유/과일","계란토스트
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
650Kcal,0Kcal,666Kcal,675Kcal,574Kcal,0Kcal,0Kcal
07:00~08:40, :~ :,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원",         0원,"     2,800원","     2,800원","     2,800원",         0원,         0원
