■생활관식당(블루미르308관)
2016년 10월 17일 ~ 2016년 10월 23일
주간식단표
구분,월요일(10/17),화요일(10/18),수요일(10/19),목요일(10/20),금요일(10/21),토요일(10/22),일요일(10/23)
조식,한식,"경상도고깃국(우육:호주산)
비엔나소시지볶음(돈육:수입산
국내산
계육:국내산)
검은깨계란찜
파래김구이*양념장
쌀밥/깍두기","순두부찌개(콩:수입산)
스크램블에그
느타리게맛살볶음
오이된장무침
쌀밥/깍두기","근대된장국
참치김치볶음
두부찜*양념장(대두:수입산)
실곤약겨자무침
쌀밥/깍두기","어묵국(콩:수입산)
햄전*케찹(돈육:수입산
국내산
계육:국내산)
감자채볶음
된장고추지
쌀밥/깍두기","북어해장국(콩:수입산)
완자조림(돈육
계육:국내산)
다시마숙회*초장
실곤약겨자무침
쌀밥/깍두기","오징어무국(오징어:칠레산)
메추리알곤약장조림
파래자반
고추지무침
쌀밥/배추김치","두부김치국(콩:수입산)
미트볼브로컬리조림(돈육:국내산)
무생채
탕평채
쌀밥/배추김치"
804Kcal,665Kcal,635Kcal,719Kcal,832Kcal,612Kcal,797Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"에그샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
무비트피클
씨리얼/우유/피클","닭죽(계육:국내산)
어묵볶음
얼갈이겉절이(배추:국내산
고추가루:중국산)
씨리얼/우유/과일","모닝빵*딸기잼
삶은계란*소금
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","핫케익
크림스프
양배추샐러드
무비트피클
씨리얼/과일/우유",,
607Kcal,502Kcal,564Kcal,623Kcal,684Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
