■생활관식당(블루미르308관)
2016년 10월 24일 ~ 2016년 10월 30일
주간식단표
구분,월요일(10/24),화요일(10/25),수요일(10/26),목요일(10/27),금요일(10/28),토요일(10/29),일요일(10/30)
조식,한식,"북어채수제비국
메추리알장조림
매운어묵조림
다시마숙회*초장
쌀밥/배추김치","고등어엿장구이(고등어:국내산)
미역국
가지볶음
무말랭이무침
쌀밥/배추김치","콩나물밥
호박고추장국
옥수수계란찜
연근조림
시금치나물
배추김치","순두부찌개(콩:수입산)
비엔나채소볶음(돈육
계육:국내산)
숙주나물
다시마튀각
쌀밥/깍두기","오징어떡볶음(오징어:칠레산)
콩나물국
스크램블에그
마늘쫑지
쌀밥/깍두기","닭고기굴소스볶음(계육:국내산)
시래기국
감자채볶음
미역초무침
쌀밥/배추김치","쇠고기당면국(우육:호주산)
미트볼조림(돈육:국내산)
파래자반볶음
참나물겉절이
쌀밥/깍두기"
804Kcal,665Kcal,635Kcal,719Kcal,832Kcal,612Kcal,797Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"꽈배기도너츠
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","단호박죽
삶은계란*소금
얼갈이겉절이(배추:국내산
고추가루:중국산)
씨리얼/우유/과일","참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","핫케익
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
607Kcal,502Kcal,564Kcal,623Kcal,684Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"열무비빔밥*계란후라이
유부장국
물만두찜
배추김치","우거지해장국(우육:호주산)
두부구이(콩:수입산)
알감자떡조림
부추생채
쌀밥/깍두기","안동찜닭*당면사리(계육:브라질산)
콩나물국
연두부*양념장(콩:수입산)
해초샐러드
쌀밥/배추김치","돈육고추장볶음(돈육:미국산)
미역국
양배추쌈*쌈장
무초절임
쌀밥/배추김치","닭곰탕*소면사리
(계육:국내산)
만두강정
미역줄기볶음
고추지무침
쌀밥/깍두기","장터국밥(우육
호주산)
꼬마돈까스(돈육
계육:국내산)
어묵볶음
오이생채
쌀밥/깍두기","돼지고기떡불고기(돈육:미국산)
시금치된장국
고구마순볶음
양파초절임
쌀밥/배추김치"
877Kcal,602Kcal,795Kcal,705Kcal,881Kcal,853Kcal,836Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"치킨마요덮밥(계육:국내산)
유부장국
누룽지샐러드(쌀:국내산)
오이피클","미트볼하이스소스덮밥(돈육:국내산)
미소장국
쫄면무침
단무지","잔치국수
김가루양념밥
고기산적조림(돈육
계육:국내산)
배추김치","단호박카레라이스
일식장국
핫도그*케찹(계육
돈육:국내산)
배추김치","잡채덮밥*자장소스
짬뽕국
만두튀김*간장
단무지","참치생야채비빔밥
미소장국
감자크로켓
누룽지샐러드(쌀:국내산)
배추김치","치킨커틀릿(계육:국내산)
크림스프
야채볶음밥
감자튀김
오이피클"
883Kcal,993Kcal,996Kcal,838Kcal,652Kcal,466Kcal,782Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
