■생활관식당(블루미르308관)
2016년 09월 26일 ~ 2016년 10월 02일
주간식단표
구분,월요일(09/26),화요일(09/27),수요일(09/28),목요일(09/29),금요일(09/30),토요일(10/01),일요일(10/02)
조식,한식,"조랭이떡국
완자전(돈육
계육:국내산)
감자채볶음
얼갈이겉절이
쌀밥/깍두기","북어해장국
꽁치구이*와사비장
사각어묵볶음
무말랭이무침
쌀밥/배추김치","들깨배추국
고기산적조림(돈육
계육:국내산)
도토리묵야채무침
다시마쌈*초장
쌀밥/깍두기","쇠고기해장국(우육:호주산)
메추리알곤약장조림
호박새우젓볶음
오이맛고추무침
쌀밥/깍두기","참치채소볶음
호박고추장찌개
연두부*양념장
명엽채무침
쌀밥/깍두기","순두부찌개
비엔나브로컬리볶음
연근땅콩조림
시금치나물
쌀밥/깍두기","굴소스닭고기볶음(계육:브라질산)
콩나물국
미역줄기볶음
톳양파무침
쌀밥/배추김치"
895Kcal,775Kcal,941Kcal,486Kcal,658Kcal,772Kcal,606Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"에그샐러드샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","버섯채소죽
계란장조림
씨리얼/우유/과일
배추김치","길거리토스트
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
605Kcal,634Kcal,497Kcal,793Kcal,653Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"육개장(우육:호주산
농축액
우사골:호주산)
두부찜*양념장
꽈리고추어묵볶음
고추지
쌀밥/깍두기","돈육떡불고기(돈육:국내산)
콩나물국
스크램블에그
깻잎지무침
쌀밥/배추김치","오징어볶음&소면
미역국
옛날소시지전
해초무침
쌀밥/배추김치","모둠장조림(돈육:국내산)
두부김치국
마늘쫑멸치볶음
솎음배추된장나물
쌀밥/배추김치","콩불(콩나물불고기)(돈육:국내산)
얼갈이된장국
감자떡조림
쫑상추겉절이
쌀밥/배추김치","닭곰탕*소면사리(계육:국내산)
어묵조림
잡채
마늘쫑지
쌀밥/깍두기","떡만두국
미트볼조림(돈육:국내산)
시래기된장볶음
무생채
쌀밥/배추김치"
694Kcal,851Kcal,839Kcal,529Kcal,811Kcal,897Kcal,992Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"함박스테이크(계육
돈육:국내산)
미니우동
감자튀김*케찹
야채볶음밥
단무지","돈가스카레덮밥(돈육:국내산)
콩나물국
양배추샐러드
배추김치","유부우동
김가루양념밥
핫바*케찹
단무지","김치볶음밥*계란후라이
팽이버섯장국
미트볼조림(돈육:국내산)
단무지","만두국수
김가루양념밥
옥수수크로켓
배추김치","등심돈까스(돈육:국내산)
크림스프
야채볶음밥
감자튀김*케찹
오이피클","돈육채소비빔밥(돈육:국내산)
우동국
춘권
배추김치"
