■생활관식당(블루미르308관)
2016년 11월 07일 ~ 2016년 11월 13일
주간식단표
구분,월요일(11/07),화요일(11/08),수요일(11/09),목요일(11/10),금요일(11/11),토요일(11/12),일요일(11/13)
조식,한식,"김치콩나물국
비엔나조림(돈육:수입산
국내산
계육:국내산)
시래기된장조림
깻잎지무침
쌀밥/깍두기","비지찌개(콩비지-콩:수입산)
알찬소시지전*케찹
브로컬리숙회*초장
열무생채
쌀밥/배추김치","치킨너겟(계육:국내산)
미역국
환어묵조림
게맛살냉채
쌀밥/배추김치","꽁치김치조림
떡국
계란찜
마늘쫑지
쌀밥/깍두기","참치김치볶음*두부찜
시금치된장국
도시락김
열무나물
쌀밥","얼큰한수제비국
소시지데리야끼볶음(돈육:수입산
국내산
계육:국내산)
도토리묵*양념장
미역줄기볶음
쌀밥/배추김치","햄모듬찌개(돈육:수입산
국내산
계육:국내산)
연두부*양념장
건파래볶음
단호박조림
쌀밥/깍두기"
669Kcal,829Kcal,739Kcal,879Kcal,594Kcal,755Kcal,765Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"시나몬토스트
크림스프
양배추샐러드
무비트피클
씨리얼/과일/우유","닭죽(계육:국내산)
어묵볶음
얼갈이겉절이(배추:국내산
고추가루:중국산)
씨리얼/과일/우유","참치샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/과일/우유","버섯야채죽
삶은계란*소금
얼갈이겉절이(배추:국낸산
고추가루:중국산)
씨리얼/과일/우유","모닝빵*딸기잼데친후랑크(돈육:수입산
국내산
계육:국내산)
크림스프
양배추샐러드
씨리얼/과일/우유",,
657Kcal,564Kcal,816Kcal,839Kcal,721Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
