■생활관식당(블루미르308관)
2016년 11월 14일 ~ 2016년 11월 20일
주간식단표
구분,월요일(11/14),화요일(11/15),수요일(11/16),목요일(11/17),금요일(11/18),토요일(11/19),일요일(11/20)
조식,한식,"북어채해장국
햄전*캐찹(돈육:수입산
국내산
계육:국내산)
탕평채
부추생채
쌀밥/배추김치","고등어무조림(고등어:국내산)
배추국
연두부&양념장
고추지무침
쌀밥/배추김치","닭고기떡볶음(계육:브라질산)
열무된장국
마늘쫑볶음
다시마튀각
쌀밥/배추김치","고추잡채덮밥*꽃빵
일식장국
고구마맛탕
단무지","호박고추장국
고기산적조림(돈육
계육:국내산)
스크램블에그
콩나물무침
쌀밥/배추김치","순두부찌개(콩:수입산)
완자조림(돈육
계육:국내산)
건파래볶음
게맛살냉채
쌀밥/깍두기","떡만두국
우엉조림
두부강정
다시마쌈*쌈장
쌀밥/배추김치"
681Kcal,749Kcal,827Kcal,758Kcal,829Kcal,832Kcal,970Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"건포도머핀
크림스프
양배추샐러드
무비트피클
씨리얼/과일/우유","참치샌드위치
크림스프
삶은계란&소금
양배추샐러드
씨리얼/과일/우유","핫케익
크림스프
양배추샐러드
무비트피클
씨리얼/과일/우유","닭죽(계육:국내산)
어묵볶음
얼갈이겉절이(배추:국내산
고추가루:중국산)
씨리얼/과일/우유","길거리토스트
크림스프
양배추샐러드
무비트피클
씨리얼/과일/우유",,
671Kcal,793Kcal,702Kcal,784Kcal,702Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
