■생활관식당(블루미르308관)
2016년 11월 21일 ~ 2016년 11월 27일
주간식단표
구분,월요일(11/21),화요일(11/22),수요일(11/23),목요일(11/24),금요일(11/25),토요일(11/26),일요일(11/27)
조식,한식,"고추장찌개
완자전(돈육
계육:국내산)
명엽채볶음
청포묵김가루무침
쌀밥/배추김치","꽁치강정
김칫국
사각어묵볶음
콩나물무침
쌀밥/깍두기","오징어무국(오징어:칠레산)
부추잡채
계란찜
콩자반
쌀밥/배추김치","북어해장국
바베큐바조림(돈육
계육:국내산)
감자채볶음
마늘쫑지
쌀밥/배추김치","닭야채볶음(계육:브라질산)
새송이굴소스볶음
건새우무국
참나물겉절이
쌀밥/배추김치","쇠고기무국(우육:호주산)
비엔나야채볶음(계욱:국내산
돈육:국내산
수입산)
호박볶음
부추생채
쌀밥/깍두기","오징어떡볶음(오징어:칠레산)
열무된장국
가지볶음
도시락김
쌀밥/배추김치"
705Kcal,720Kcal,710Kcal,690Kcal,715Kcal,707Kcal,645Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"꽈배기도너츠
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","단호박죽
삶은계란*소금
얼갈이겉절이(배추:국내산
고추가루:중국산)
씨리얼/우유/과일","알을품은식빵
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","피자토스트
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
메추리알장조림
무말랭이무침
씨리얼/우유/과일",,
680Kcal,650Kcal,695Kcal,705Kcal,704Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"닭개장(계육:국내산)
알찬소시지전
건새우무조림
고추지무침
쌀밥/깍두기","참치김치볶음*두부찜
맑은콩나물국
꼬마돈까스조림(돈육
계육:국내산)
미역줄기볶음
쌀밥/깍두기","돈육고추장떡볶음(돈육:미국산)
미역국
스크램블에그
숙주나물
쌀밥/배추김치","참치채소비빔밥
맑은우동국물
채소크로켓*케찹
마카로니샐러드
배추김치","육개장(우육:호주산)
계란곤약장조림
어묵전*겨자장
미역오이초무침
쌀밥/깍두기","돈육김치볶음(돈육:미국산)
배추된장국
도토리묵무침
다시마쌈*초장
쌀밥/깍두기","단호박닭찜(계육:브라질산)
장국
마늘쫑멸치볶음
깻잎지무침
쌀밥/배추김치"
790Kcal,782Kcal,760Kcal,780Kcal,745Kcal,695Kcal,749Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"규동(우육:호주산)
유부장국
누룽지샐러드(쌀:국내산)
단무지","비빔국수
어묵국
두부도너츠
단무지","마파두부덮밥(돈육:미국산)
미역장국
만두탕수
단무지","돈까스마요덮밥(돈육:국내산)
팽이버섯장국
푸실리샐러드
오이피클","치킨마요덮밥(계육:국내산)
일식장국
단호박맛탕
오이피클","야채볶음밥*자장소스
짬뽕국
군만두
단무지","함박스테이크(계육
돈육:국내산)
크림스프
볶음밥/오이피클
감자튀김"
702Kcal,745Kcal,645Kcal,765Kcal,754Kcal,750Kcal,704Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"(뚝)부대찌개*우동사리(돈육:수입산
국내산
계육:국내산)
계란찜
고추지
쌀밥/깍두기","(뚝)돈육불고기(돈육:미국산)
양배추쌈*쌈장
무초절임
쌀밥/배추김치","(뚝)김치날치알밥
미역장국
해초샐러드
락교&오복지","(뚝)부대찌개*라면사리*치즈사리(돈육:수입산
국내산
계육:국내산)
과일샐러드
쌀밥/깍두기","(뚝)돌솥비빔밥*계란후라이
팽이버섯장국
오징어링조랭이탕수
배추김치",,
715Kcal,680Kcal,780Kcal,725Kcal,763Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     2,800원",         0원,         0원
석식,한식,"순두부찌개
미트볼조림(돈육:국내산)
김치전
파래김구이
쌀밥/깍두기","나물된장비빔밥
일식장국
계란후라이
야채춘권
배추김치","감자청국장
햄전*케찹
콩나물밥*양념장
치커리생채
쌀밥/배추김치","고등어김치조림(고등어:국내산)
떡강정
들깨배추국
시금치나물
쌀밥/깍두기","오징어볶음*소면(오징어:칠레산)
미소장국
연두부*양념장
열무생채
쌀밥/배추김치","순대야채볶음
스크램블에그
미역국
양파초절임
쌀밥/배추김치","*추억의도시락*
어묵볶음
계란후라이
소시지전
볶음김치
쌀밥*김가루/장국"
774Kcal,708Kcal,690Kcal,762Kcal,650Kcal,782Kcal,770Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"볶음우동
미소장국
사모사
단무지","아라비아따스파게티
마늘바게트
오이피클
탄산","짬뽕덮밥
계란파국
가지탕수
단무지","김치볶음밥*계란후라이
장국
청파래오징어까스(중국산)
단무지","탄탄짬뽕(돈육:미국산)
짜사이채무침
누룽지샐러드","오야꼬동(계육:브라질산)
일식장국
콘슬로우
배추김치","매콤참치덮밥
일식장국
야채춘권
단무지"
735Kcal,775Kcal,782Kcal,745Kcal,645Kcal,725Kcal,730Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
