■생활관식당(블루미르308관)
2016년 10월 31일 ~ 2016년 11월 06일
주간식단표
구분,월요일(10/31),화요일(11/01),수요일(11/02),목요일(11/03),금요일(11/04),토요일(11/05),일요일(11/06)
조식,한식,"전주콩나물국밥(오징어:칠레산)
계란찜
김구이*양념장
고추지무침
쌀밥/깍두기","건새우무국
고기산적조림(돈육
계육:국내산)
고구마순볶음
명엽채무침
쌀밥/배추김치","쇠고기대파해장국(우육:호주산)
스크램블에그
마늘쫑볶음
건파래자반
쌀밥/깍두기","너비아니구이(돈육
계육:국내산)
새알심감자국
팽이버섯채소볶음
매운콩나물무침
쌀밥/배추김치","참치김치볶음
미역국
옛날소시지전
부추적채겉절이
쌀밥/깍두기","돈육김치찌개(돈육:미국산)
미트볼조림(돈육:국내산)
청포묵김가루무침
돌나물*초장
쌀밥/깍두기","소시지감자조림(돈육:수입산
국내산
계육:국내산)
얼갈이된장국
마늘쫑멸치볶음
브로컬리*초장
쌀밥/배추김치"
622Kcal,934Kcal,695Kcal,772Kcal,719Kcal,675Kcal,775Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"건포도머핀
크림스프
양배추샐러드
오이피클
씨리얼/우유/푸딩","참치야채죽
삶은계란
얼갈이겉절이(배추:국내산
고추가루:중국산)
씨리얼/우유/과일","모닝빵*딸기잼
데친후랑크(돈육:수입산
국내산
계육:국내산)
크림스프
양배추샐러드
피클
씨리얼/우유/과일","길거리토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
어묵볶음
얼갈이겉절이(배추:국내산
고추가루:중국산)
씨리얼/우유/과일",,
529Kcal,650Kcal,623Kcal,793Kcal,586Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"닭갈비(계육:브라질산)
콩나물국
두부찜(콩:수입산)
참나물무침
쌀밥/배추김치","곤드레밥*양념장
김치국
완자전(돈육
계육:국내산)
미역줄기볶음
깍두기","돈육당면볶음(돈육:미국산)북어채미역국
양배추쌈*쌈장
무초절임
쌀밥/배추김치","고등어무조림(고등어:국내산)
호박된장국
계란찜
파래김
쌀밥/깍두기","물만두국
돈육숙주볶음(돈육:미국산)
감자채볶음
열무생채
쌀밥/배추김치","매운쇠고기무국(우육:호주산)
떡갈비조림(돈육:국내산)
새송이굴소스볶음
치커리무침
쌀밥/깍두기","사골곰탕(우육:호주산)
계란찜
궁중떡볶이
마늘쫑지
쌀밥/깍두기"
934Kcal,454Kcal,790Kcal,865Kcal,880Kcal,705Kcal,931Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
,양식,"*NEW*
육개장칼국수(우육:호주산)
쌀밥(소)
춘권튀김
배추김치","오로시돈까스(돈육:국내산)
유부장국
고구마맛탕
단무지","미트볼토마토스파게티(돈육:국내산)
크림스프
수제마늘빵
탄산음료","양념치킨오므라이스(계육:브라질산)
일식장국
누룽지샐러드(쌀:국내산)
단무지","후르츠카레라이스
팽이버섯장국
두부도너츠
배추김치","짬뽕(오징어:칠레산)
쌀밥(소)
군만두*간장
단무지","가츠돈(돈육:국내산)
맑은장국
양배추샐러드
배추김치"
992Kcal,606Kcal,981Kcal,974Kcal,838Kcal,992Kcal,883Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"뚝)생선까스김치솥밥(생선까스:중국산)
유부장국
해초샐러드
단무지","(뚝)동태매운탕(동태:러시아산)
어묵전
부추생채
쌀밥/깍두기","*NEW*
유부주머니만두우동
김가루양념밥
채소튀김
락교","(뚝)부대찌개*라면사리(돈육:수입산
국내산
계육:국내산
콩:수입산)
계란찜
시금치나물
쌀밥/깍두기","메밀막국수
팽이버섯장국
김가루양념밥
왕만두찜
무초절임",,
696Kcal,844Kcal,954Kcal,981Kcal,805Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     2,800원",         0원,         0원
석식,한식,"꽁치양념강정
다시마무채국
잡채
고들빼기절임
쌀밥/배추김치","설렁탕*소면사리(계육:국내산)
옛날소시지전
우엉곤약조림
깻잎지무침
쌀밥/깍두기","콩나물밥*양념장
유부장국
오징어무무침(오징어:칠레산)
만두강정
마카로니샐러드
배추김치","순두부찌개
고기산적조림(돈육
계육:국내산)
쌈다시마*초장
무말랭이무침
쌀밥/배추김치
","조랭이떡국
메추리알조림
두부구이(콩:수입산)
오이송송무침
쌀밥/배추김치","나물볶음밥*계란후라이
유부장국
감자크로켓튀김
마카로니샐러드
배추김치","사천돼지고기볶음(돈육:미국산)
열무된장국
두부쑥갓무침
숙주나물
쌀밥/배추김치"
929Kcal,802Kcal,995Kcal,998Kcal,861Kcal,736Kcal,694Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
